start,end,text
0.0,30.0,"Alors, bienvenue à tous ! Il nous a été demandé par Laurent de revenir sur les terrains plus spécifiquement. Comment on s'y prend ? À quoi faut-il faire attention lorsque l'on rentre un terrain ? Et bien c'est ce qu'on va voir ce soir. Si ça vous intéresse, on va avoir différentes questions et en particulier les terrains. Donc c'est ce qu'on va étudier maintenant. Juste avant, deux trois petites choses, deux trois petites questions."
30.0,61.72,"accessoires également, mais qui méritent d'être abordés. Premièrement, l'augmentation des frais de notaire. C'est en place. Je vous avais dit, il y a quelques jours à Orléans, parce que je suis allé voir Sabrina, Mathieu, Jordan, etc. à Orléans il y a quelques jours, on a parlé des frais de notaire, et ça y est, il y a deux endroits, deux départements qui ont annoncé avoir pris un arrêté pour augmenter les frais de notaire. Donc, ça y est, est en place. Alors, cette augmentation"
61.72,111.7,"des frais de notaire, de quoi s'agit-il ? Vous le savez, dans le projet de loi de finance qui vient d'être adopté par le Parlement il y a quelques jours, à peine, je crois que c'était la semaine dernière, si je ne me trompe pas, le projet de loi de finance composé par le gouvernement actuel, le gouvernement Bayrou, Bayrou, j'ai jamais su comment on prononçait son nom, ce monsieur, donc Bayrou, il était prévu une augmentation des frais de notaire. Cette augmentation des frais de notaire a été votée, Elle est donc en place. Alors, me direz-vous, mais sont-ils bêtes au point de rajouter une difficulté supplémentaire au marché de l'immobilier qui est en crise depuis trois ans ? Mais oui. Enfin non, ils ne sont pas bêtes, mais ils n'ont pas la moindre idée de la manière dont les choses fonctionnent en réalité dans le pays."
111.7,142.42000000000002,"Donc, malgré la crise qui vraiment plombe le marché de l'immobilier, plombe les promoteurs, plombe tout le secteur du logement, que ce soit pour que les gens se logent en achetant, mais surtout en empêchant les gens d'acheter, en cascade, ça empêche les plus vulnérables de louer. et ils se disent, tiens, si on allait rajouter une taxe sur les frais de notaire supplémentaires, est-ce que ça, ce ne serait pas une bonne idée ? Et ces cons-là, ils se sont dit, oui, oui, d'accord, oui, on va le faire."
143.68,173.85999999999999,"Il n'y en a pas un qui leur a dit, mais non, surtout pas, en fait, c'est le contraire de ce qu'il faut faire, ça, monsieur. C'est-à-dire que si vous avez quelqu'un qui a un cancer, qui vient vous voir, qui dit, j'ai un cancer, je suis très malade, je souffre beaucoup, je vais mourir. Là, il y a quelqu'un qui dit, hé, si on lui donnait du cyanure, Alors, ce ne serait pas une bonne idée ? Génial, donnons-lui du cyanure, ça va lui faire du bien. Non, ça ne fait pas de bien le cyanure. Donc, cette augmentation des frais de notaire a été votée. Alors, cette augmentation des frais de notaire, c'est…"
173.85999999999999,210.14,"Alors, je vous mets ici, augmentation des frais de notaire. Alors, vous le savez, c'est très injuste d'appeler ça les frais de notaire parce qu'il n'y en a qu'une toute petite partie qui sert à rémunérer le notaire. Ce qu'on appelle les émoluments du notaire. En fait, les frais de notaire, ce sont principalement des impôts et des taxes. Il y en a une petite partie qui sert à rémunérer le notaire pour son travail. En fait, le vrai nom, ce sont les droits de mutation. C'est le vrai nom, droit de mutation à titre onéreux, exactement."
210.14,246.42000000000002,"droits de mutation à titre onéreux. Ça, c'est le vrai nom des frais de notaire. On appelle ça très souvent également les droits d'enregistrement. Ce qui est impropre également, puisque les droits d'enregistrement ne sont qu'une partie des droits de mutation à titre onéreux. Alors, cette augmentation des frais de notaire, elle correspond à 0,5% supplémentaire. De quoi s'agit-il ? Il y a une taxe départementale parmi les frais de notaire, une taxe départementale qui est donc collectée par le département dans lequel se trouve le bien."
246.86,295.16,"C'est calculé par rapport au bien, à leur placement du bien. Ce n'est pas la résidence principale et fiscale du vendeur ou de l'acquéreur qui compte. Ce n'est pas « tiens, je choisis d'appliquer tel département qui m'est plus favorable ». C'est le département dans lequel se trouve le bien vendu. C'est logique, me direz-vous. Il y a une taxe départementale qui est de 4,5% aujourd'hui. Le gouvernement n'a pas augmenté cette taxe départementale de 0,5% supplémentaire, mais a ouvert la possibilité pour les départements qui le souhaitent d'augmenter de 0,5% leur taxe qui, sinon, serait de 4,5%."
295.16,330.09999999999997,"paris s'est précipité parce que paris vous savez que c'est un département en plus d'une ville paris s'est précipité pour dire tout de suite je prends allez oui chez nous on augmente absolument on a besoin parce que paris vous le savez tous et en étant déficit absolument abyssal du point de vue des finances donc ils sont précipités pour dire oui oui on prend les 0,5 % supplémentaires j'ai J'ai vu qu'un autre département avait annoncé vouloir bénéficier de cette augmentation."
330.26,362.47999999999996,"Je ne sais plus si c'est la Côte d'Or ou il me semble que c'est la Côte d'Or, mais je ne suis pas sûr. Je n'en ai pas vu d'autres. Alors, je n'ai pas fait une recherche hyper exhaustive. Je n'en ai pas encore vu d'autres. Maintenant, il va falloir attendre que le conseil départemental se réunisse pour faire éventuellement voter ça. On va probablement voir d'autres départements en bénéficier. Donc, 0,5% supplémentaire de la taxe départementale qui était sinon de 4,5%."
