start,end,text
0.0,32.0,Abonnez-vous ! Merci d'avoir regardé cette vidéo !
32.0,62.0,"J'espère que vous avez aimé cette vidéo ! Si vous avez aimé cette vidéo, n'hésitez pas à vous abonner à la chaîne, et à cliquer sur la cloche en bas ! A plus ! Merci d'avoir regardé cette vidéo !"
62.0,92.0,A plus ! Merci d'avoir regardé cette vidéo !
92.0,122.0,A plus ! A plus !
180.0,212.0,A plus ! A plus !
212.0,242.0,"A plus ! Ils vous fais venir tous à un endroit pour repartir. Nous aussi c'était à l'allée, nous dit Hugues. Eh ben les amis, dis donc, apparemment c'est pas le Covid qui vous a attrapé au Raffale, c'est les gendarmes. Véronique a déjà pris soin de s'interdire en partant de chez moi, dit Elodie. Et personne positive au test alcoliné ? Non, parce que nous avons été très sages, c'est Julia qui pose cette question, très très très très sages sur les boissons, enfin pas tous."
242.0,278.0,"Et oserais-je dire pas toutes, mais là encore moi aussi je clérais les noms, je ne dirais rien. Béatrice est pas fait flasher, apparemment Guillaume non plus. Bon, bah écoutez, Julien dit très bon vin et whisky. Tiens, j'ai pas vu passer le whisky, je sais pas qui avait dit whisky, bon j'en bois pas de première mais... Sauf de mon vélo, ouais. Bon, alors aujourd'hui, de quoi allons-nous parler ? Aujourd'hui il s'agit d'une visioconférence sur les un des trois modules obligatoires, enfin trois quatre parce qu'il y a un module qui se fonde."
279.0,324.0,"Vous le savez l'obligation de formation de la loi Allure impose des thèmes obligatoires pour tout le monde. Les thèmes obligatoires sont l'adéontologie que nous allons faire ce soir, la transition énergétique que vous suivrez avec Yves la semaine prochaine, et d'ailleurs on va parler de l'horaire. Et la discrimination au logement et ça va ensemble en fait. On pourrait dire que c'était quatre thèmes mais en fait il y en a qu'on fait en même temps, parce que pour des questions d'heure tout simplement c'est très administratif, vous le savez tout ça. Donc le dernier thème qui se sain dans deux, c'est non discrimination dans l'accès au logement et la lutte contre le blanchiment d'argent et le trafic de drogue et lutte contre le terrorisme."
324.0,357.0,"Tout ça ça va ensemble en fait, ce sont toutes les destinations malhonnêtes et illicites de l'argent qui transitent potentiellement par les banques, par les assurances, par toutes les professions financières dont les agences immobilières. Parce qu'on peut, si on est en malfra, utiliser les acquisitions immobilières pour blanchir de l'argent, faire transiter des fonds d'un endroit à un autre sans que les autorités ne s'en aperçoivent. Et c'est ce que nous étudierons également la semaine prochaine."
358.0,388.0,"Est-ce que ça compte les fichiers S ? Alors nous on n'a pas à s'occuper des fichiers S parce que vous êtes fichiers S Guillaume peut-être ? Non non on ne s'occupe pas des fichiers S, nous on doit s'occuper par contre de s'assurer. Mais c'est idiot de faire peser ça sur les agences immobilières, ça on en discutera à notre moment. Mais il s'agit de demander aux agences immobilières d'être vigilantes sur les clients éventuellement malhonnêtes et la mauvaise utilisation des fonds avec lesquels ils payent les biens immobiliers."
388.0,420.0,"Mais en fait on est très démunis là-dessus parce que ce n'est pas nous qu'il faut demander ça. Le demander aux banques, oui ça c'est normal, elles ont les moyens de détecter des choses louches. Le demander aux notaires, bon ils ont parfois des moyens de détecter certaines choses louches. Le demander aux agences immobilières c'est mon avis. Mais bon en tout cas, Guillaume me confirme qu'il n'est pas fichier S, j'espère bien. Alors ce soir on va voir la déontologie."
420.0,455.0,"La déontologie certains d'entre vous l'ont déjà fait précédemment au cours de précédentes formations Allure. Vous allez voir pour ceux d'entre vous qui débutent c'est très rébarbatif. Ce qu'on va voir ce soir c'est pas intéressant du tout du tout du tout. C'est le code de déontologie des agents immobiliers. Tout ça ça fait partie du programme de la loi Allure. La loi Allure c'était en 2014 et elle a instauré une obligation de formation des agents immobiliers et de leur personnel, de leur négociateur que nous suivons bien entendu strupuleusement."
