start,end,text
60.0,92.84," maintenant. Est-ce que c'est ok ? Oui, super. Au soir à toutes, bon soir à tous, merci d'être là ce soir pour cette visio-loyure. Donc une visio, un petit peu, différente des autres, en ce qu'elle validera deux heures de module obligatoire pour la loi-leure. Nous sommes parfaits, super. Merci, merci, merci, merci. Alors j'espère que vous êtes bien rentré après le séminaire. Il y a maintenant deux semaines, si je ne me trompe pas cette étidie à deux semaines, j'espère que tout"
92.84,125.32," monde est bien rentré, que ça s'est bien passé. J'espère que vous êtes bien à musique, que vous êtes content d'être d'être venus et que vous êtes maintenant regonflé à bloc pour la suite. De hop, je rempartage mon écran pour la suite de l'année. Tout le monde est bien rentré. Gros que vie du semaine en rentrant. Oui, alors il y a marjorie et véronique. Toutes les deux, elles se sont pris un Covid. Alors il y a Julia qui dit on dirait que vous avez travaillé dur. Oui, Julia, on a aussi travaillé"
125.32,162.68," Dieu. Tout à fait. On a aussi travaillé Dieu. Mais pas que... mais pas que... Donc oui, Christelle, elle apparemment l'a pas vu, mais je crois que Christelle, si je ne me trompe pas, avait eu le Covid l'année dernière, il y a deux ans en rentrant de Arle. Est-ce que vous l'a... il me sent bien Christelle ? Oui, c'est ça ? Voilà, je me trouve, je ne me trompe pas. J'espère que véronique est marjorie au milieu, que vous êtes en bonne forme, que vous êtes sorti de ce village Covid. Pierre s'est pris un PV lui, au cas d'autre tour. 58 retenus 53 juste avant d'arriver au parc sérieux. Il y avait un"
162.68,195.88," radar comme ça. Et l'autre dit, il est malade, mais il n'a pas se tester. Ah, ah, ah, ah. Autre sens, il restait bien le choix à la maison, tester ou pas, normalement vous devriez aller mieux. Après, après quelques jours, j'ai l'espère. Mais si les personnes ne disparent, je me tais sur les nauts où apparemment marjorie à des infos, sur les autres, et moi, flâché, mais pas de PV, mais comment ça se fait que tout le monde se se fait flâcher. C'est bien. Véronique aussi, flâché en travailou est bon, sur le col de B, c'est à 45 euros"
195.88,229.64," payé et 117 km au lieu de 110. Mais tout le monde s'est fait attraper au retour du... Je vous dure que... Oui, c'est ça de rouler comme des fou d'immingerie. Et un point de loi, je vous jure que j'ai en fait, j'ai pas des copains jendarmes qui me donnent une commission sur les PV qui prennent. C'est bien tout ça un endroit pour repartir. Nous aussi, c'était à l'aller, où dit Hugo. Et ben les amis, ils donnent, apparemment, c'est pas le COVID qui vous attrapera un faim, c'est les jendarmes. Véronique, il y a déjà pris le sens interdit, on partons de chez moi, dit, là-dedans."
229.64,261.28," Et personne positive au test et le colliné, là, non, parce que nous avons été très sages, c'est Julia qui possédition, très très très très sages sur les boissons, enfin, pas tous. Et on se réjure, pas tout, mais là encore, moi aussi, je terrais les mots, je ne dirais rien. Béatrice n'est pas fait flâcher, apparemment, guillem non plus. Bon, écoutez, Julia dit très bon vin et Whiskey. C'est pas plus passé, Whiskey. Je ne sais pas qui avait dit, Whiskey bonjour, boit pas tout,"
261.28,295.40000000000003," mais sauf de mauve élo, oui. Bon, alors aujourd'hui, de quoi allons-nous parler? Aujourd'hui, ça gie d'une vision-conference sur les, un des trois modules obligatoires, enfin, trois quatre, parce qu'il y a un module qui se fondre, vous le savez, l'obligation de formation de la loi lure impose des thèmes obligatoires pour très monde. C'était mobilatoire son la déontologie que nous allons faire ce soir, la transition énergétique que vous fivrez avec Yves, la semaine prochaine,"
295.40000000000003,326.24," et d'ailleurs, on va parler de l'horaire. Et la discrimination au logement, il s'en va ensemble en fait. On pourrait dire, c'est qu'il y a thèmes, mais on fait qu'on fait en même temps, c'est pour l'écution d'heure tout simplement, c'est très administratif, on vous savez tout ça. Donc le dernier thème qui se sent dans deux, c'est non-discrimination dans l'accès au logement, et la lutte contre le blanchiment, l'argent et le trafic de drogues, et lutte contre le terrorisme. Tout ça, ça va ensemble en fait."
326.24,357.48," Ce sont toutes les destinations malonnettées illicites de l'argent qui transite potentiellement par les banques, par les assurances, par toutes les professions financières, dont les agents s'y mobilièrent. Parce qu'on peut, si on est en malphreur, utiliser les acquisitions immobilières pour blanchir de l'argent, faire transiter des fonds dans l'endroit un autre, sans que les autorités ne sont nattersoises. Et c'est ce que nous étudierons également la semaine prochaine."
359.48,391.59999999999997," Est-ce que ça compte les fiches S ? Ah, alors nous, on n'a pas à s'occuper des fiches S, parce que vous êtes fiches S, Guillaume peut-être... Ah, non, on ne s'occupe pas d'eux fiches S, nous, on doit s'occuper, par contre, de s'assurer... Mais c'est si j'ai eu de faire peser ça sur les agences immobilières, on s'en artisquittera à notre moment, mais il s'agit de demander aux agences immobilières des visillantes sur les clients éventuellement malonnettées, et la mauvaise utilisation des fonds avec lesquels les pays les bien immobiliés, mais en fait, on est très démunis là-dessus,"
391.59999999999997,423.76," parce que nous, ce n'est pas nous qui font demander ça, le demander aux banques, oui, ça c'est normal, elles ont les moyens de détecter des choses louches, le demander aux notaires, ils ont parfois des moyens de détecter certaines choses louches, le demander aux agences immobilières, c'est pour le concret, enfin, c'est mon avis. Mais bon, en tout cas, Guillaume ne confie à tout mes pas fiches S, j'espère bien. Alors, ce soir, on va avoir la déontologie, la déontologie, certains d'entre vous l'ont déjà fait,"
423.76,455.59999999999997," précédemment, au cours de précédente formation à l'Ur, vous allez voir, pour ceux d'entre vous qui débutent, c'est très réinbain basif, ce qu'on va voir ce soir, c'est pas intéressant du tout, du tout, du tout. C'est le code de déontologie des agences immobiliées. Tout ça, ça fait partie du programme de loi de la loi Lure. La loi Lure, c'est en 2014, et elle a instauré une obligation de formation des agences immobiliées et de leur personnel, de leur négociateur, que nous suivons, il y a un entendu, je trouve, plus besoin."
455.59999999999997,486.2," Parmi cette obligation de formation, la loi Lure a défini en 2015 et 2016, des modules spécifiques et en 2015, la déontologie qu'on va voir ce soir. D'ailleurs, je vous disais, il y a un instant, ceux d'entre vous qui sont moins habitués, on va aujourd'hui accueillir Lionel, parmi nous, qui fait ce que je crois, cette toute première vision conférence du judy, pour que bienvenue à Lionel, qui vient de rejoindre la Luka, bienvenue à lui. Et comment ça première vision du judy,"
486.2,516.8," par une vision obligatoire à la loi à l'Ur, il démarrera sur les chapeaux drôles. Donc bien entendu, Lionel, tout le monde vous dit bienvenue, tout le monde vous dit bonjour sur le chat, vous pouvez pas le voir, bien sûr, le chat de la logissière de visio conférence, il y a que moi, qui peut le voir, mais bienvenue à Lionel, il n'a pas peur en effet, Lionel qui vient de l'ouvre dans le 95, le 95, c'est la toise, j'ai perdu, c'est le valdoise, c'est le valdoise. Donc tout le monde vous dit bienvenue,"
516.8,547.2," Lionel, il y a un entendu, Pierre, Catherine, Dironique, Corine, Marjorie, bienvenue, oui, il y a que tu les avions, bien entendu, on espère tous vous rencontrer lors d'un prochain sédiment, lors du prochain rencontre. Alors, comment va ce passé, cette formation? De deux manières, oui, Mathieu me rappelle, il a tout à fait raison, la visio de Ives, est décalée à 17 heures, alors c'est quel jour Mathieu, si je ne me trompe pas ces, ces mardi ou ces mercredis, consciez-moi ça, c'est une vraie Mathieu,"
547.2,578.1999999999999," la visio de Ives, qui devait avoir lieu, mardi à 18 heures, pour des questions, tout simplement d'organisation des uns et des autres, au railieux mardi, toujours, mais mardi à 17 heures, et pas 18, elle était prévue à 18 heures, finalement elle aura lieu à 17 heures, de 17 heures, à 19 heures, et c'est mardi, 12, mardi, 12 décembre, de 17 heures, d'ailleurs j'ai voulu écrire sur un petit, petit Fissi World pour que tout le monde le voit bien, la visio de Ives,"
578.1999999999999,611.2," dont vous savez, normalement, qu'elle sera dédiée à la transition énergétique, donc, visio-conferences, là aussi, doit l'ure, d'une, ce sera épécris n'importe quoi, mais vous me direz, qui en sera surpris, mardi, mardi, 12 décembre, à 17 heures, transition énergétique,"
611.2,642.3," transition énergétique, donc, elle n'aura pas lieu à 18 heures, elle n'aura bien lieu à 17 heures. Je serai donc en retard le 12, car je finis plus tard, on ne prend pas grave, c'est en dream, ça n'est absolument pas grave. Que se passe-ci si on ne peut pas y participer? Sinon il y a l'illot à l'animation, c'est civil qui nous pose cette question. Que se passe-ci si on ne peut y participer? Donc, je sais que vous n'êtes pas la seule, d'ailleurs, civil, Julia également nous dit qu'elle sera en TGV. Alors,"
642.3,674.1999999999999," c'est une question qui importante pourquoi je vais y répondre avant de passer à la suite, parce que c'est une visueur conférence que vous devez faire en direct. Vous ne pouvez pas suivre cette visueur conférence en vidéo, là pour des questions de validation de la loi à l'Urge. Je sais que Julia avait posé la question à l'animation, que se passe-ci si on ne peut pas y participer? Manifest-il vous prête d'animation, parce que"
674.1999999999999,704.6," lorsque vous ne pouvez pas participer à une visueur conférence, généralement, vous vous faire un enregistrement et on vous le donne comme ça, vous pouvez suivre si c'est dit à la visueur conférence. Mais, les vidéos conférences soient lures, c'est pas possible parce qu'elles doivent avoir lieu en ce qu'on appelle en visueur conférence c'est face à face synchrone, c'est ça, je sais plus, mais enfin, elles doivent avoir lieu en direct"
704.6,735.8," avec le formateur qui vous parle directement et vous qui écoutez le formateur et n'ont pas en nassinchrone. A synchrone, ça veut dire que vous n'êtes pas, au même moment devant la visueur conférence que le formateur. Nous, ce sont des visueur conférences synchrone, ça veut dire que vous êtes en même temps derrière votre enregistre que le formateur, c'est-à-dire moi, ou il, voilà, pourquoi vous ne convitez"
735.8,765.8," vainiter vos deux heures à l'huile sur telle ou telle taine si vous avez la vidéo, vous devez présenter. Donc, manifestez-vous auprès d'animation, si bien, on va voir comment on commence à prendre, mais je ne vous cache pas que ça complique les choses, ça complique sérieusement les choses, il faut vraiment essayer d'y participer si vous le pouvez. Avant de démarrer, Véronique nous dit, on a oublié ma petite filiole, non, c'est normal, mais vous devez revenir, on ne l'a pas oublié, mais votre petite filiole"
765.8,795.8," n'est pas encore dans Églantine. Elle est pas encore retrutée, elle est en cours de retrutement, si elle est bien, si je ne me trompe pas, c'est ce que Mathieu Mard m'a indiqué, un défi à la différence de Lionel, qui lui a signé son contrat, il est officiellement, pardon, à la vulgarne, il est immatriculé, au gref, etc. C'est pas le cas de défi, donc, non, on n'a pas oublié des filles, mais elle est pas encore officiellement à genre de la vulgarne, c'est tout simplement pour ça. On dirait que c'est très administratif, mais c'est comme ça."
797.8,827.8," D'ailleurs, peut-être que, quand on est le 7 décembre, on pourrait en discuter des chroniques, mais ça va y être avec animation, ou on pire ce que vous appellerait, est-ce que pour elle, si surtout, si elle s'instante entre le entrepreneur au trimestre, il ne serait pas plus intelligent, quelle face, sa signature de contrat, au premier janvier. C'est un voie, c'est un voie. Alors, au final, combien d'heure auront-nous validé, c'est minère plus ou ébinaire, 28 heures. Un tout petit peu plus, 28 heures 30, si je ne me trompe pas."
827.8,857.8," 28 heures 30, si vous êtes venu au cest minère physiquement, et que vous faites des visions de référence, vous aurez vos 28 heures, c'est-à-dire 14 heures au titre de la loi à l'Ur 2022, et 14 heures au titre de la loi à l'Ur 2023. Je crois qu'il y a une demi-heure en plus, quelque chose comme ça, si je ne me trompe pas. Là, d'entre vous, qui ne sont pas venus au cest minère, il y a une technologie, qui, qui nous a fait projet, qui sera dans tes cheveux d'hérités, etc. Mais, Julia,"
857.8,893.4," qui n'a pas pu se rendre au cest minère cette année, nous nous regretton, bien entendu, mais ce sera pour une prochaine fois, et d'ailleurs, vous ne pouvez pas valider les 28 heures. Vous ne va l'idée que les heures de vision qu'on fait rangent, là, auquel vous pouvez vous rendre, celle de l'hor tablespoons aujourd'hui et celle de la semaine prochaine. Ça veut dire que ça vous fera deux, plus ou deux, plus ou deux, plus ou deux six, des 6 heures au titre de la loi Lure. Grâce à ces vidéos confiérances que nous vous offrons, qu'un coup de mot. Mais il faudra compléter avec les autres heures, avec un autre organisme de"
893.4,925.4," formation. J'essaie par Horita alors moi je connais pas Horita, j'imagine que c'est un centre de formation très très très bon, très computante. La testation, on voyait l'animation très virale. Oui, ceux d'entre vous qui ont fait leur formation ailleurs comme nous le dis Dominique, envoyez votre testation à l'animation. Véronic, excusez-moi, Véronic nous vive avant un jupe à Rénage au 31-12. C'est moi qui vous conseille de me faire signer une démarrage d'activité"
925.4,960.2," au premier janvier, mais bien entendu ce sera dans les avantages du Parénage au 31-12, soyez tranquille. Sur d'entre vous qui ne sauf pas, peut-être vous reparler rapidement, là, très très très très rapidement. On a réformé le programme de Parénage afin de le rendre plus attratif. Et le programme de Parénage, l'ouvait une mouture, on va dire, une mouture 2024 que nous avons annoncé lors du Seminert, ce d'entre vous qui n'était pas"
960.2,991.28," l'eau Seminert, d'avoir entendu, par ou subnus, n'ont pas eu cet affaut. Donc le Parénage de 2024, tel que nous l'avons prévu et annoncé lors du Seminert, prévoit une rémunération de 5% alors ça, on va y revenir, peut-être plutôt lors des visions conférences du comment ça s'appelle du jeudi habituel que nous on discuterons mais très rapidement. On reste"
991.28,1021.28," sur le principe des 10% de rémunération pour le Parénage. Ces 10% de rémunération sont calculés, bien entendu, sur, je vais le mettre ici, 10% des honoraires de la lutte-carme. C'est-à-dire"
1021.28,1059.28," sur la siète restant à la lutte-carme, c'est ça les 10% de rémunération pour le Parénage. C'est-à-dire que lorsqu'un fiol fait une vente, ce que conserve la lutte-carme, il ne s'agit pas d'aller prendre dans la poche du fiol, ça s'est hors de question, que garde la lutte-carme en honoraire, la lutte-carme en donne 10% au par un. Bien entendu, ces 10% existent aussi pour un soufiol, un hauteur de 4%, mais ça, c'est beaucoup plus rare. Donc ça, ce fiol est aujourd'hui et on le garde. Par contre, là où on rajoute quelque chose, c'est que lorsqu'il vous retroutez"
1059.28,1100.28," un nouveau, on vous fait une réprocision de 100% des honoraires de la lutte-carme, on a troisième et la 6ème vente de votre fiol. Donc, je mets ici, excusez-moi, j'ai fait une bêtise, et après, on commence la formation Mm1 plus 100% des honoraires de la lutte-carme, pour la 3ème et la 6ème vente du fiol. Ça veut dire que votre fiol fait une vente de vente"
1100.28,1136.28," à la 3ème vente, vous touchez l'intégralité des honoraires de la lutte-carme. Il fait une 4ème, une 5ème vente et à la 6ème vente, vous touchez également. Donc, la j'ai mis vente sans espèce, c'est la 3ème et la 6ème, il faut que je mette un S ici, excusez-moi, c'est au-dessus de ma part, 3ème et 6ème vente, vous touchez 100% des honoraires de la lutte-carme. Et on a ajouté une petite chaussure supplémentaire, et c'est là que la remarque très judicieuse de Véromot, intervient également en récompense du temps"
1136.28,1171.28," que vous allez passer de l'investissement que vous allez engager pour aider votre fiol à vendre, lorsque votre fiol fait sa 1re vente, à la 1re vente du fiol, vos honoraires, je le mets en gros vos honoraires, c'est-à-dire votre vente à vous,"
1171.28,1205.28," sonthe, on va dire augmenter, comment on peut jouer, je mets le S a ici en gras et en souligner, à la 1re vente du fiol, vos honoraires sont abondis, améliorés, on pourrait dire que votre son amélioré, je vais mettre ça comme ça, par 5% de plus, furent votre collier,"
1205.28,1240.28," les deux mois redutifs suivant, j'explique, parce que dit comme ça, c'est un peu abscond, je vous l'accorde. Lorsque votre fiol fait sa 1re vente, vous toucherez donc 10% de la part de la lutte-carme, c'est une 1re chose, vous toucherez rien dans les 100%, c'est la 3ème et la 6ème vente, donc ça on n'y touche pas, par contre, à la 1re vente, en plus des 10%, vos honoraires,"
1240.28,1275.28," à vous, seront améliorés de 5% plutôt ici, de 5% c'est-à-dire vos honoraires ne commencera pas à 60%, mais à 60, 5% pour les deux mois suivant où vous faites des ventes, vous trouvez fini le fait une vente, sa 1re vente le 5 avril, le 5 avril, et bien vos ventes de mai, tu enownçons à 65% et pas 60% et vous vente de juin,"
1275.28,1306.28," tu commenceras à 65% et pas 60% donc ça fait deux mois, mais les gens, mais que se passez si ce n'est pas de vente en mai, et bien on va attendre le prochain mois, où vous avez une vente, si vous n'avez pas de vente, lui il fait sa 1re vente en avril, vous n'avez pas de vente en mai, vous en avez une en juillet, on attendra juillet, ce sera donc abondé, amélioré, augmenté, c'est pas assez zonné, je ne sais pas comment dire, en juillet, c'est-à-dire lors de votre prochain mois, productif le prochain mois,"
1306.28,1336.28," où vous avez des ventes touchés, bien nous entendus tout cela et toujours calculé sur les actes authentiques, pas sur les compromis, pas sur les oeufs, pas sur les visites, ce sont les actes authentiques qui font foi, toujours parce que ça c'est quelque chose, c'est quelque chose sur lequel on ne peut pas tricher. Si il y a mai, vous faites des recrutements, avant le 31 décembre, 2023, c'est pas 5%, c'est 10%, c'est ça dont Vérône-Cou parlez, 10%"
1336.28,1370.28," qu'autres personnes qui signe son contrat avant le 31 décembre pour ici mettre un petit coup de booster supplémentaire, vos honoraires ne commencent pas à 60%, nuit à 65%, mais à 60-10% lors de vos premières, les deux mois qui suivront les premiers honoraires de vos fioles. Lorsque je dis à Vérône-Cou peut-être qu'ils ferait pertinents que votre fioles démarrent au premier janvier 2024, ça ne l'empêche pas de signer son contrat avant, elle peut signer son contrat à une bêtise de 15 décembre avec une date de démarrage d'activité"
