start,end,text
0.0,30.0,Bonjour à tous donc je disais bienvenue à cette visio on va pouvoir commencer immédiatement que maintenant que les problèmes de micro sont résolus alors bien entendu vous le savez vous avez le chat qui est à votre disposition que vous ne devez pas hésiter à utiliser pour interagir pour poser des questions pour faire des remarques etc c'est ce module de chat et là pour ça utilisez le vraiment autant que vous le voulez alors
30.0,60.78,parler des visites et des offres c'est important les visites et les offres comment ça se passe du point de vue du logiciel et du point de vue légal vous allez voir que c'est pas compliqué du tout mais c'est quelque chose qu'il faut savoir peut-être même l'avez vous déjà deviné parce que c'est vrai que c'est tellement simple qu'on peut découvrir ça tout seul dans dans le logiciel mais on va en parler aujourd'hui alors là je suis dans une interface une églantine qui est
60.78,91.53999999999999,exactement similaire à la vôtre c'est une églantine de test cette églantine de test comporte des mandats de test ils sont des mandats qui ne correspondent pas à des vrais produits qui sont diffusés que nous allons pouvoir utiliser aujourd'hui pour pour faire nos pour faire nos explications alors pour pouvoir faire des visites et des offres il faut bien entendu au préalable avoir rentré des mandats vous le savez dans notre métier le fonctionnement normal d'une vente
91.53999999999999,123.16,immobilière ça commence par de la prospection on en a parlé hier grâce à cette prospection lorsqu'elle est fructueuse on rentre des mandats de vente ça veut dire qu'un vendeur ou des vendeurs nous confie leurs biens à vendre nous signons pour cela un contrat qui s'appelle un contrat de mandat on appelle ça communément un mandat de mandat il nous permettra de diffuser des annonces de publicité
123.16,156.18,"ces annonces de publicité donneront lieu à des appels ou des emails de clients intéressés et Et ces clients intéressés, c'est ça dont nous allons parler aujourd'hui, ils vont venir visiter physiquement, lorsque le bien correspond à ce qu'ils recherchent, a priori, ils viennent visiter. Et si vraiment ça correspond à leur recherche, de manière précise et concrète, éventuellement, ils souhaiteront l'acheter. Et ça, ça passe par une offre d'achat. Alors, comment tout cela fonctionne ?"
156.18,186.72000000000003,"D'abord, nous partons du mandat. Mon mandat, j'y accède en cliquant sur le petit lien « mandat » qui est ici, en haut à gauche. Je clique ici et j'arrive directement sur mes mandats en cours. Là, j'en ai deux. Ce sont des faux mandats. Mes mandats en cours, voyez ici, le petit lien « en cours » est allumé, entre guillemets, il est actif. Parce que par défaut, quand je vais sur mon portefeuille de mandat, j'arrive sur mes mandats en cours de diffusion."
187.52,219.17999999999998,"On appelle ça les mandats en cours. je peux les enlever, hop, ça les efface, et je peux aller voir mes mandats perdus, vendus, en attente. Ce sont d'autres statuts dont on a déjà parlé, dont on reparlera. Perdus, ce sont les mandats que je n'ai pas vendus, ce sont des concurrents qui les ont vendus, ou alors le vendeur lui-même. Les mandats vendus, c'est moi qui les ai vendus avec succès, là je n'en ai aucun, mais je pourrais. Et les mandats en attente, ce sont des mandats que je ne diffuse pas, mais qui ne sont pas périmés, pour autant, je les garde entre guillemets au chaud."
219.95999999999998,250.14,"Le seul cas dans lequel vos mandats sont effectivement diffusés sur les sites portails, c'est lorsqu'ils se trouvent en statut en cours. Donc, je clique ici pour afficher mes mandats en cours et en voici deux. Je clique dessus. Voici mon client, M. François Mitterrand, qui habite à Nashville, aux États-Unis. C'est là que vous comprenez que ce sont vraiment des mandats fictifs. Alors, je n'ai pas cliqué là où il fallait. et puis j'en ai un autre ici avec monsieur"
250.14,283.0,"Philippe Dumas qui est également un client fictif alors les visites et les offres ce n'est pas en page 1 que ça se trouve, la page 1 il y a en haut page 1, page 2 ça c'est surtout les mandats la page 1 c'est la page qui me sert à gérer les caractéristiques du bien la superficie, le prix la superficie du séjour, du terrain, de l'extérieur, le nombre de chambres. Ce sont toutes les informations relatives au mandat au sens du contrat"
283.0,325.96000000000004,"et relatives au bien, au produit et à ses caractéristiques techniques. D'ailleurs, nous sommes en ce moment même en train de travailler sur des nouvelles versions de ces fiches, plus complètes, plus détaillées encore. Aujourd'hui, nous allons nous intéresser à ce qui se passe en page 2. La page 2, elle me sert à agir sur ce mandat, agir sur son déroulé chronologique, commercial et juridique, faire des visites, modifier le prix, faire des avenants modificatifs de prix, voir les statistiques, éditer une attestation automatique pour le notaire, faire une offre d'achat."
