start,end,text
0.0,33.42," Alors, je vous propose son commence. Si vous le voulez bien, alors est-ce que l'un d'entre vous pourrait me mettre un petit message si vous plaît que je puisse détecter ? C'est ça. C'est bon. Eileen, Yann Marie, Catherine, Alison Olivier, Patricia Joaquin, Eric, bien sûr, toujours fidèle aux postes qui délent pas négifitels de même que Corine. Super."
33.42,68.82000000000001," Bon, ça vit à ce nouvel outil. Le truc c'est que depuis qu'on la testait cet été, il y a un certain nombre de fonctionnalités qui ont changé notamment, il faut une petite nouvelle application. Avant, j'ai testé cet été, c'était sur la version web. Là, ils ont sorti une nouvelle application que je suis en train d'utiliser. C'est la première fois. Elle est très bien. Il n'est pas beau. Mais forcément il faut s'habituer à plein de nouvelles fonctionnalités par rapport à l'ancien système de visure au film. Alors, si vous m'entendez bien, alors n'hésitez pas à me dire si le son est mauvais, c'est évidemment j'ai les yeux sur le chat, enfin j'ai l'œil sur le chat, je surveille"
68.82000000000001,102.42," ce qui se passe. Et alors on va surtout discuter aujourd'hui parce qu'il y a des nous présenter quelque chose. Donc vous pouvez me mettre un dernier petit message pour me dire que le son est bon, c'est OK. Un dernier petit OK. En quelle sens ? Il y a quand c'est 6,04, 6,04, 6,04, 6... Ah c'est dans ce sens là. C'est dans ce sens là. Donc dernier message. Donc voilà, élérique toujours au temps. Toujours au temps."
102.42,135.7," On démarre si vous le voulez bien. Merci de votre patience. Normalement, cette visure est enregistrée, ça devrait fonctionner pour ceux d'entre vous qui nous ont dit qu'il est très peut-être en cours de pouces. Donc si certains d'entre vous doivent titer, on aura un enregistrement. Alors, de quoi s'agit-il aujourd'hui ? Il s'agit de vous annoncer la mise en place d'un nouveau programme qu'on va appeler, enfin que ça va appeler, que nous avons appelé le programme de moté en gamme. Qu'est ce que ça veut dire ?"
135.7,166.54," Le programme, alors un petit décalage ça va arriver chez vous, tout ça y est arrivé. Le programme de moté en gamme, qu'est ce que ça veut dire ? C'est quelque chose que nous avons testé depuis un certain nombre d'années, avec certainement, preu individuellement, et que nous avons amélioré, que nous avons optimisé, que nous avons changé un petit peu, il s'agit pour ceux d'entre vous qui le souhaitent. Et je chinsiste sur ce point, parce que je ne voudrais pas que vous vous disiez, ah, l'alluie car maintenant à fait"
166.54,204.78," t'es le choix stratégique qui moi ne me convient pas, il me sera imposé, pas du tout. Il s'agit véritablement d'un nouveau programme auquel elle a des ronds ceux qui souhaitent y aberrer, un programme de monter en gamme. Pourquoi un programme de monter en gamme, aux différents réseaux ? La toute première, c'est que beaucoup d'entre vous ne l'aura sur le fond, la lucarde de limobilier, à l'origine, au démarrage, c'était un réseau d'agences franchisées. Yves, avec tout ce soir, yves mangeurs que vous connaissez, toutes"
204.78,238.9," et tous, étaient l'hymènes directeurs de deux agents à la lucarde de limobilier, à Marseille, un c'est qu'à 6 fours. 6 fours ou ça n'a rige, je m'ai trop compris ce qu'était 6 fours, ce qu'était sa narie, apparemment ces deux trucs qui sont la même chose, mais pas la même chose, pour moi c'est toujours resté mystérieux, en tout cas, il avait donc une agence à Marseille, ça n'a pas d'où, mon le verre de nous vingt, et une agence au bord de la mer, dans le verre, dans un vieil qui portait un nom, je sais pas lequel, j'avais compris. Nous avions des agents ça, on les a durant des agents, ça tourne un"
238.9,277.58," petit peu partout, on les aions parisienne, à tout le monde, on avait deux, etc. Lorsque l'égislation a changé, la législation concernait l'exercice de limobilier par des agents commerciaux, parce qu'avant c'était toute législation, tout était très fou, on savait pas très bien comment ça s'est insécielé, est-ce qu'était autorisé, si bien qu'on pouvait être agent commercial dans une limobilier dans un département, ça se passait très bien et dans le département d'un côté, ça ne marchait pas, le gref refusait de vous encerrer, la loi a changé avec la loi UNL, pour préparifier l'exercice du transactif de limobilier,"
277.58,316.82," en tant qu'agent commercial dans une limobilier, on voit la les agents, ça fonctionne comme ça, les agents commerciaux fonctionnent tout comme si ça a permis à deux réseaux de créer, de se développer, qu'à Piffrance et à la lycain de limobilier. Les deux réseaux étaient tous les deux des agents, nous nous étions un réseau d'agence un petit peu partout en France, qu'à Piffrance avec quelques agences locales du côté de Montpouiller et nous avons créé les agents commerciaux en immobilier. Après par la suite, sont arrivés les safes, tils et y a des, les petits mots,"
316.82,347.82," les marchands, les trucs, des réseaux de gens commerciaux en immobilier, on a, mais la vue de limobilier avait ceci de spécifique que cet est un raison axi vers le haut de gamme. Tout le système des maquettes alternatives, c'est appelé des vis-directionnés, qu'il faut plein de raisons pour les gens qui ont été des gens qui ont été des gens qui ont été des gens qui ont été des gens qui ont été des gens qui ont été des gens qui ont plein de raisons pour lesquels nous ne l'ont pas redis au jour."
