start,end,text
0.0,30.0,"Donc, l'urbanisme aujourd'hui. Alors, l'urbanisme, qu'est-ce que c'est ? L'urbanisme. Vous en avez souvent entendu parler, parce que dans plein de visioconférences, on parle un coup des permis de construire, un coup du PLU, un coup du COS, un coup du machin. Là, on va tout mettre ensemble. L'urbanisme, qu'est-ce que c'est ? C'est un champ du droit. C'est le droit de l'urbanisme. C'est un champ du droit. C'est du droit public. Le droit public, vous savez, à la différence du droit privé,"
30.0,60.14,"les rapports entre les gens, comme vous et moi, et l'administration, l'État, les collectivités locales, etc. À la différence du droit privé, qui ne concerne que les relations entre personnes privées, qu'elles soient morales ou physiques. Donc quand vous attaquez votre voisin en justice parce que son arbre est tombé sur votre clôture, c'est du droit privé, c'est entre personnes privées. Quand vous attaquez la mairie parce qu'elle ne veut pas vous accordez votre permis de construire, c'est du droit public."
60.4,93.48,"Le droit de l'urbanisme, c'est en fait l'organisation, l'utilisation, l'aménagement du territoire en France à l'échelle locale. Vous avez souvent entendu parler d'aménagement du territoire. À certaines époques, il y avait même eu des ministères de l'aménagement du territoire qui dépendaient généralement du ministère de l'Intérieur, mais pas toujours. L'aménagement du territoire, c'est quand on parle de l'aménagement du territoire à l'échelle nationale, à l'échelle macro, entre guillemets. Quand on va à l'échelle micro, c'est-à-dire à l'échelle locale,"
93.54,132.46,"à l'échelle de la commune, à l'échelle du département, on parle là véritablement de droit de l'urbanisme. L'urbanisme, tiens, j'y pense, je ne l'ai pas noté dans mon truc, ça vient de la ville. UBS, en latin, c'était la ville. On entend parfois parler du bénédiction urbis et orbis, c'est-à-dire à l'intérieur de la ville et hors de la ville, c'est-à-dire à Rome et au monde. Lourbes, c'était la communauté de Rome à l'intérieur du Pomérium."
132.52,162.78,"Le Pomérium, c'était la première enceinte que Rémus et Romulus avaient définie en coupant en lanière la peau d'un taureau. Pour définir les premières limites de Rome, ça avait fait une espèce de sillon un grand sillon qu'on appelait le Pomérium à l'intérieur du Pomérium c'était Lourbes, la ville, et à l'extérieur du Pomérium c'était Orbis, le reste du monde, alors bien entendu après Rome s'est étendu en dehors du Pomérium et c'est toujours resté ce qu'on appelait une espèce d'enceinte sacrée à l'intérieur de laquelle les règles"
162.78,194.38,"n'étaient pas les mêmes, on n'avait pas le droit de verser le sang, pas le droit de rentrer avec des armes d'où d'ailleurs le sacrilège de César lorsqu'il a pénétré à l'homme on s'en fout, je suis en train de partir là où il ne faut pas, comme d'habitude vous le connaissez donc on va arrêter ça Urbs ça veut dire ville Urbs, Urbis en latin donc le droit de l'urbanisme c'est quand on parle d'aménagement du territoire à l'échelle locale et non plus à l'échelle macro là on parle à proprement parler d'aménagement du territoire global donc c'est une branche du droit public"
194.38,225.34,"qui régit l'organisation je vous disais là je reviens à mes notes j'ai des vraies notes je vous promets j'ai vraiment travaillé regardez je peux vous les montrer je bluffe pas Vous voyez, c'est des vraies, vraies notes. Le droit de l'urbanisme constitue une branche fondamentale du droit public régissant l'organisme. J'ai vraiment bossé, je ne suis pas en train de vous raconter des bêtises que je sors de ma tête au fur et à mesure. Donc, l'aménagement du territoire en France, le but du code de l'urbanisme, qui est un code à proprement parler, comme le code civil, comme le code de la construction et de l'habitation, comme plein de choses,"
226.62,259.40000000000003,"c'est premièrement la gestion rationnelle des espaces naturels, agricoles, urbains et forestiers. Et vous allez voir que c'est une définition qui évolue avec le temps parce qu'on va parler de notions qui sont très actuelles d'aujourd'hui, on va dire très à la mode et qui n'existaient pas à l'époque, par exemple, où moi j'ai fait mes études de droit et où j'avais du droit de l'urbanisme, je crois que c'était en maîtrise ou en licence, je ne sais plus. Tout ce dont on va parler aujourd'hui, les notions dont on va parler aujourd'hui de préservation de l'environnement, etc., ça n'existait pas à l'époque."
259.52,302.8,"Comme quoi, ça prouve que c'est un droit en pleine évolution, ce n'est pas figé avec des règles qui datent de Mathieu Zalem. Donc, la gestion rationnelle des espaces naturels, là vous voyez qu'on est très clairement dans une notion de protection de l'environnement, c'est quelque chose de très actuel d'aujourd'hui, agricole, urbain et forestier. Ensuite, la préservation de l'environnement, on y revient, du patrimoine architectural, culturel et naturel, là ce sont vraiment les termes officiels. 3. La mise en œuvre du développement durable, là encore on revient à des notions très actuelles, et les aspects environnementaux, économiques et sociaux, et l'équilibre entre le développement économique, l'habitat et la protection des paysages."
304.42,335.86,"Quels sont les principes directeurs dans les principes fondamentaux du droit de l'urbanisme ? Quels sont les principes directeurs du droit de l'urbanisme ? Alors, bien sûr, c'est l'intérêt général, ce ne sont pas des intérêts particuliers. Vous, quand vous gérez votre parcelle de terrain et que vous voulez un permis de construire pour faire une véranda ou une piscine, c'est votre intérêt particulier. Justement, le droit d'urbanisme a vocation à protéger l'intérêt général contre les intérêts particuliers des uns et des autres."
335.86,374.08,"En gros, ce que les gens vont faire de leur propriété privée, est-ce que ça ne va pas en rentrer en contradiction avec l'intérêt général en matière d'environnement, de préservation des espaces forestiers, etc. Donc, c'est un principe de protection de l'intérêt général dans la gestion urbaine, principalement urbaine, au sein de l'environnement. Je vais vous donner toutes sortes d'exemples concrets, tout au long de cette visioconférence. J'avais fait ça lors de la dernière visioconférence. Je vous avais donné plein d'exemples concrets, avec notamment des exemples de décisions de justice liées à ça."
374.08,409.82,"apparemment ça vous avait beaucoup plu parce qu'il y a pas mal d'entre vous qui m'ont dit et ça c'est bien parce que ça permet vraiment de comprendre comment les choses s'articulent dans la vraie vie réelle donc j'ai recommencé ici je vous en ai mis plein plein plein plein plein d'exemples concrets de condamnations de machins, de décisions de justice premier exemple concret 2022 à Nantes un permis de construire pour un lotissement a été annulé avant le démarrage de la construction car il violait les orientations du scote intercommunal qui privilégiait la densification en zone urbaine et interdisait les étalements en zone agricole."
410.3,443.54,"Donc vous voyez ici, il s'est agi de dire, ce qu'on va faire avec ce lotissement, ça va aller manger sur les zones agricoles, c'est une très mauvaise idée, ce n'est pas dans l'intérêt général, on va interdire le permis de construire pour ce lotissement, ce lotissement ne verra pas le jour. Il s'agit véritablement d'organiser un bon équilibre entre les étalements en zone agricole et la densification urbaine. Alors, la protection du patrimoine et des paysages, bien entendu, c'est aujourd'hui une notion très inscrite dans le droit de l'urbanisme,"
443.7,488.32,"ce n'était pas le cas auparavant. Aujourd'hui, le droit de l'urbanisme visera à protéger les sites, les monuments historiques, les paysages naturels. C'est une des priorités principales du droit de l'urbanisme d'aujourd'hui. Ce n'était pas du tout le cas avant. Ça inclut les secteurs sauvegardés, on va y revenir tout à l'heure, les sites patrimoniaux, les zones Natura 2000, qui se sont multipliées dans les 10-15 premières années après l'an 2000. Aujourd'hui, ça lève un petit peu le pied. Autre notion qui a aujourd'hui un petit peu envahi le droit de l'urbanisme, le principe de mixité sociale."
488.32,523.7,"Ça aussi, auparavant, c'est quelque chose qui n'existait pas, à l'époque où j'ai fait mes études par exemple, et c'est très présent aujourd'hui. Vous savez que la loi SRU, 13 décembre 2000, nous on la connaît particulièrement la loi SRU parce que c'est la loi qui a instauré les 10 jours de rétractation à la suite de la signature d'une promesse de vente pendant laquelle l'acquéreur peut, sans aucune raison, dire stop, je m'en vais, je n'achète plus, sans aucune pénalité pour lui. la loi SRU, qui s'appelait SRU pour Solidarité et Renouvellement Urbain, du 13 décembre 2000,"
524.1,555.14,"a également introduit un certain nombre de dispositions visant à privilégier une mixité sociale, et notamment une fameuse règle des d'abord 20 puis ensuite 25% de logements sociaux imposés dans chaque commune. Chaque commune, je crois que c'est de plus de 20 000 habitants, je ne suis pas sûr, mais à partir d'un certain seuil, les communes ont l'obligation d'avoir, à l'époque de la loi SIR, 20%, aujourd'hui c'est passé à 25%, de logements sociaux. Ça, ça n'existait pas auparavant, les principes de mixité sociale, etc."
555.36,592.18,"Aujourd'hui, c'est très très très très très présent dans le code de l'urbanisme. Exemple concret, condamnation de la mairie de Neuilly-sur-Seine. En 2021, elle n'a pas respecté les 25% de logements sociaux et elle a dû payer une amende de 2 millions d'euros. Alors il y a un certain nombre de communes comme ça, qui préfèrent payer les amendes, et ce n'est pas plus mal. Vous allez comprendre pourquoi. On pourrait dire que ce n'est pas bien du tout si les communes ne veulent pas respecter la loi. Oui, mais si elles ne respectent pas la loi, elles payent des amendes, des amendes qui, en théorie, sont directement affectées à la construction de logements sociaux."
592.18,622.5,"Et un rapport parlementaire d'il y a quelques années avait trouvé, vu, ce n'était pas prévu du tout, qu'en fait, le fait que certaines communes ne veuillent pas construire de logements sociaux et à la place payer des amendes, en fait, ça contribuait plus aux logements sociaux. parce que les quelques logements sociaux qu'ils auraient construits pour arriver à ces 20% étaient inférieurs aux logements sociaux qu'on arrivait à construire ou à améliorer avec les amendes, donc en fait c'est très bien"
