start,end,text
0.0,30.0,"Aujourd'hui, nous allons parler de la recherche cadastrale TAPTICIMO. Pourquoi ? Parce que lorsque Laurent a préparé sa visio la semaine dernière et qu'on en a discuté, je lui ai parlé de la recherche cadastrale et il m'a dit « Oh là là, ce truc-là, c'est loin, je ne sais pas comment ça fonctionne, je ne m'en souviens pas. On a vu ça à un moment, il y a longtemps, mais comme je ne me suis pas trop penché dessus, je ne sais pas vraiment ce qu'il en est. »"
30.0,62.22,de rajouter la recherche catastrophe en visio pour deux raisons premièrement parce que vous avez besoin de savoir comment fonctionne cet outil qui est très très très utile et deuxièmement parce que on rajoute des heures en plus pour valider les les heures de loi allure de ceux d'entre vous à qui il en manquerait alors cet outil de recherche cadastral c'est un outil formidable qui a été inventé et mis au point par nos camarades de chez Tacticlimo à côté d'Aix-en-Provence.
62.22,92.68,"Je ne sais pas s'il fait beau là-bas, mais j'imagine qu'ils ont meilleur temps que nous. C'est un outil absolument formidable. À quoi sert-il ? C'est un outil qui vous permet de retrouver l'emplacement physique, géographique d'une maison qui est passée en annonce par un particulier ou par un professionnel. Mais ce qui nous intéresse plus, nous, ce sont les maisons mises en annonce par les particuliers sur le Boncoin, sur je ne sais pas quel site."
92.76,133.26,"C'est vrai que le Boncoin est le principal site, bien entendu, mais il y en a d'autres. Comment fonctionne cet outil ? C'est très simple. Alors, c'est très simple sur le papier. C'est très compliqué à mettre en œuvre, mais c'est très simple sur le papier. L'outil TactiKimo va lire une annonce pour en extraire les informations pertinentes et les recouper avec les données du cadastre."
133.26,166.26,"Parce que vous savez que le cadastre fait partie de ces données publiques qui sont accessibles par ce qu'on appelle un API. Un API, c'est, on va dire de manière très grossière, un connecteur entre deux bases de données. Le gouvernement construit, fabrique, crée, code des API pour toutes sortes de choses. C'est ce que nous utilisons notamment pour aller chercher les DPE, c'est ce que nous utilisons pour aller chercher les informations des sociétés. quand vous rentrez en mandat une personne morale, etc."
167.04,198.64,"Et le cadastre dispose de son API, ce qui nous permet d'aller interroger la base de données du cadastre. Alors, si je prends une petite annonce Le Bon Coin, en voici là. Alors là, on est à Montaisson, donc on est toujours chez Laurent, parce que je pense que la dernière fois que j'ai fait une recherche, c'était du côté de chez Laurent. si on prend une annonce, celle-ci par exemple dedans on a un certain nombre d'informations il y a les informations"
198.64,230.1,"qu'on appelle les critères obligatoires 4 pièces, 70 mètres carrés, code postal, etc et ensuite il y a ce que le propriétaire a lui-même rédigé c'est ce qu'on appelle le texte libre qu'on appelle parfois, assez communément, le texte pub donc il y a deux sources d'informations les informations objectives, celles qui sont par exemple lues dans Eglantine, la pièce 70 mètres carrés, la taxe"
230.1,261.72,"financière, etc. Est-ce que le négociateur a lui-même rédigé ? Tati Kimo va lire tout ça et recouper ces informations avec les informations contenues dans la base de données du cadastre et essayer de retrouver la partielle cadastrale sur laquelle se trouve la maison en question. Alors, lorsque Tactic Emo n'arrive pas à le trouver de manière automatique, vous, vous-même, vous essayez de bouger un petit peu, tel critère, tel critère, pour retrouver la maison."
261.86,292.8,"C'est ce que nous allons voir aujourd'hui. Alors, j'enlève le bon coin et on va sur Tactic Emo. Donc, vous cliquez dans votre lien Prospection Tactique, qui est ici. bloqueur de publicité bon c'est pas grave, je l'enlève alors bien entendu vous le savez vous avez ici les petits tutos dont on parlait lors de la dernière visioconférence les tutos qui sont ici mais ce qui nous intéresse nous spécifiquement c'est"
292.8,323.02000000000004,"les liens les boutons ici les boutons qui sont voilà ici vous voyez là, annonce et le bouton cadastre qui est en dessous, annonce et cadastre je ne sais pas si ça vous aide beaucoup quand je mets ça de cette couleur là donc les annonces que nous allons chercher dans votre base de données"
323.02000000000004,353.16,"selon les villes, les communes que vous avez sélectionnées et le cadastre lui-même lorsque vous souhaitez enregistrer directement un cadastre alors les annonces on va aller rechercher une annonce de particulier parce que c'est ça qui nous intéresse le plus et on va aller alors dans quelle localité parce que moi vous voyez que ce sont ici que des communes de test j'ai pris des communes dans deux départements très différents, d'un côté les Yvelines, le 78"
353.16,383.40000000000003,"d'un autre côté l'Aveyron le département 12, c'est cher à mon coeur je ne suis pas originaire de l'Aveyron mais c'est un département que je trouve certainement un des plus beaux, sinon le plus beau de France donc on peut aller à peu près où on veut si vous voulez on peut aller dans les Yvelines on va prendre des communes qui sont les unes à côté des autres dans ce secteur que je ne connais pas très bien c'est un secteur qui est proche de chez Dominique, je ne sais pas"
383.40000000000003,417.42,"est-ce que Dominique est avec nous aujourd'hui, mais en tout cas c'est un secteur qui est juste à côté oui, Dominique est avec nous Donc, elle va reconnaître, bien entendu, le secteur. Alors, on fait ça ici, on pourrait faire ça ailleurs. Ce n'est pas très grave. Donc là, ça devrait être suffisant, je pense. Et là, ça m'affiche les petites annonces des communes que j'ai sélectionnées. Donc, la commune de Dampierre-en-Yvelines. Dampierre-en-Yvelines, je vous le conseille."
417.42,447.44,"En ce moment, ils ont réouvert le château qui était en travaux depuis très longtemps et ils y exposent, c'est très impressionnant, un squelette de dinosaure. J'y suis allé, je l'ai vu, c'est très impressionnant. Un vrai squelette de dinosaure. Vrai squelette de vrai dinosaure. Gigantesque. J'ai un diplôme de plus, un machin, je me connais grosse de bêtes. Aller visiter, c'est très chouette. Ça coûte la peau des fesses pour une visite comme celle-là,"
447.56,481.62,"mais c'est très chouette. Je m'aperçois que j'ai mis une commune d'Aveyron. Je me suis trompé, c'est un trait de monde. Ce n'est pas très grave, ça ne pose pas de problème. Alors, pourquoi je prends ces communes-là ? Pourquoi je prends des communes dans lesquelles, en fait, il n'y a quasiment que des maisons ? Parce que l'outil TactiKimo ne permet pas de retrouver des appartements. Enfin, l'outil TactiKimo, excusez-moi. L'outil de recherche cadastrale de TactiKimo ne permet pas de retrouver des appartements."
482.06,514.5,"Parce qu'il s'agit en fait de retrouver la parcelle cadastrale sur laquelle ça se trouve, premièrement. Deuxièmement, dans des appartements, on n'a pas d'indication propre à cette parcelle cadastrale Quand vous avez une annonce d'appartement, on vous parle d'un appartement de 4 pièces, 80 m² au 4ème étage Ça ne nous permet absolument pas de trouver l'endroit où ça se trouve"
514.5,546.48,"Donc, vous le savez, c'est une contrainte de cet outil Tacticimo, il ne nous permet de trouver que, je vais essayer de reprendre les mêmes communes ici, parce que je vais vous montrer sur les deux boutons. Hop, Terrefontaine, Gazerand, je ne sais pas si j'ai tout pris, mais on va dire que oui. Pourquoi ça ne me sort rien ici ? C'est bizarre, rechercher, j'ai défini. est-ce que j'ai un petit bug"
546.48,577.84,"voilà donc là on est allé dans la commune de Cernay-la-Ville alors là encore chose magnifique à visiter à Cernay-la-Ville il y a ici une abbaye, alors là la photo est très vilaine, une très belle abbaye l'abbaye des Vaux-de-Cernay c'est magnifique, mais maintenant on ne peut plus le visiter gratuitement, il n'y a que pour les clients de l'hôtel et du restaurant, alors qu'avant on pouvait aller se balader directement dans le parc"
577.84,611.3199999999999,"qui était très très beau et dans les ruines de l'abbaye c'est très très très joli, donc on a ces deux onglets qui sont là on va jongler régulièrement de l'un à l'autre, vous allez le voir même si il y a des passerelles donc en quoi ça consiste ? je prends mes annonces qui sont là Par exemple, ça c'est une annonce de seloger.com. Elle a été rédigée par un particulier, parce que vous avez vu que j'ai cliqué sur les particuliers tout à l'heure."
