start,end,text
0.0,30.0,"Aujourd'hui, donc, nous allons parler de prospection. Alors, c'est très très important de parler de ça. Pourquoi ? Parce que la prospection, vous le savez, c'est quelque chose de central dans toutes les professions commerciales. Déjà, une petite définition très rapide. Qu'est-ce que la prospection ?"
30.0,62.040000000000006,"de contact, de mise en relation, il y a plein de choses qu'on peut faire, toutes les actions que nous mettons en œuvre dans le but de trouver, rencontrer et convaincre de nouveaux clients. C'est ça la prospection. C'est faire des choses, plein de choses, pour trouver, identifier, rencontrer physiquement et convaincre des gens qui ne sont pas nos clients de devenir nos clients."
62.7,93.42,"Dans l'immobilier en France, parce que dans d'autres pays, ça fonctionne différemment, mais dans l'immobilier en France, ça passe par des vendeurs. Les clients que nous devons identifier, rencontrer, convaincre, ce sont les vendeurs, pas les acquéreurs. Il y a certaines personnes qui veulent prendre le problème à l'envers en se disant que, comme c'est très difficile de trouver, identifier, convaincre des vendeurs de devenir nos clients, ils vont passer par les acquéreurs, mais c'est une erreur, ça ne fonctionne pas."
93.58,124.0,"Il y a plein de gens qui ont essayé, ça s'appelle des chasseurs immobiliers, ces gens n'en vivent pas, ça ne fonctionne pas, parce que le marché, à la fois juridiquement et commercialement, est organisé d'une certaine manière dans chaque pays, et en France, la manière dont le marché est organisé nous impose de passer d'abord par le vendeur, et ensuite, grâce à l'annonce que nous passerons du produit du vendeur, nous entrerons en contact avec des acquéreurs. Ça se fait dans ce sens-là."
124.44,162.62,"D'abord, on identifie les vendeurs et ensuite, on trouvera des acquéreurs. Jamais l'inverse, ça ne fonctionne tout simplement pas. Si ça fonctionnait, super, il se trouve que ça ne fonctionne pas, pour plein de raisons. Alors, la prospection, ce sont toutes ces actions que nous mettons en œuvre pour identifier, trouver, rencontrer, convaincre ces nouveaux propriétaires. auparavant dans l'immobilier on pratiquait d'une certaine manière aujourd'hui cette manière ne fonctionne plus du tout alors on va prendre un petit fichier word la prospection il y en a deux"
162.62,194.64,"types je dis en france après ailleurs ça peut différer premièrement la prospection physique Deuxièmement, la prospection téléphonique. La prospection physique et la prospection téléphonique, vous m'avez déjà entendu en parler au cours d'autres visioconférences bien sûr. La prospection physique et téléphonique sont"
194.64,226.16,deux modes de prospection différents qui sont pratiqués dans l'immobilier depuis des dizaines et des dizaines et des dizaines d'années qui donne des résultats très différents l'une de l'autre et qui aujourd'hui ne fonctionne plus de la même manière qu'avant alors déjà et on va passer très rapidement là dessus parce que je les amplement expliqué au cours d'une visioconférence relativement récemment la prospection physique ça consiste à physiquement aller frapper aux portes rencontrer
226.16,258.72,les gens sonner dans les immeubles et se présenter aux gens qui veulent bien nous ouvrir également on va discuter avec les commerçants on va discuter avec les dames qui promènent leurs chiens avec le facteur avec le monsieur qui passe dans la rue une jeune femme qui fait son footing on discute avec des gens comme ça qu'on ne connaît pas qu'on ne connaît pas en faisant bas bonjour j'ai besoin d'aide je cherche des clients où y aurait-il une maison à vendre c'est ça la prospection
258.72,300.36,"physique alors elle a un avantage et elle a un inconvénient principal a plusieurs avantages plusieurs inconvénients mais principalement ce qui caractérise la prospection physique son avantage c'est qu'elle nous donne des mandats de très bonne qualité son inconvénient c'est que ça ça donne extrêmement peu de mandats et des mandats à long terme, dans longtemps. Des mandats de très bonne qualité, pourquoi ? Parce qu'il s'agit, grâce à la prospection physique, d'identifier de futurs vendeurs immobiliers très tôt dans leur projet."
300.36,331.16,c'est à dire il y a quelqu'un qui est en train de divorcer à deux rues d'ici ils sont en train de divorcer c'est pas encore fait la maison n'est pas encore mise en vente donc il n'y a pas de concurrent puisqu'elle n'est pas encore mise en vente elle n'est pas déjà chez Century 21 et Capifrance deuxièmement comme elle n'est pas encore mise en vente les vendeurs n'ont pas encore défini le prix donc on peut avoir une influence pour les aider
