start,end,text
0.0,62.0,Réseau d’agent Mandat Réseau d’agent Mandat
90.0,129.0,"Réseau d’agent Mandat Frédéric, très très très très expert, très bien enseigné, très compétent, sur Capita, Boursorama, etc."
129.0,161.0,"Prévisant une baisse des points d'intérêt en 2024 et même dès le premier trimestre 2024. Alors je ne suis pas en train de dire que ça ne va pas avoir lieu que ces gens racontent des bêtises, pas du tout, je ne le sais pas moi. Oui, Frédéric a bien raison quand il nous dit que compétent, dans compétent il y a plusieurs mots, il y a beaucoup de mots comme ça dans la langue française qui eux-mêmes en comportent plusieurs. Il y a compétent, il y a de Gaulle, concupissant, il y en a plein comme ça."
161.0,197.0,"C'est très rigolo, c'est un peu comme les contrepêtrés, il faut être amateur. Donc je vous disais, je ne dis pas que ces gens racontent des bêtises, tu ne l'y m'en parles, mais on sait que tous les experts qui se succèdent sur Internet et dans les médias viennent toujours raconter parfois un peu tout et son contraire. Chacun vient avec son opinion et nous la balance comme si s'agissait d'un fait scientifiquement vérifié. Et on en a vu bien des exemples pendant la crise de Covid, il y a été un festival du n'importe quoi venant de tout et de absolument partout."
197.0,238.0,"Il se base principalement sur le ralentissement de l'inflation. Le ralentissement de l'inflation, si vous voulez, on peut aller, est-ce qu'on peut avoir un graphique de l'inflation en temps réel, c'est-à-dire, on ne va pas avoir en temps réel, ce n'est pas quelque chose qui bouge au cours de la journée, mais l'inflation 2023 réactualisée, tout inflation actuelle 2023 on va voir. Non, ça c'est avril 2023, on s'en fume un peu. 2 avril, c'est pour ça qu'il nous faut, mars, inflation novembre 2023, inflation au rythme annuel 2023."
238.0,274.0,"Donc, vous, alors attendez, je ne partage pas, vous voyez toujours le petit chat. Excusez-moi, voilà, là vous voyez franceinflation.com. Alors, inflation au rythme annuel 2023, l12 2022, donc ça c'était l'inflation 2022, vous voyez, qui était sur plus haut, le bleu, les barres bleues."
274.0,315.0,"Les barres bleues, c'était, est-ce que je peux ouvrir ça en plus grand ? Les barres bleues, si je ne me trompe pas, c'est l'inflation de 2022 et on voit que tout au long de 2022 ça a augmenté. Vous voyez janvier, février, crac crac crac crac crac, c'est un petit peu redescendu juillet, août, septembre. Vous voyez qu'il faut se méfier d'une baisse, si on regarde juste à un moment donné, on se dit, ah bah tiens, ça baisse, c'est une tendance plus longue qu'il faut regarder parce qu'après ça avait remonté dès octobre, pouf, dès octobre. Et puis d'ailleurs nous, c'est à ce moment-là, vous savez qu'entre l'inflation et les taux directeurs et les taux d'intérêt, c'est lié, oui, c'est lié."
315.0,350.0,"Mais les taux directeurs et les taux d'intérêt qui en découlent ne sont pas calculés directement en temps réel par rapport à l'inflation. Il y a toujours un décalage parce que les banques centrales, c'est les banques centrales qui définissent les taux. La Banque centrale européenne, ce qu'on appelle la Fed, l'équivalent de la Banque centrale aux États-Unis. Il y a bien entendu les banques centrales des États membres en France, en États-Unis, etc. qui ont une influence, qui définissent les taux en fonction, pas seulement, mais beaucoup de l'inflation."
350.0,382.0,"Et c'est nous, en septembre-octobre, donc là où vous voyez ma souris bouger un petit peu là, c'est là que nous avons vu l'année dernière le marché vraiment se gripper. Vraiment, vraiment, vraiment se gripper. Et ce n'était pas lié à la baisse de l'inflation de septembre, c'était lié en fait à la hausse de l'inflation de la première moitié de l'année, en fait, du premier semestre qui se répercutait dans les taux, mais pas seulement."
382.0,412.0,"Et on voit que tout à l'heure, ça a remonté après, pif-paf, en octobre-décembre, ça a un petit peu baissé, c'est un petit peu redescendu, vous voyez. Et ça remonte en janvier parce que là, les barres rose jaune orange, c'est 2023, donc on termine les 2022 ici à la barre bleue et on commence 2023 ici et on voit que l'inflation est peut-être à 6%."
412.0,444.0,"Et elle a bien amplement dépassé 6%, elle est peut-être à 6,650, là je ne sais pas, quelque chose comme ça. Et après, hop, une baisse en mars, remontée en avril, mais pas au-dessus des 6%, et ça redescend, et ça redescend, et ça redescend, ça remonte en août de septembre, c'est normal, c'est toujours saisonnier, et hop, et ça redescend un petit peu. Donc on est dans un rythme plutôt baissier par rapport à l'année dernière et ça devrait se traduire dans les taux d'intérêt."
444.0,480.0,"Pourquoi ça se traduit dans les taux d'intérêt ? Alors je ne vais pas faire l'expert en finance et en économie que je ne suis pas, bien sûr, je vous parle grossièrement des choses telles que je les connais, c'est-à-dire pas du tout en spécialiste, en expert, vous le savez. Les taux d'intérêt, c'est un outil des banques centrales pour essayer de juguler l'inflation. Vous trouverez là encore des gens très experts pour vous expliquer que ce n'est pas la bonne méthode, ce n'est pas le bon outil, ce n'est pas comme ça qu'il faut faire, il faut s'y prendre différemment."
480.0,521.0,"En tout cas, c'est un outil qui est utilisé par les banques centrales pour essayer de juguler l'inflation, pour freiner l'inflation ou pour la réduire, ou l'augmente les taux. Je vous dis ça de manière là encore très basique. Et quand l'inflation baisse, en théorie, on peut baisser les taux, on se dit ah c'est bon, ça se stabilise, le ciel s'éclaircit, c'est bon, on peut soit arrêter d'augmenter les taux, soit même baisser les taux."
521.0,554.0,"Avec toujours la question, oui mais attention si on les baisse, ça ne va pas faire repartir l'inflation à la hausse, etc. Ce sont là les débats d'experts, les « who can't lose » de toute manière, on n'a pas pris un autre avis, et nous on a à peu près rien à foutre. Donc c'est là-dessus qui se base, c'est sur le ralentissement voire la baisse de l'inflation. Ce n'est pas vraiment une baisse parce que vous voyez qu'on n'est pas encore revenu là en novembre 2023, au taux de janvier 2022."
554.0,586.0,"Donc on n'est pas encore redescendu au plus bas d'ailleurs. Si on peut regarder taux inflation actuel, est-ce qu'on peut avoir ? Je vais désoomer bien sûr, je vais désoomer pour vous. Si on peut retrouver ici les graphiques de l'inflation avant 2022, c'est-à-dire aller sur un graphique qui serait 2021-2022."
587.0,626.0,"On n'a pas ça ? On n'a pas ça ? Inflation du mois, inflation, prévision inflation, on peut prendre prévision inflation, on va voir s'il nous dit un petit peu. Non ? Est-ce qu'on peut avoir inflation 2021 ? Ça n'écrit pas, excusez-moi. 1,6% de ça c'est la moyenne en 2021, attention, c'est la moyenne parce que quand on voit qu'ici on était aux alentours de 3% en janvier, c'était en janvier."
630.0,661.0,"Est-ce qu'il nous donne des graphiques ou juste des données ? J'ai peur, c'est court. J'ai très très très très peur. 2022, 5,2%, ça c'est la moyenne. Si on prend tout ce qu'on a en 2022 ici, on est à une moyenne de 5,2% et là vous voyez qu'aujourd'hui, là en novembre, on est à trois et quelques. Et si on prend l'inflation 2021, on était à 1,6%."
661.0,694.0,"Vous voyez qu'on est passé à une moyenne annuelle de 1,6 à 5,2. Là en novembre, on serait donc à on va dire 3,5. J'imagine 3,5. On est encore loin des 1,6. Donc on n'est pas dans une baisse qui nous remet à l'état où on était avant, mais on est quand même dans un sérieux ralentissement, une décélération. Les journalistes aiment bien ça, un ralentissement de l'augmentation."
695.0,727.0,"Pourquoi je vous parle de ça ? Pourquoi je vous parle de ça ? Parce que vous êtes nombreux, vous et puis vous aussi bien entendu, parce que c'est votre métier à vous interroger et peut-être vous angoisser sur les taux d'intérêt. Parce que les taux d'intérêt ne sont pas du tout le seul Twitter qui fait qu'on fait plus ou moins de ventes, mais c'est un élément déterminant. Si les taux d'intérêt sont élevés, il y a beaucoup moins de gens qui peuvent acheter."
727.0,768.0,"C'est aussi simple que ça. Plus les taux d'intérêt sont élevés, moins il y a de gens qui peuvent acheter. Plus les taux d'intérêt sont bas, plus il y a de gens qui peuvent acheter. Donc en fait, l'acquisition immobilière est facilité et on va dire démocratisée par des taux faibles. L'acquisition immobilière est compliquée, ralentie, entravée par des taux d'intérêt élevés. Et même s'il y a plein de facteurs qui font qu'un marché immobilier est fluide, ça se passe bien, ou grippé, ça se passe mal, il y a plein de choses."
768.0,809.0,"Il peut y avoir des élections, il peut y avoir des conjoncturiers à un pays spécifiquement. En Irlande, ça ne se passe pas de la même manière qu'en France. Des guerres, des tensions géopolitiques, des tensions au sein d'un pays. Tout ça, c'est vrai, mais les taux d'intérêt sont un des facteurs les plus importants, un de ceux qui ont le plus d'impact réel. Donc surveiller les taux et essayer de prévoir leur éventuelle baisse, c'est anticiper une amélioration du marché immobilier."
809.0,842.0,"On a eu en fin 2022 et tout 2023 un marché immobilier extrêmement difficile, vraiment très très très très très difficile. Là, la fin de l'année, parce qu'il y a toujours un décalage. Un décalage, c'est exactement comme les fonds du Covid. Entre le moment où les gens sont malades et le moment où ils ont les premiers symptômes, il se passe dix jours. Et le moment où ils ont les premiers symptômes et ils ont la vraie maladie, c'est-à-dire des problèmes respiratoires, machin, etc."
842.0,872.0,"Il y a encore dix jours pour qu'ils finissent en réanimation. Et une fois qu'ils sont en réanimation, il y a encore dix jours pour voir se répercuter ça sur les décès. Nous en souvenons de tout ce qui fait qu'entre le moment où une personne attrape le Covid 19, le virus tout au moins, parce que le Covid 19 c'est la maladie, entre le moment où une personne attrape le virus et le moment où elle meurt, il se déroule un mois. Parce qu'il faut que ça incubue, ça aille les premiers symptômes, ça tourne mal, on va à l'hôpital, on va en réa et on meurt."
872.0,912.0,"Il se déroule un mois. Vous vous souvenez de ça ? Encore, on ne rentre pas dans le débat s'il vous plaît du Covid. C'est exactement pareil pour nous. Entre le moment où les prix montent, l'inflation, les taux et ça se répertue dans les ventes, il y a plusieurs mois. Il se déroule plusieurs mois. Et par exemple, en ce moment même, novembre et décembre, ce sont des mois très très très mauvais. On le voit nous dans les transactions, ce sont des mois très très très très mauvais. Comme je vous l'ai dit, moi je pense que le marché ne va pas revenir à ce qu'il était auparavant."
912.0,952.0,"Je pense qu'on est arrivé, on en a amplement discuté au cours de plein de visions et on en a discuté à cette heure par exemple. Je pense que le marché ne va pas revenir à ce qu'il était auparavant. Je pense que le marché a suivi une évolution. La conjoncture économique et géopolitique a fait qu'on est arrivé à un certain stade. Et maintenant il va falloir reconstruire une nouvelle prospérité tout doucement. Ça veut dire que je pense que les choses vont tout doucement s'améliorer, vont tout doucement devenir plus favorables pour nous."
952.0,986.0,"Mais non, elles ne vont pas revenir à ce qu'elles étaient en positif de manière aussi brutale qu'elles sont devenues négatives et grippées. Non, tout doucement ça va, on va reconstruire une nouvelle croissance. Un petit peu comme si on était arrivés au haut d'une montagne, bouf on est descendu d'un coup, on a roulé en bas de la vallée. Et maintenant il va falloir qu'on regravisse la montagne suivante, tout simplement. C'est important quand même parce qu'on n'a pas eu beaucoup de perspectives positives tout au long de l'année."
986.0,1016.0,"On a vu les choses se dégrader, se dégrader, se dégrader. Là avoir pas mal d'experts, ils nous disent quand même, ah, peut-être, moi je reste prudent entre ceux-là, oui oui ça va se passer comme ça. Il y a peut-être des raisons d'espérer une baisse des taux en 2024. C'est quand même une bonne nouvelle, c'est quand même une lueur d'espoir parce qu'à partir du moment où les taux baissent très rapidement,"
