start,end,text
0.0,35.44," Bonsoir à tous, bonsoir à tous, t'es ce que vous m'entendez bien ? Est ce que vous pouvez me le confirmer sur le chat si vous plair ? Oui, super ! Bonsoir à tous, bonsoir à tous, bien entendu ! Bonne année à toutes les gens qui ont été vraiment éventués."
35.44,67.68," Bonsoir à tous, bonsoir à tous, bonsoir à tous, bonsoir à tous, bonsoir à tous, le son est bon, super ! Et bienvenue à cette première vision, où le cours là est en train de se faire tirer la barre par ce petit chat. J'adore les chats, je trouve ça très très beau, je trouve que ces animaux nous sont incroyablement supérieurs, mais j'en ai pas, moi j'ai toujours eu que les chats, je ne sais pas ça, je ne sais pas pourquoi, alors que j'aime d'or les chats, je trouve que ces animaux"
67.68,100.28," très très très très très bons, les chats et les chevaux sont parmi les plus bons animaux de la création. Alors, on va commencer la vision aussi, vous voulez bien ? Je vous remets mon écran, on va prendre les glancinas, voilà. On va commencer par une première question de hug, pourquoi ? J'ai prévu pas mal de choses à voir ce soir, mais hug vient d'un instant de me demander de parler d'un"
100.28,131.64000000000001," cas auxquels il est confronté, dont on a discuté le mémot ou téléphone plusieurs fois cette semaine, on va en parler en premier parce qu'il doit partir tous ce choix. Nous on se dit 9h45, il doit s'absenter, on va en parler comme est montronnier, c'est pas si tôt que ça y va pas très très vite, mais on va en parler en premier parce que c'est un cas auxquels vous êtes toutes et tout régulièrement confronté. Donc c'est une question importante, c'est la question à la rote en déjeunet de l'évolume, monsieur, avec le pichard, voilà, et on arrive sur la rote en thine, ça fait tout de suite beaucoup plus pro."
131.64000000000001,164.6," La question, la question, la rote en thine, c'est un cas très très très très très courant. Quelle est-il ? Hugue à Amanda. Je vous plie de gros gros bas graphes et dans le Parcanae. Donc sous les eaux, ils s'entraient de construire une arche pour se souver, mais tous les élément de la création, Hugue à Amanda donc si il est également en concurrence"
164.6,198.32," chez Orpie. Orpie diffuse le même mandat. Ils ont le mandat. Des acquiérers visite avec Orpie, signent donc des bons visites avec Orpie, des bons visites avec Orpie. Et ensuite par le trouchement du vendeur, ça s'accomplique un petit peu la chose, on va le voir dans un instant. Mais par le trouchement du vendeur, Hug se retrouve avec la possibilité de récupérer"
198.32,229.20000000000002," ses acquiérers. Si changeraient de professionnels, il passerait de théorie sur Orpie à la lutte un de les modiliers parce que Hugue est beaucoup moins cher sur ses honoraires. Pourtant, respectant ses honoraires, c'est très important. C'est très très important, il respecte sa grille de norére. Ça change tout dans sa capacité à le faire. Alors, la question de Hugue est relativement simple, la question à l'animation est relativement simple. Est-ce que je peux faire ? Est-ce que je peux récupérer ses acquiérers pour faire"
229.2,260.8," la vente ou pas ? Et avec sa question, Hugue nous envoie le bon visite de Orpie. Et c'est assez important, le bon visite de Orpie, vous allez voir, on va aller le regarder ensemble. C'est assez important parce qu'il n'est pas piqué des verres comme on dit très loin. On va chercher la question de l'autre ami Hugue sur l'animation, tout"
260.8,290.8," tout de que ça c'est la suite de... Est-ce que ce sont les bon visites ? Il faut toujours faire ça, vous en voyez tous les documents possibles et imaginables. Et qu'est ce qu'on va avoir sur ces bon visites ? Ce sont les bon visites similes par les clients auprès de l'agence sortie."
290.8,325.64," Ça m'a fait rigoler, pourquoi ? Parce que quand vous m'ont tendé souvent dans ces visio-conferences, cités des agences. Je parle des autres agences qui sont au tout. Je dis toujours agences de l'Amérique, agences de la poste et en pensant à nos amis du Nord, je dis agences du Béfrois. Je sais pas si c'est un brouillard, mais tout le temps, je dis agences du Béfrois. Et là, je tombe sur une vraie agence du Béfrois. Ça m'a fait marre. Je me suis culéco, j'ai rigolé toute la journée. J'ai été heureux, agences du Béfrois. Donc, l'agence du Béfrois, exploité par agences du Béfrois et CRM, machin, tout ça,"
325.64,358.48," on s'en occupe. Ça c'est l'identité des clients. Je ne sais pas pourquoi il a été caché. On s'en occupe un petit peu. C'est pas très important. Donc, agissant un monde personnel que pour le con de tout autre personne physique, au moral que j'ai venu de me suffisir pour lesquels je me porte fort, tout ça s'il du blabla. Je tue blabla. Si tue blabla. Reconé important à voir rendez-vous le 5 janvier avec un collaborateur de l'agence pour visiter les biens désignés. Blabla, blabla, blabla, blabla. Alors, c'est un bon visite."
358.48,394.16," Mais il y a quelque chose de grossiante dedans. C'est ici. Je m'interdit par la présente. Donc, c'est la pierreur qui a signé ça. On est d'accord. C'est la pierreur. Je m'interdit par la présente de traiter ou de négocier l'achat de ces biens sans l'intervention de l'agence. Donc, de l'agence du béphrois, orpil. Et en gras, ce que partout, ça n'y a rien. En cas de mentement à cet engagement pendant une durée de 12 mois à compter du jour de la visite, je m'engage à faire l'éparation du préjudice que consciturait son éviction"
394.16,425.52," par le versement à l'agence d'un dédommagement égain, au montant des horaires auquel est le rétendre. Vous allez me dire pour les ont un plurapil. Ma question est différente avec tous les bons visites de tous les agents immobiliers de France, y compris la lucaire. Et bien ce qui est différent, c'est que le bon visite de la lucaire, comme tous les bons visites, en fait, ils servent à interdire à la pierreur et au vendeur de faire la faire"
425.52,455.6," en direct de faire la faire de particulier à PAP, de particulier à particulier, excusez-moi, je commence déjà mes bêtises de particulier à particulier. C'est à ça que ça me donne visite par ce que. Le bon visite, c'est une reconnaissance de visite. En gros, c'est un document par lequel l'acquérreur dit, je reconnais que je suis venu visiter avec l'agence du béfrois. Il n'y a pas un contrat. Ça n'est pas un contrat. Ça ne peut pas être un contrat."
455.6,491.88000000000005," Il n'y a pas ici, là, dans ce document, tous les documents constitutifs d'un contrat. En droit des contrats, si vous prenez le code civil, vous voie que pour former un contrat, il faut un objet, il faut une cause, il faut une réciprocité, il faut un équipe, il faut plein de choses pour dire qu'un document est un contrat. Ça c'est un acte, ça n'est pas un contrat, ça ne peut pas être un contrat. C'est une reconnaissance, en fait, de visite. Je reconnais que je suis venu visiter le bien situé, discus des états à guisi, numéro"
491.88000000000005,526.88," de monde à 450 à 4007,040 euros, grâce à l'agence du béfrois. En gros, ce document qu'il n'est pas un contrat ne m'interdire rien. Pas du tout. A quoi certes-il ? Il sert à l'agence du béfrois, à aller voir le vendeur, avec lequel l'agence du béfrois a signé pour pas contre un vrai contrat. Le mandat, le mandat est un vrai contrat avec un objet, avec une cause, avec des engagements"
526.88,558.88," réciproc, les contrats parties. Et de dire au vendeur, monsieur le vendeur, dans le mandat que vous avez signé, vous vous interdisait de vendre, en direct, à quelqu'un que je vous aurez apporté. Comment puis-je prouver que je vous ai apporté quelqu'un, grâce à la reconnaissance de visite que considule bon visite ? Ok ? Le bon visit, il s'éra ça. Il s'éra aller voir le vendeur pour dire attention, malmoiselle Sandra Duvalier,"
558.88,591.5999999999999," elle a signé ce bon visite, ça ne permet de vous prouver que c'est bien moi qui lui est présenté votre bien. Cela vous interdit donc à vous le vendeur de lui vendre en direct, en PAP. C'est un saint que sert le bon visite, et c'est un saint, seulement. Il vaut un petit peu plus loin nos amis, en pied, enfin l'agence du béfrois, parce qu'il dit ici que la chirraire interdit de traiter ou de négocier sans l'intervention"
591.5999999999999,621.8," de l'agence. Ça veut dire que ça leur interdit, elle est acheté avec une autre agence, parce que si le vendeur s'est interdit dans le mandat, il s'empêche lui-même de vendre à quelqu'un en PAP sur la foi du bon visite qui permettrait prouver que ce quelqu'un est bien venu par l'agence du béfrois. En aucun cas, la chirraire lui ne s'interdit quoi que ce soit, et surtout ne s'interdit"
