start,end,text
0.0,30.0,"Mathieu, tu as lancé l'enregistrement de la vidéo ?  Oui, c'est fait.  Bravo à toute l'équipe.  C'était incroyablement bien fait, incroyablement réussi.  J'étais à des années-lumière d'imaginer qu'autant de gens viendraient.  Franchement, j'avais dit à Julien, vous verrez, il y a beaucoup de gens qui ne viendront pas, relancer les jusqu'au bout, etc.  Bravo.  Bravo, bluffé.  Et c'était super.  Super soirée.  Bravo et merci à l'équipe du Nord."
30.0,60.0,"J'espère que vous en parlerez sur le groupe Facebook pour que tout le monde sache comment ils s'y sont pris, etc.  Pour essayer de faire pareil dans votre secteur.  Vraiment, c'est un exemple.  Je vous dis souvent, il y a une chose sur laquelle on peut prendre exemple sur IAD.  C'est leur capacité à développer un marketing relationnel et un marketing digital de très grande qualité.  Ils sont hyper forts pour le marketing chez IAD.  L'immobilier, c'est un autre problème."
60.0,92.0,"Mais pour le marketing, on a vraiment tous des leçons à prendre.  Mais alors là, c'est chez Julien, Camille, Cathy, Hugues, Fabienne et Guillaume, bien sûr, qui font aller prendre exemple.  C'est exactement ça qu'il faut faire.  Exactement ça qu'il faut faire.  Bravo et merci.  Du fond du cœur.  On a besoin de vos photos.  Mes photos ne sont pas super.  Je suis tout petit.  C'était une salle très en longueur.  J'ai demandé à Mathieu de le faire, mais il avait trop vu."
92.0,122.0,"Je plaisante.  Je suis tout petit.  Comme la salle était toute en profondeur, les gens étaient dans cette profondeur.  Il aurait fallu que je me mette très haut pour prendre des photos avec tout le monde.  Et comme je suis un amour, forcément, ça n'a pas bien marché.  Ce n'est pas la taille qui compte, mais il est gentil.  Mais rassurez-moi, lui qui fait 1m85.  Je vous donnerai mes photos, il n'y a pas de problème.  Mais ne vous attendez pas à des trucs super.  Elles ne sont pas géniales.  En tout cas, bravo."
122.0,157.0,"Bravo et merci.  On va parler, pas aujourd'hui, mais on prévoit probablement, j'espère, pas la prochaine vision, mais celle d'après, qu'on pourra parler du nouveau DPE.  Parce que le gouvernement a annoncé ce matin que oui, c'est sûr, ils vont réformer une 93ème fois le DPE.  Vous savez que le DPE actuel, malgré toutes les améliorations, refontes, etc. qui ont eu lieu ces dernières années, depuis le 1er juillet 2021, nouveau DPE, tout va être tout beau, tout rose."
157.0,191.0,"Et puis finalement, ça a été compliqué.  Ça ne marchait pas, ça marchait mal.  C'était ceci, c'était cela.  Il y a eu une première grosse réforme, puis une deuxième.  Et puis depuis, tout le monde continue à dire non, c'est niffé, il n'y a pas à faire, ça ne marche pas.  Notamment les petites surfaces de manière totalement absurde sont très défavorisées, jusqu'à 30 mètres carrés, sont très défavorisées sur un calcul qui normalement devrait être équivalent.  Donc là, après Bruno Le Maire et un tel chacun met son grain de sel en disant on va faire, on va pas faire, on va modifier, on va voir, on réfléchit, on se demande, on se gratte la tête."
191.0,232.0,"Ce matin a été annoncé officiellement, oui, on prépare une refonte des DPE pour mi-février.  Ça me paraît un peu court, mi-février, ou alors ça veut dire qu'ils travaillent dessus depuis longtemps sans le dire, je ne sais pas.  Mais on prépare donc une vision sur la réforme, je ne sais pas combien, un YM réforme du DPE.  Le soir on devait parler, je vais enlever les petits chats quand même, enfin les petits chats et le petit fenèque.  Je change ça, ce soir on va parler principalement, alors attendez, cette fenêtre là, je la ferme parce qu'elle bouffe de la mémoire et de la place sur mon écran."
232.0,265.0,"Voilà, ma connexion internet ce soir, je ne sais pas pourquoi elle est un petit peu capricieuse, donc j'espère que tout va bien se passer, qu'on n'aura pas de soucis particuliers.  Voilà, et je vais sortir mon petit fichier qui est là, excusez-moi Mathieu, Mathieu, où est mon cher Mathieu ? Il est là, enfin le dossier Mathieu, excusez-moi.  Et voilà mon petit fichier, je vais pouvoir vous partager mon Eglantine dans quelques instants, mais on ne va pas être trop sur Eglantine ce soir."
265.0,308.0,"On va être sur d'autres choses, on va être sur le bon coin principalement, mais pas seulement, donc là je vous lance Eglantine si elle veut bien se lancer.  Il y a une petite chose dont je voulais vous parler, qui est importante parce qu'on en a parlé justement avec l'équipe du Nord il y a deux jours.  Il faudra qu'on refasse un petit point, mais je vous en parle très rapidement, ne laissez jamais, jamais, jamais les acquéreurs accéder au bien avant l'acte authentique."
308.0,342.0,"Il y a mille raisons pour que ça tourne très mal, donc attention lors des trois mois environ entre le compromis et la signature de l'acte authentique, parfois les acquéreurs pour de vraies raisons demandent à accéder au lieu.  Est-ce qu'on pourrait mettre des meubles, est-ce qu'on pourrait emménager par anticipation, est-ce qu'on pourrait commencer les travaux, est-ce qu'on pourrait au moins venir avec des entrepreneurs pour faire des mesures etc."
342.0,372.0,"On y reviendra si vous voulez, on fera une vision plus complète là-dessus, sur pourquoi, comment ça peut mal tourner.  Si jamais vous avez dans l'intervalle, si jamais vous avez des acquéreurs qui vous demandent à accéder au bien, à vous ou au vendeur d'ailleurs, accéder au bien par anticipation, quelle qu'en soit la raison, contactez l'animation et on vous guidera pas à pas sur est-ce qu'on peut, est-ce qu'on peut pas, pourquoi, oui, comment, pas comme ci, pas comme ça."
372.0,420.0,"On fera une vision, si vous voulez, là-dessus, je vais noter d'ailleurs, ici je vais mettre faire un visio dédié sur cette question, visio dédié, c'est une question super importante, ça peut très très mal tourner.  Donc si jamais l'acquereur demande à accéder au bien, quelle qu'en soit la raison, entre le compromis et l'acte authentique, contactez-nous et on vous aidera.  Yves me dit, et il a tout à fait raison, il y a quand même la visite de contrôle juste avant l'acte, oui bien sûr, il y a la visite de contrôle juste avant l'acte qui se fait en votre présence, en la présence des vendeurs, tous les trois une visite de contrôle, on relève les compteurs EDF, Eau, GAS, je ne sais pas quoi, et on vérifie que tout va bien, que tous les meubles sont bien partis, que rien n'a été dégradé ou quoi que ce soit."
420.0,457.0,"Et bien sûr, ça se fait généralement le jour ou la veille, absolument, et ça vous pouvez le faire.  Non, non, je parle typiquement, Patrick nous dit, c'est très courant de passer avec des artisans, c'est ce genre de choses, ça se fait pas n'importe comment, effectivement c'est très courant de passer avec des artisans, et parfois ça peut être pour emménager, pour mettre des meubles, pour commencer les travaux, pour plein de choses.  Donc ça, on en parlera dans l'intervalle, si jamais quelqu'un vous demande ça, vous contactez l'animation et on regardera les détails de la demande qui vous est faite et on gérera ça ensemble, au cas par cas."
457.0,492.0,"C'est vraiment important, ça peut très très très mal tourner, il faut le faire de la bonne manière.  Alors, de quoi allons-nous parler principalement ce soir ?  Alors, d'un mauvais coup que nous a fait ce logé, excusez-moi, je buvais un petit peu de tisane, celui ou celle d'entre vous qui trouvera de quelle tisane je parle, quelle est la tisane que je bois, vous avez eu des indices dans les précédentes visions, aura droit à un home staging avant après, gratuit, quel que soit le mandat, que ce soit un mandat premium ou un mandat pas premium."
492.0,540.0,"Donc allez-y, quelle est la tisane que je bois, et avec délectation, je m'en régale, ça y est, Sandrine a trouvé.  Non, c'est pas camomille, c'est pas verveine, Sandrine a trouvé, c'est de l'hibiscus, je vous en avais parlé, oui, vous trichez un petit peu, c'est vrai, j'en avais parlé lors des précédentes visions.  Sandrine m'a offert très gentiment une tisane à, enfin une infusion, je sais pas, il y a trois différences entre tisane et infusion, je crois que c'est pareil, mais je suis pas très sûr, à l'hibiscus parce que ça régule la glycémie, et en fait c'est tout simplement délicieux, et là je me suis fait une bonne tince bien chaude, j'ai ramené ça d'Egypte, Naudier Maryori, du vrai de vrai, en tout cas c'est délicieux ce que m'a offert Sandrine, et je m'en régale."
540.0,582.0,"Donc Sandrine, même si effectivement elle a triché un petit peu, vient de gagner un home staging avant après, quel que soit le type de mandat exclu au pas, premium ou essentiel.  Tisane nuit calme comme Camille, on prend tous les soirs, Camille prend une tisane nuit calme qui vient de Saint-Emilion à côté de Bordeaux, c'est ça qu'il prend.  Alors ce soir on va parler de le bon coin et de ce logé, je vous disais ce logé nous a fait un peu un mauvais coup, vous allez comprendre pourquoi, parce que tous les ans au 1er mars il y a le renouvellement de notre contrat ce logé avec de nouvelles conditions qui sont négociées à chaque fois."
