start,end,text
0.0,36.0," Voilà, ça c'est l'on sait là haut. J'en ai un de cette couleur un perso, nous dis Fabien. J'adore les changements, j'en ai pas. J'ai pas eu le chien depuis tout le temps. J'étais en fond, j'adore les changements, ça a très bon choux, ça a très duré. Les chins, il est chifon, selon moi, parmi les animaux de plus. Qui on l'ère, le plus noble, le altié, d'ignes presque. Il est bon qu'on l'a échappe, ça a très très très chante. Et j'en ai pas. Alors, merci d'être là, alors ce soir, on va voir un certain nombre de choses d'actualité."
36.0,67.0," Alors, ne demandez pas de me prononcer sur la bête, dite tout, d'intérêt. Le prochain 22 novembre, on vient avec un château au Séninert. Il paraît que tu offres des militants pro-oprésents de ce soir pour nous, mais j'étais pas courant. Alors, malheureusement, un petit chage ne saurait pas dans l'occupé. Je ne suis pas suffisamment là. Un chien, je peux le prendre avec moi, un chien, je ne le prends avec moi, un peu très partout."
67.0,97.0," Un châne, non, malheureusement, je ne pourrais pas m'en occuper. Pourrais pas m'en occuper, sérieusement. Alors, donc, je vous disais, Pierre m'a un peu troublé avec son histoire de militants pro-opfer à tous de l'actualité. En vous êtes pas hyper nombreuses ce soir, vous êtes 25, il y a très tard. Donc, ça va quand même, t'es un petit lié. Alors, je vous disais, ce soir, on va voir des choses actualités."
97.0,129.0," Ah oui, ne demandez pas de me prononcer sur les taux d'intérêt, parce que c'est vrai que... Nommes redontre-vous si vous suivez l'actualité financière et où il mobiliaire sur Internet, etc. Vous voyez fleurir, comme moi, je le vois ces derniers jours, vous voyez fleurir les interviews de gens très, très experts, très bien renseignés, très compétents. Sur Capita, Boursorama, etc., etc.,"
129.0,162.0," il y a très disant le BST, qui est toi d'intérêt, en 2024, et même dès le premier trimestre 2024. Alors, je suis pas en train de dire que ça ne va pas avoir lieu que ces gens racontent des difficultés, pas du tout, si le sait pas moi. Oui, oui, Frédéric a bien raison. Récant, il nous dit que, en compétent, il y a plusieurs mots. Il y a beaucoup de mots comme ça dans la langue française qui est eux-mêmes en comporte plusieurs. Il y a deux gaules, qu'on culpissons, il y en a plein."
162.0,192.0," C'est très rigolo, c'est un peu comme les contrepétrées, il faut être amateurs. Donc, je vous disais, je ne dis pas que ces gens racontent des bêtises, tu ne l'imprimont pas, mais on sait que tous les experts qui se souhaitent sur Internet et dans les médias vient toujours raconter parfois un peu tout et sur Contraire, chacun avait une élection d'opinion et nous la balance, comme si ça gissait d'un fait, si on les réfrigait. Et on en a vu bien des exemples, pendant la tête des idées,"
192.0,223.0," qu'il était un festival d'une importante quoi, selon de tous et de eux, absolument partout. Il se basse, principalement, en fait, sur le ralentissement de l'inflation. Le ralentissement de l'inflation, si vous voulez, on peut aller, est-ce qu'on peut avoir une graphique de l'inflation en réel ? C'est-à-dire, avant-t'en rien, c'est pas quelque chose qui nous joue, je vous cours de mes journées, mais l'inflation 2023, réactualisée, toi, un flasse actuel 2023, on va voir."
223.0,255.0," Non, ça sert à Drill, de 2023, on s'en fout un peu. A Vril, c'est pour ça qu'il faut, Mars, l'inflation, de 2023, un flasseau rythme annuel, 2023. Donc, vous, vous, alors, on peut rester, on ne faut pas, mais je ne parle pas, on ne voyait toujours le petit chat. Excuse-moi, voilà, là, vous voyez, France, inflation, pour un cas, vraiment."
255.0,286.0," Alors, l'inflation au rythme annuel, 2023, 2022, donc ça, c'était l'inflation 2022, vous voyez, qui était, elles sont plus haut, en le bleu, les barbles. Les barbles, c'était, est-ce que je pouvais ça, au plus grand ? Les barbles, si je ne me trompe pas, c'est l'inflation 2022, et on voit que tout au long de 2022, ça a augmenté."
286.0,316.0," Vous voyez, j'enviez faire y faire y faire, c'est un petit peu décent du juillet ou de septembre. Vous voyez, il faut se méfier du lebesc, c'est un moment donné, on se dit, ah, bah tiens, ça baisse, c'est tendance plus long qu'il faut regarder parce qu'après, ça a vérimenté des octobres, puf, des octobres. Et si, d'ailleurs, nous, c'est à ce moment-là. Vous savez, contre l'inflation, l'inflation et les tout directeurs et les taux d'intérêt, c'est lié, oui, c'est lié."
