start,end,text
0.0,30.3," Alors est-ce que c'est mieux ? Normalement ça devrait être mieux pour tout le monde. C'est pas mieux pour tout le monde, par contre oui. Oui, alors c'est super. Je suis un peu d'agarrer, mais c'est mieux pour tout le monde. Parfait, super. Donc j'étais en train de vous dire si vous avez une petite connexion internet, je vais sortir mon titre et la pousse. Vous avez en train de votre écran les"
30.3,63.12," boutons suivants. Que nous avons là, je vais vous les mettre un peu au milieu. Et sur ces, alors vous en avez un petit peu moins à vous. Je dis boutons d'organisation, logiste, sur la vision concurrence, vous vous avez une pointe les boutons de consultation. Cependant vous avez le bouton de tes trois petits points qui est ici que je vais entabrer de haut. Je vais mettre un clic et un gros. Alors ce bouton qui est ici, voyez le bouton avec les trois traits."
63.12,97.12," Ensuite vous cliquez sur par un être et on Dion par téléphone. C'est si vous avez des petites connexions internet et que vous avez du mal à suivre et la vidéo élu Dion. Si vous voulez aller gérer votre connexion internet, utilisez que le flux vidéo pour voir ce que nous faisons et pour écouter pour l'audio passée par le téléphone. Si vous avez une bonne connexion internet, si vous avez la fibre, pas question esposaie, il te va très bien. Ok ? Alors hop, je coupe ça et ne pas"
97.12,129.12," s'enregistrer. Alors bienvenue à tous et bienvenue à toutes. Le temps c'est qu'il y a 2 soins. Je pense qu'à peu près tout le monde a réussi à se connecter. Donc je vais vous remercier d'être là ce soir, ce qui était la hier soir et ce soir. Va falloir me supporter 2 jours de suite. Je sais que c'est pas facile pour tout le monde. Mais bon c'est comme ça. Merci d'être là ce soir. Nous allons discuter et surtout vous avez pouvoir poser des questions. Du scéninaire 2023, vous savez que nous n'avons pas"
129.12,162.12," fait scéninaire en 2022 parce que nous attendions notre certification. Quel est optique et une nouvelle obligation légale pour les organismes de formation. La certification qu'a opti est véritable plus en obtenir. En fait ce n'est pas du toi à la portée des TPO-PM comme un autre. Mais bon, c'est l'obligation. Donc, du ralex et de l'ex on doit s'y conformer. On a enfin obtenu notre certification qu'elle y a eu. Ça a été difficile. Mais nous l'avons eu. Donc on somme désormais"
162.12,193.12," des gens bien alors qu'avant nous n'étions que des centaurants. Il s'avait dit que nous pouvons organiser cette année notre scéninaire puisque vous savez que l'autre scéninaire fait également au fil des formations lois à l'Ur. Ceci en dont on va discuter en particulier c'est que cette année pour ceux d'entre vous qui n'ont pas fait leur formation lois à l'Ur avec un autre organisme de formation en 2022, nous allons vous proposer une formule un petit peu différent des autres années un petit peu différent en ce qu'elle va vous permettre leur vieux scéninaire de l'avoir"
193.12,224.12," insinuert plus qu'ouvillial que d'habitude alors ceux d'entre vous qui sont habitués aux scéninaire je pense que vous ne me démonirez pas si je dis que ils sont repartis tout de même avec une impression de convivialité, qui va avoir passé un bon moment de cette bien-amusée, d'avoir bien mangé, bien vue, de s'être quand même bien rigolé avec les communs. Cette année on veut vraiment aller plus loin mais dedans on ne veut pas du tout d'un scéninaire ça fait comme on s'est très grosse son reprise, d'inobiliers ou même des"
224.12,257.12," scéninaire ou de le patron qui vient dire bonjour les amis et qui sont ben aussi vite activité avec des heures tervenantes du service communication qui viennent délivrer bon message et ensuite ils s'en vont, on veut vraiment vous le savez c'est parti de notre ABM, on peut lui dire, on veut avoir et conserver un lien direct avec chacun d'entre vous et ces scéninaire au moment là de l'obidation de formation loi lure à laquelle ils devront s'attacher et l'occasion de passer tout simplement du temps centre,"
257.12,290.12," du temps centre, de s'amuser, de dire, de déjeuner, de boire un cours, de boire un café, de s'habiller et vraiment quelque chose qu'on veut qu'on veut conférer et on va au cours de ce scéninaire, aller encore un petit peu plus loin là-dedans, on va creuser encore cette aspect. Alors, je vous disais qu'on va essayer de rattraper pour ceux d'entre vous qui n'ont pas fait la formation loi lure de 2002, on va essayer en enseigninaire de vous faire rattraper les 14 heures,"
290.12,323.12," les milliers, 22 et les 14 heures, 2023. Donc ça fait beaucoup de temps. Alors comment on récipient et ben c'est très simple. Le symémère va se dérouler d'une manière un petit peu différent que des autres années. Tout d'abord les dates, les dates officiels du scéninaire et 23 et 24 novembre."
