start,end,text
0.0,30.0,S'il vous plaît ! Vous avez bien déjeuné ? Qui a particulièrement apprécié le dessert ? Vous devez remercier et féliciter Michel qui s'est bagarré pour avoir ça à la place du crumble tout pourri. C'est lui qu'il faut féliciter.
30.0,63.64,"Moi, j'avais prévu une gamelle d'eau et des cailloux. Michel vous a obtenu de haute lutte ce super dessert qui était vraiment hyper bon. Oui, tout était bon. Oui, mais alors le dessert surtout. Oui. Surtout le dessert. Alors, c'est Julien qui va prendre la suite. Pourquoi ? Parce qu'il est temps que vous ayez quand même quelqu'un d'intéressant qui intervienne. Premièrement, cette fois-ci, ce n'est pas Laurent, mais il est toujours intéressant, lui. Julien va intervenir parce que fort de son expérience maintenant de quelques années"
63.64,100.58,"dans le développement et le management de son équipe locale Julien a eu l'occasion d'expérimenter et de voir ce qui fonctionne vraiment et ce que sont les fausses bonnes idées qui en fait ne fonctionnent pas en particulier en matière de relations avec France Travail nous avons essayé et ça Michel pourrait vous en parler Alors, de manière informelle, à un autre moment, on a essayé pendant très longtemps, Michel a essayé pendant très longtemps, de travailler avec ce qui était à l'époque Pôle emploi, toujours, toujours, toujours sans succès."
101.74,135.3,"Au moment où on a cru qu'on allait commencer à y arriver, en fait, non, ça n'a jamais fonctionné, parce que Pôle emploi considère que si ça n'est pas un CDI, nous sommes des esclavagistes. Bon, c'est peut-être un peu raccourci. Julien, lui, a réussi à s'y prendre de manière un peu plus finaude que nous, en serez-vous surpris, et il a réussi, à l'inverse, en expérimentant et en s'y prenant différemment, à travailler véritablement avec succès, avec France Travail, aujourd'hui France Travail, l'ANPE de l'ancien temps."
136.54,166.94,"Donc, Julien va venir premièrement vous expliquer un petit peu quelle est son expérience dans le développement et le management de l'équipe, et également comment il s'y prend pour travailler avec France Travail et ce que ça lui donne comme résultat pour juger si effectivement ça fonctionne ou ça ne fonctionne pas donc je vous demanderai d'être gentil avec lui parce qu'il est timide, vous le savez c'est une petite chose fragile et je vous laisse avec lui je pense pendant une petite heure, c'est ça ? Non, une demi-heure quarante minutes, j'en ai assez Une demi-heure quarante minutes"
166.94,197.48,"à l'issue de laquelle je vous laisserai entre les mains de Michel alors là ça ne mouftera plus qui lui vous parlera de choses un petit peu plus, vous le savez Michel c'est toujours un peu plus technique et un peu plus rigolo intéressant du point de vue des nouveaux outils besoin de rien ? envie de te... le verre de vin ça aurait pu aider mais bon, on n'a pas eu le droit ce midi hein Camille ?"
197.48,229.56,"vous disiez le verre de vin, on aurait pu en avoir un ce midi C'est ça, c'est ça la crise. Aussi, aussi. Bon, bonjour à tous. Donc moi c'est Julien, il y en a certains qui me connaissent, d'autres pas. J'attaque ma neuvième année au sein du réseau. j'ai démarré comme beaucoup d'entre vous"
229.56,271.53999999999996,"en tant que conseiller à la base sur les bons conseils de Camille Delanois qui est là-bas derrière je crois le plus âgé d'entre nous ou l'un des plus âgés d'entre nous dans le réseau bien évidemment et donc avec Camille j'ai suivi ses traces je l'ai suivi rigoureusement du mieux que je pouvais avec la formation qu'il m'a donnée qui était forcément très bonne puisque je suis encore là donc ça veut dire qu'il y a quand même de bonnes bases Et avec Camille, l'idée est vite arrivée de se dire et d'essayer de créer une équipe, de trouver le moyen de se démarquer par rapport aux autres réseaux qui commençaient à grandir."
271.54,301.76,"Et puis surtout, face à une concurrence qu'on avait, nous, sur notre secteur, qui est ici, je vous expliquerai un petit peu plus en détail, où beaucoup, beaucoup d'agences étaient présentes. Et en fait, dans la tête des gens, le problème qu'on avait, c'est qu'une agence, une agence immobilière, c'est une agence qui a pignon sur rue, qui a une vitrine, où on met des maisons en vente sur des photos. et on rentre, on ouvre la porte, on va voir un agent et on visite. Il a fallu essayer de travailler ça autrement pour pouvoir justement le développer."
302.86,336.18,"Donc au début, ça n'a pas été forcément très très facile. Et puis moi, j'avais cette envie de coopération, d'équipe. Donc je suis issu du milieu du foot, pour ceux qui ne le savent pas. Et ça me fait... Le mois de juin, j'ai arrêté, j'ai été coach pendant 30 ans. J'ai mis fin à ça pour me consacrer à autre chose. Et donc l'idée, cette idée de manager, d'être en équipe, je l'ai toujours eu en fait, d'avoir l'esprit collectif. Essayer de le transposer dans le réseau, bon, ce n'était pas une tâche facile."
337.14000000000004,367.64000000000004,"On a eu beaucoup, beaucoup de déconvenues au départ avec Camille qui m'accompagnait, et puis après, sur du développement. Et au niveau du boulot, au niveau de la recherche, au niveau du travail quotidien qu'on effectuait, on a donné l'envie à certains de nous rejoindre. Donc, comme ils voyaient que ça marchait, que ça avait l'air facile, on en a beaucoup qui se sont dit « bah tiens, je vais faire comme Julien, je vais faire comme Camille ». Donc ils sont venus nous démarcher, nous poser la question, savoir comment ça se passe, qu'est-ce qu'il faut faire."
