start,end,text
0.0,30.0,"Eh bien écoutez, bienvenue à tous. Merci d'être là. Vous êtes peu nombreux cette année, vous le savez, pour mille raisons. La conjoncture, les finances, les vacances scolaires. Donc vous êtes peu nombreux cette année, mais c'est pas grave. Vous avez vu, malgré le temps, le cadre est magnifique. Vous êtes d'accord, j'imagine ? Et on a prévu de quoi quand même bien nous amuser et passer un chouette moment ensemble au cours de ces deux jours."
30.0,64.8,"Certains d'entre vous restent plus longtemps, donc j'espère que vous aurez le meilleur temps pendant le week-end, éventuellement avec vos familles. Alors, pas de questions pour l'instant ? Bien, on va aborder au cours de ces deux jours pas mal de choses, mais on va surtout dîner, s'amuser comme d'habitude. Vous connaissez les séminaires, c'est surtout l'occasion de se retrouver, de dîner, de boire un peu pour certains qui viennent d'une région du Haut, là-haut. Je ne désigne personne, surtout pas."
66.94,97.19999999999999,"Donc, on va parler de pas mal de choses, on va surtout s'amuser, on va surtout échanger, on va surtout discuter, on va surtout se retrouver. C'est le plus important. Ce matin, on va parler de quelque chose d'important, d'assez important, c'est dans la continuité exacte de ce dont on a parlé à Center Parcs il y a deux ans. ceux d'entre vous qui étaient, la majorité d'entre vous étaient à Center Parcs il y a deux ans s'en souviendront ce matin je vais vous demander s'il vous plaît de participer à ce que je vais vous présenter"
97.19999999999999,128.42,"je vais vous présenter quelque chose, vous allez voir vous en serez familier parce qu'on en a parlé au cours de nombreuses visioconférences on en a parlé à Center Parcs abondamment et je vais vous demander s'il vous plaît ce matin de participer d'intervenir, d'interagir, de donner à la fois votre avis à la fois de poser des questions par contre s'il vous plaît pas comme certaines personnes pas comme des sauvages en désignant en particulier donc intervenez, posez des questions"
128.42,161.57999999999998,"par contre n'interjetez pas comme ça posez, levez la main pour qu'on puisse en discuter sans trop de tracas est-ce que vous avez une idée de ce dont on va discuter ce matin ? non ? pas du tout ? pourtant j'en ai parlé en visio Non. Michel vous en parlera de Trust Index demain, cet après-midi ou demain. Je ne sais pas. On va parler à de nombreuses reprises de WeMove au cours de ces deux jours parce que nous allons beaucoup plus utiliser WeMove que nous n'avons utilisé jusqu'à présent."
161.58,202.98,"Ce dont on va parler là, c'est de développement d'équipe locale. Est-ce que ça vous dit quelque chose ? Non ? Si, si, si, si, si, si. Pourquoi, alors apparemment PowerPoint n'a pas envie, mais ça va venir. Pourquoi le développement d'équipe locale ? Parce que, comme je vous l'ai expliqué à Center Parcs il y a deux ans, Nous ne souhaitons plus, et d'ailleurs vous l'avez vu, nous avons arrêté toute publicité, communication externe visant à recruter de nouveaux collaborateurs."
203.6,239.48,"Désormais, nous souhaitons que quasiment, sauf exception, l'intégralité des nouveaux collaborateurs de la Lucarne soit recruter, soit pour créer une nouvelle équipe locale, soit pour intégrer une nouvelle équipe locale. En fait, et ça je vous en avais parlé à cette époque, voilà ça va se développer, très bien, diaporama. C'est ce dont je vous avais parlé,"
239.48,270.34000000000003,"Ah, je ne sais pas pourquoi j'ai ça. Je ne sais pas. Je n'avais pas ça avant, j'ai ça maintenant, ce n'est pas très grave. Donc, je vous en avais parlé en fait, vous avez tous, parce que nombre d'entre vous sont chez nous depuis, qui est chez nous depuis plus de 5 ans ? qui est chez nous depuis plus de dix ans. Il y en a même qui sont chez nous depuis plus de quinze ans."
272.76,306.52000000000004,"Ça, c'est quelque chose qui est propre à la lucarne. Vous ne trouvez pas ou très peu ça chez Safty, chez Capi, chez IAD, n'en parlons même pas. La durée de vie d'un conseiller chez IAD est à peu près proche de la durée de vie d'un piéton sur l'autoroute. On le sait tous. Chez Capi, chez Safti, chez Optimum, il y a des gens qui sont là depuis longtemps et qui sont contents d'être là. Mais en proportion, il y a un roulement extrêmement important. Pourquoi ? Parce que quand vous êtes chez Optimum, quelle est la différence entre Optimum et Capi ?"
306.52000000000004,338.0,"Même rémunération, même logiciel, mêmes outils, mêmes prestations. Imaginons que vous disiez, tiens, si j'allais voir un copain chez Safti. Même prestation, même logiciel, même rémunération. Et il en va de même avec la majorité des réseaux. Pas tous, il y en a qui se différencient, à la fois par une rémunération ou par différentes choses. Mais la majorité d'entre vous, si vous êtes à la lucarne et si vous y êtes resté, ça n'est pas pour rien. C'est parce qu'il y a des spécificités à la lucarne que vous ne trouveriez pas ailleurs."
