start,end,text
0.0,36.599999999999994,"Bonjour à tous ! Aujourd'hui, petite vidéo, relativement courte j'espère, destinée à revenir sur des fonctionnalités intégrées à EGLANTIN, destinées à nous aider dans nos obligations TRACFIN. Alors aujourd'hui, nous n'allons parler que de fonctionnalités directement intégrées à EGLANTIN, nous n'allons pas parler des autres obligations TRACFIN, sur lesquelles nous sommes déjà revenus plusieurs fois en visioconférence, en formation, et sur lesquelles nous reviendrons encore à l'avenir. Car nous savons que ces obligations track fin sont nombreuses, sont complexes, sont touffues et nous devons y revenir souvent, souvent, souvent pour les repréciser, pour les rabâcher, pour les revoir ensemble."
36.7,69.84,"C'est d'ailleurs ce que nous faisons aujourd'hui. Donc aujourd'hui, nous n'allons voir, comme je vous le disais, que les fonctionnalités directement intégrées à Eglantine. Pour les autres obligations track fin, on en reparlera amplement au cours de différentes vidéos, formations, visioconférences. D'ailleurs, n'hésitez certainement pas à nous faire savoir à l'animation si vous avez des questions, si vous avez des doutes, si vous avez besoin de plus d'informations à cet égard. À cet égard et d'ailleurs pour les autres questions également, même non liées à Traquefin. Mais aujourd'hui, Traquefin. Alors, première chose que nous allons voir lors de la saisie d'un mandat."
70.56,101.19999999999999,"Là, je suis sur une page de saisie de mandat électronique, comme vous le faites tous quotidiennement. Imaginons que je saisisse un mandat non exclusif pour une maison avec un tarif premium. je vais mettre 300 350 000 euros c'est quelque chose de tout bête voilà c'est pas tellement ça qui nous intéresse ce qui nous intéresse là en premier lieu c'est l'ajout des propriétaires si j'ajoute un propriétaire Eglantine me demande tout de suite est-ce un particulier ou est-ce une société on va s'intéresser"
101.19999999999999,136.82,"aux sociétés tout de suite hop parce qu'il y a une fonctionnalité directement intégrée à Eglantine une fonctionnalité qui remplit une obligation légale à laquelle nous sommes tous soumis, nous, les agences immobilières, têtes de réseau, et vous, les agents indépendants vous-mêmes, vous savez que la législation concernant la lutte contre le blanchiment de l'argent sale, la lutte contre le terrorisme, enfin tout ce qu'on appelle LCBFT, qu'on appelle quotidiennement tracfin, nous impose de vérifier qui sont les bénéficiaires effectifs d'une société,"
136.9,171.94,"et également de vérifier si ces gens ne sont pas frappés par différentes interdictions, si ces gens n'ont pas été frappés d'un gel des avoirs, si ces gens ne sont pas des personnalités politiquement exposées. Tout cela a été intégré automatiquement à Eglantine, ce qui vous permet, si vous mettez directement ici le numéro de sirète, alors je le répète, le sirète c'est à 14 chiffres, le sirène est à 9 chiffres, c'est le sirète à 14 chiffres qu'il faut indiquer ici. Alors pour le récupérer, ce n'est pas compliqué, regardez, je vais sur internet, Par exemple, sur Peppers.fr, ici, il s'agit d'un mandat d'Alison en Auvergne, enfin d'un client d'Alison en Auvergne."
172.34,208.66,"Je vais sur ce site, par exemple, mais je pourrais aller sur bien d'autres sites, data.inpi.fr ou infogreffe.fr. Je prends celui-ci et je prends le numéro. Ici, j'appuie sur le petit bouton copier, clic, et je vais tout simplement, dans Eglantine, faire coller à l'endroit où je dois mettre le SIRET. Ça va opérer la recherche tout seul et vous le voyez en quelques secondes, Eglantine est allé chercher les bénéficiaires effectifs et je vois que dans cette société, il y a trois bénéficiaires effectifs, Guillaume, Alexandre et Stéphane qui ont chacun 33,33% des parts."
208.66,239.58,Ce sont donc mes trois propriétaires à travers cette SCI Ce sont les trois bénéficiaires effectifs Ici nous en avons trois et ils apparaissent tous les trois ici C'est la raison pour laquelle Eglantine me demande en dessous de mettre directement leurs coordonnées Mais il pourrait y en avoir plus qui ne sont pas indiqués ici Car ici les bénéficiaires effectifs ne nous sont donnés par Eglantine qu'à partir du moment où il possède minimum 25% des parts.
240.26,283.40000000000003,"Parce que c'est comme ça que la législation a été faite. Imaginons qu'il y ait un quatrième associé à cette SCI qui ne fasse pas partie des bénéficiaires effectifs, donc qui possède moins de 25%. Imaginons qu'il y ait quelqu'un qui, ici, possède 1% des parts. Eh bien, il faudrait quand même l'indiquer. Mais à ce moment-là, Eglantine ne va pas le chercher parce que la législation est faite différemment. Ils ne sont pas enregistrés dans le même fichier. Et bien comment le savoir ? Et bien de trois manières. Premièrement vous demandez au vendeur, première chose. Deuxièmement vous regardez dans les statuts. Où vais-je trouver les statuts de la société ? Et bien là encore je vais ici sur le même site internet papers.fr par exemple et j'ai accès ici voir les statuts."
283.4,315.16,"j'ai accès aux statuts de la société d'ailleurs je dois les enregistrer je dois en conserver un exemple et je dois les transmettre à l'animation pour l'envoi du mandat donc voici où je vais récupérer les statuts de la société qui me sont indispensables et dans ces statuts, si je les lis si je prends le temps de bien les étudier je retrouverai M. Randizy Stéphane, M. Proust-Guillaume et M. Randizy Alexandre Si je fouille un petit peu, je trouverai tous les associés."
315.5,349.12,"Mais tout simplement, dans la fiche sur papers.fr, ici, de ma société, je descends un petit peu, j'ai ici les dirigeants et représentants de la SCI. Et là, je vois bien que j'en ai trois. Stéphane, Alexandre et Guillaume, comme j'avais sur Eglantine. Ça veut dire que je n'ai pas un quatrième à chercher. S'il y en avait un quatrième qui n'apparaissait pas ici, car il a moins de 25% des parts. mais je devrais quand même l'indiquer dans le mandat et bien c'est là que je le trouverai dans les dirigeants et représentants de la SCI"
349.12,381.16,"Amadeus tout simplement je les trouverai ici donc et bien tout simplement je le prendrai là j'aurai mon quatrième imaginons que j'ai ici un Didier Proust par exemple je prendrai Didier Proust et je le rajouterai à Eglantine comment faire ? Vous voyez qu'ici, j'ai un bouton « Ajouter un signataire manuel ou un gérant ». Je clique ici et je rajoute, par exemple, un représentant qui s'appellerait Didier."
381.24,413.5,"Nous avons dit, alors là, j'invente quelqu'un qui n'existe pas, Proust. Je mettrai également son adresse ici. Imaginons qu'il habite 12 Avenue de Vagram à Paris. Voici. Je mettrai son adresse e-mail. je vais mettre une adresse email de test ici bien sûr je mettrais vous voyez que ça fait une vérification est-ce que cette adresse email existe vraiment ou non je mets son numéro de téléphone alors là je mets n'importe quoi parce que là il n'y a pas de vérification de l'existence du numéro de téléphone"
413.5,444.56,"et puis je pourrais en ajouter un autre et puis un autre et puis un autre bien sûr je ne vais pas en inventer au dessus mes trois Guillaume, Alexandre et Stéphane Keglantine est allé chercher directement sur les fichiers du greffe Je vérifie que leur adresse est bonne Alors leur adresse ici C'est leur adresse personnelle Leur adresse de résidence principale Qu'on appelle également l'adresse de résidence fiscale C'est l'adresse qui doit bénéficier Sur le justificatif de domicile Qu'ils vous donnent et que vous nous transmettez Vous le savez, vous avez l'obligation"
444.56,476.46,"De demander à chacun de vos clients Une pièce d'identité avec photo Attention, si vous ne rencontrez pas vous-même Physiquement le client, vous avez l'obligation De par les dispositions du code monétaire financier de demander deux pièces d'identité valides avec photographie. C'est comme ça. Donc, l'adresse qui est ici, c'est bien l'adresse de résidence principale de M. Proust, qui est ici, à la date de signature du mandat. Peut-être qu'ici, c'est une ancienne adresse. S'il y a"
476.46,508.38,"un problème entre l'adresse de M. Proust aujourd'hui, telle que prouvée par son attestation de domicile et l'adresse qui est là, vous cliquez sur le bouton modifier l'adresse qui est là, ça ne pose aucun problème. Imaginons que les adresses soient bonnes et vous devez les vérifier. Ce n'est pas l'adresse du bien, bien entendu. C'est l'adresse où ces gens habitent, résident. L'adresse du bien à vendre, c'est autre chose. Imaginons que tout soit OK, vous ne modifiez rien et puis vous rajoutez ici leurs e-mails. Alors j'ai une deuxième adresse de test ici que je mets et puis leur"
508.38,538.78,"numéro de téléphone. Là encore, je mets un faux numéro. Vous, vous mettez le vrai. Bien sûr, vous ne mettez pas un faux numéro de téléphone, c'est évident. Ici, je mets encore une autre adresse de test, qui sont de vraies adresses qui sont validées par Eglantine. Je mets encore un numéro de téléphone. Et ici, je mets une dernière adresse. Ah non, excusez-moi, je mets un numéro de téléphone, pardonnez-moi. Je mets une dernière adresse e-mail. Et je mets ici un dernier numéro de téléphone. Voilà. J'ai désormais tous mes vendeurs."
538.78,581.4,"ce que Eglantine est allé chercher toute seule sur le registre du greffe à condition qu'il détienne au minimum 25% des parts ce que j'ai ajouté manuellement car ils n'apparaissent pas dans les fichiers que nous interrogeons pour des raisons légales s'ils possèdent moins de 25% des parts et à la fin, tout simplement, je les ajoute clic mes vendeurs sont ajoutés ici vous les voyez Et on voit avec le petit message qui est vert ici que ces clients ont bien été vérifiés par le service BE Efficiel, des bénéficiaires effectifs. Efficiel, c'est le prestataire qui nous fournit ces informations."
581.4,617.8,"notre obligation de vérification des bénéficiaires effectifs, des personnes dont les avoirs sont gelés et des personnalités politiquement exposées cette obligation est donc remplie vous n'avez pas à la faire manuellement alors on va continuer la saisie de notre mandat on va mettre des informations fictives, imaginons qu'on vende une maison au je sais pas où c'est un petit peu trop, ça voit la route de Cap-Lorny France, voilà un DPE existe-t-il ? On va dire Non, pour l'instant, car il n'a pas encore été établi à la date de signature du mandat, pour pouvoir saisir notre mandat plus vite, bien sûr."
618.14,649.18,"On met des références cadastrales qui n'existent pas, on met une superficie. Alors, bien entendu, vous, vous ne mettez que des informations vérifiées, que des informations justifiables. C'est une certitude, on ne va pas inventer des choses. Il s'agit ici d'un faux mandat. Le bien est-il en copropriété ? Non. Et maintenant, je peux donc enregistrer mon mandat. Ça y est, c'est fait. Mon mandat est enregistré. Le voici. Vous voyez maintenant, non pas en page 1 d'Aiglantine,"
