start,end,text
0.0,39.88,"Bonjour à vous les bêta-testeurs. Je vous présente aujourd'hui un nouvel outil que vous avez dans vos églantines. Alors bien entendu, vous seuls les bêta-testeurs en disposez dans vos églantines. Si vous en parlez à des camarades qui ne sont pas bêta-testeurs, ils ne le trouveront pas dans leur interface à eux. Alors c'est un outil de gestion des bons de visite, de gestion de bons de visite sur mobile. C'est ça la particularité, c'est que nous sommes en train d'avancer sur la conversion et le développement de nos outils sur mobile, alors pour les téléphones, mais ce que je vous recommande, ça on en a souvent parlé, c'est d'utiliser une tablette."
39.88,78.47999999999999,"Aujourd'hui, on ne peut pas trop faire l'impasse sur ce genre d'outils. On ne peut pas se contenter d'un simple téléphone mobile chez nos clients pour leur montrer une maquette interactive, pour faire un mandat, pour faire quoi que ce soit. Une tablette est beaucoup plus confortable qu'un mobile. Maintenant, les outils que je vais vous montrer aujourd'hui sont optimisés pour les téléphones mobiles et pour les tablettes. Je vous recommande l'usage d'une tablette, mais vous pouvez très bien l'utiliser sur mobile. De quoi s'agit-il ? C'est un outil de gestion des bons de visite en face à face avec vos acquéreurs lors de vos visites sur un téléphone mobile."
79.03999999999999,112.08,"Comment ça fonctionne ? C'est assez simple. Vous allez voir, d'ailleurs, cette visioconférence, ce petit tuto ne sera pas très très long. Ici, voici un mandat que j'ai saisi pour l'occasion, un mandat de test dans l'interface de Pierre Béliard. C'est un mandat tout à fait normal. C'est une maison à Versailles avec un vendeur. J'aurais pu en mettre 2 ou 3 ou 4 ou 10, j'en ai mis qu'un seul, ce n'est pas la peine de compliquer les choses. J'ai mis quelques photos pub pour faire comme si c'était un vrai mandat. Vous voyez bien entendu que les prix ne correspondent pas, rien ne correspond, c'est un mandat de thèse, c'est un faux mandat."
113.9,144.54,"Imaginons que j'ai au téléphone un client, un acquéreur qui souhaite visiter, je vais donc faire une visite avec lui. Je prépare mon bon de visite, je vais en page 2 et je clique ici sur faire visite. Parce que j'ai eu le client au téléphone, ma visite aura lieu demain, je vais donc préparer mon bon de visite aujourd'hui, ou demain, ou cet après-midi, en tout cas, je prépare mon bon de visite pour pouvoir le faire signer à mon client lorsque je le rencontrerai. Je clique sur le bouton « Faire visite » que vous connaissez tous, auquel vous êtes habitués."
145.1,178.94,"Tout de suite, Eglantine me demande s'il s'agit d'un particulier, ou des particuliers, ou d'une société. Régulièrement, on a des clients qui achètent en SCI, en SARL, en SAS ou n'importe quoi Il faut d'ailleurs demander aux clients en amont Monsieur, est-ce que vous achèterez en personne physique, en votre nom propre ? Si oui, achèterez-vous seul, avec votre épouse, avec votre compagne, avec votre frère, votre soeur, un ami ou que sais-je encore Il faut que vous demandiez à votre acquéreur s'il achète seul ou avec d'autres personnes"
178.94,211.64,"et s'il achète seul en personne physique, en son nom propre ou en tant que société. C'est vrai que généralement, au stade de la visite, on ne pense pas à poser cette question, mais il le faudrait. Si jamais c'est le cas, vous cliquez sur une société. Ensuite, Eglantine vous demandera le nombre d'associés de la société que vous pouvez trouver assez facilement sur les différents sites du greffe du tribunal de commerce. Avant, il n'y avait que des sites payants. Aujourd'hui, il y a un certain nombre de sites gratuits comme data.inpi.fr, comme papers.fr."
211.74,245.22,"Il y a plein de sites qui vous permettent d'accéder aux informations du greffe gratuitement. Alors qu'avant, il fallait toujours payer, c'était casse-pieds. On va partir sur le principe que ce sont un ou des particuliers. On aurait très bien pu saisir une société, ça ne changerait rien. On me demande combien d'acquéreurs vont visiter ce bien, car j'ai posé la question à mon acquéreur. Viendrez-vous seul, viendrez-vous accompagné ? Alors, on dit ici combien d'acquéreurs vont visiter ce bien, parce que généralement, les gens qui viennent visiter sont de futurs acquéreurs. Mais on peut très bien imaginer que ce monsieur vienne avec quelqu'un"
245.22,276.88,"qui ne souhaite pas du tout acquérir, mais qui vienne juste visiter avec lui pour lui donner son avis, parce que son avis compte. Eh bien, on doit mettre cette personne sur le bon de visite également, parce que de vous à moi, on ne sait pas trop si c'est juste un visiteur qui vient donner son avis ou si c'est quelqu'un qui se fait passer pour un visiteur alors qu'il souhaite acheter sans signer de bon de visite. Toute personne qui vient visiter physiquement le bien, nous lui faisons signer le bon de visite avec son identité. Donc, on va dire ici qu'on en a deux, voilà, et je valide."
278.46,317.1,"Donc, Eglantine me demande les coordonnées de la personne qui viendra visiter. Alors, on va mettre ici, éventuellement, hop. Alors, ce sont des contacts de test également que j'utilise régulièrement. Vous commencez à les connaître. Je mets un faux numéro de téléphone. 2, 3, 4, 5, 6, 7, 8. Voilà. Donc, j'ai 10 chiffres. Je mets ici son adresse e-mail. Ce sont des adresses e-mail de test. Et puis, on va dire que cette personne habite 12 Avenue de Vagram à Paris. Ce sera très bien. Et nous validons l'adresse de Sophie Couturier. Voilà."
318.1,348.46,"Maintenant, ça me demande les coordonnées de la deuxième personne parce que j'ai indiqué juste avant qu'il y aurait deux visiteurs. Et puis, voici une autre adresse de test. J'ai oublié le prénom, c'est Paul. Voilà, donc c'est M. Auré. Paul. Il a un numéro de téléphone aussi, le 03 25 25 63 63. Oui, ça colle parfaitement. Et lui, il habite 15 rue du Prado. Ça existe, 15 rue du Prado ? Oui, voilà, à Saint-Philibert ou à Castelnau-le-Lay."
