start,end,text
0.0,30.119999999999997,"Bonjour à tous, voici un petit tuto très rapide vous permettant de récupérer les nouveaux DPE de 2026. Alors de quoi s'agit-il ? Comme nous l'avons expliqué lors de différentes visios fin 2025, en ce 1er janvier 2026, un nouveau mode de calcul du DPE concernant les chauffages électriques entre en vigueur. Ça veut dire que les anciens DPE qui ont été calculés avant cette réforme du 1er janvier 2026"
30.119999999999997,61.92,"peuvent, mais ce n'est pas obligatoire du tout, peuvent avoir une nouvelle note et une meilleure note de DPE. On peut remonter généralement d'un cran. Pourquoi ? Tout simplement grâce à la modification du coefficient utilisé pour l'appréciation de l'électricité dans le DPE. Je vous invite pour cela à aller voir les visios qui en parlent grâce à la base de connaissances disponible dans Eglantine depuis à peu près la fin de l'automne."
62.72,97.16,"Alors, qu'est-ce que cela signifie concrètement pour vous ? Eh bien, certains DPE peuvent avoir une meilleure note depuis le 1er janvier 2026. Cela vous permet de mettre à jour le DPE sur votre fiche produit, de sorte à afficher un meilleur DPE qu'en 2025. Comment pouvez-vous vous y prendre pour cela ? C'est extrêmement simple. Il vous suffit d'aller chercher une attestation sur le site de l'ADEME, une attestation expliquant la nouvelle note avec cette réforme."
97.8,128.3,"C'est très simple pour le faire. Vous allez dans votre fiche Eglantine. Voici un exemple en page 2. Et vous allez chercher votre ancien DPE. Le voici ici. Ici, on a tout le dossier de diagnostic, dont le DPE. On descend chercher le DPE. Alors, vous pourriez avoir un simple DPE. Le voici. La première solution la plus simple, c'est de cliquer sur le numéro ADEME qui se trouve en haut à droite de la fiche du DPE."
128.3,164.36,"On clique sur le numéro ADEME s'il est cliquable. En fait, ça dépend tout simplement de la manière dont le PDF a été enregistré. S'il est cliquable, comme c'est le cas ici, tout simplement vous cliquez là, hop, et ça vous mène sur la fiche du site de l'ADEME correspondant à ce DPE. Et nous voyons que ce DPE, effectivement, bénéficie d'une amélioration de la note. Avant le 1er janvier 2026, le DPE marquait la note E pour 267 et depuis la réforme du 1er janvier 2026, on passe à D, on remonte d'un cran avec 221."
165.26000000000002,198.9,"Alors ce n'est pas le cas de tous les DPE, attention, je vous invite à le vérifier pour tous vos DPE, mais certains seront concernés, d'autres ne le seront pas. Dans le cas où votre DPE est concerné, vous remontez un tout petit peu et vous cliquez ici sur télécharger mon attestation, qui est ici. Hop, je clique là et voici l'attestation qui a été téléchargée sur mon ordinateur. Je peux l'ouvrir et j'ai le document avec l'ancienne étiquette, la nouvelle étiquette et l'attestation fournie par le ministère chargé du logement."
199.76,229.85999999999999,"Cette attestation, vous l'envoyez à l'animation en pièce jointe par e-mail avec le numéro de mandat, bien entendu, et vous demandez à l'animation de modifier la note du TPE. vous ne pouvez pas le faire vous-même, il faut passer par l'animation. Dans le cas où, par contre, cette petite fiche n'est pas directement ouvrable en cliquant sur le numéro ADEME ici, parce qu'il n'est pas cliquable, dans un certain nombre de cas, il ne sera pas"
229.85999999999999,261.15999999999997,"cliquable, parce que le PDF a été enregistré différemment, il suffit d'aller le chercher manuellement sur le site de l'ADEME. Pour cela, tout simplement, vous copiez ce numéro, Vous voyez, je le sélectionne et je fais copier. Et ensuite, on va sur le site de l'ADEME. Alors, on tape ADEME DPE dans Google. On clique ici. Et on fait coller pour insérer le numéro. Voici ici. Alors, je vérifie que je n'ai pas un espace avant."
261.26,291.64000000000004,"Regardez, hop, j'ai un petit espace avant parce que mon copier-coller, parfois, il peut rajouter des caractères. Donc là, je vérifie. Effectivement, j'ai un espace en trop. Je l'enlève. rechercher et ça va me mener sur la même fiche que nous avons vue tout à l'heure. Nous avons simplement fait la recherche manuellement et je peux télécharger mon attestation comme je l'ai fait il y a un instant, vous voyez, exactement de la même manière. Cette attestation, vous l'envoyez à l'animation et l'animation fera la modification. Alors, je vous invite bien entendu à vérifier ça pour tous"
291.64000000000004,321.72,"vos DPE. Certains seront concernés, d'autres ne le seront pas. Si votre DPE n'est pas concerné, tout simplement, vous n'avez pas d'attestation à télécharger. C'est aussi simple que ça. Vous restez sur le même DPE et vous n'avez pas la nouvelle étiquette et l'ancienne étiquette. C'est aussi simple que ça. Faites-le dès maintenant pour pouvoir afficher de meilleurs DPE pour tous les produits qui seront concernés. Bien entendu, nous sommes à votre disposition à l'animation, animation.zalalucarne.com si vous avez la moindre"
321.72,323.68,question. Merci beaucoup et à très bientôt.
