start,end,text
0.0,33.54,"Bonjour à tous, bonjour à toutes, bienvenue dans cette session de formation, cette visioconférence consacrée au règlement général sur la protection des données, plus communément appelé RGPD. Le RGPD, vous connaissez tous ça de loin, c'est une directive européenne qui a été transposée en droit français avec beaucoup de célérité il y a quelques années. Vous le voyez à peu près partout sur internet mais sans vraiment chercher à savoir ce que c'est"
33.54,67.28,"parce que c'est quelque chose d'assez obscur, d'assez technique et d'assez compliqué Le RGPD que nous allons étudier aujourd'hui et surtout ses implications concrètes dans notre métier notre métier d'agent immobilier, de réseau d'agents mandataires indépendants plus globalement en fait d'entreprise française Pourquoi d'entreprise française ? Parce que le RGPD n'est pas une disposition propre à l'immobilier, absolument pas. C'est une loi, puisque ça a été transposé d'une directive européenne, d'un règlement européen,"
67.94,102.7,"c'est une loi qui s'applique à toute société qui est basée dans l'Union Européenne, ou bien basée hors Union Européenne, mais qui a des activités dans l'Union Européenne, « Toute société susceptible de collecter des informations sur des personnes, des clients, des prospects, des fournisseurs, n'importe quoi. » À partir du moment où on collecte des données, on collecte des informations, « données, informations », ça veut dire la même chose dans notre cas d'aujourd'hui, à partir de ce moment-là, nous sommes soumis au RGPD, nous devons en respecter les dispositions,"
102.7,132.72,"qui sont assez compliquées, assez échevelées d'ailleurs, et assez difficiles à mettre en place. La raison pour laquelle on a préparé cette formation, parce que vous pourriez dire que ça ne vous intéresse pas trop, que ce n'est pas trop votre problème, la raison pour laquelle nous avons préparé cette formation, c'est parce que la lucarne de l'immobilier est, jusqu'à présent, partiellement conforme au RGPD, mais pas entièrement. Et nous avons lancé un grand chantier pour nous mettre en conformité totale, parfaite, avec le RGPD."
133.0,163.0,"La raison pour laquelle on ne l'a pas été jusqu'à présent, c'est parce que c'est un règlement européen extrêmement compliqué, extrêmement technique, très difficile à mettre en œuvre, et le RGPD s'applique à tous, aussi bien les toutes petites entreprises que les énormes multinationales, sans aucune différence d'application entre une très grosse entreprise et un travailleur indépendant. Donc, pour une société comme la nôtre, c'est très difficile à mettre en place, très long, et nous l'avons fait par étapes, et aujourd'hui, nous arrivons au chantier final"
163.0,198.82,"pour être parfaitement en règle avec le RGPD. On a encore un certain nombre de choses à faire et à mettre en place. Et il est utile que vous en connaissiez les tenants et les aboutissants parce que, bien entendu, quand on sera parfaitement compatible en règle avec le RGPD, vous verrez des petites modifications dans la manière dont on gère les informations concernant principalement nos clients. Alors, ce chantier aura quelques implications sur votre travail à tous, mais ce sera relativement transparent, parce que le RGPD, c'est surtout nous qui devons être en règle avec ce règlement,"
199.36,240.46,"et pas tellement vous, parce que toutes les données que vous collectez et que vous utilisez par rapport à vos clients, vous les mettez dans l'églantine, donc c'est à gérer par le siège. Vous devez vous-même être en règle avec le RGPD si vous procédez à des collectes et à des traitements d'informations vous-même, des traitements d'informations personnelles, ce qui normalement n'est pas le cas. Alors, cette petite formation vous permettra de, premièrement, comprendre précisément les principes juridiques et techniques du RGPD. C'est assez compliqué. Deuxièmement, identifier les obligations qui nous concernent directement en tant que professionnels de la transaction immobilière."
241.3,274.28,"Surtout, adopter les bonnes pratiques et adapter nos pratiques actuelles pour assurer la protection des données personnelles, des informations de nos clients, de nos prospects, de nos partenaires commerciaux, dans toutes les étapes de la relation commerciale qu'on est susceptible de nouer. Alors, ce n'est pas un sujet qui est uniquement théorique, qui est accessoire, qui est uniquement sur le papier. Et c'est un enjeu de conformité, de sécurité et également de crédibilité professionnelle. C'est comme ça qu'on nous le vend, mais ce n'est pas tout à fait faux."
274.4,307.40000000000003,"On va le voir tout à l'heure. Dans un environnement aujourd'hui de plus en plus informatisé, de plus en plus numérisé, l'intégralité de notre métier, de nos actions sont aujourd'hui informatisées. La maîtrise des obligations du RGPD est devenue absolument indispensable pour éviter les litiges, pour éviter les sanctions financières au cours de contrôle et mais également, c'est ce qu'on va voir tout à l'heure, je vous disais, c'est à moitié vrai, à moitié faux, on va dire que ça devient de plus en plus vrai, renforcer la confiance de vos clients dans la manière dont vous gérez leurs données personnelles."
308.0,356.70000000000005,"Alors, on verra que la conformité du RGPD, ce n'est pas une obligation réglementaire seulement, ça peut devenir un atout concurrentiel face à des professionnels qui, eux, ne sont pas en règle avec le RGPD. Ça peut être un gage de sérieux, un critère de sélection pour les clients vendeurs comme pour les acquéreurs. Vous savez, c'est un petit peu comme le DPE. Le DPE, il y a une dizaine d'années, personne n'en avait rien à faire, on savait à peine ce que c'était. Aujourd'hui, ça devient un critère de sélection centrale pour un candidat acquéreur ou candidat locataire. C'est pareil avec le RGPD. Aujourd'hui, on est dans une phase d'adoption. Les gens ne savent pas trop ce que c'est, ils n'y prêtent pas trop attention, mais on peut imaginer qu'à l'avenir, le respect des données personnelles de nos clients devienne un enjeu pour eux dans le choix du professionnel avec lequel ils souhaitent faire affaire."
