start,end,text
0.0,32.6,"Bonjour à tous, normalement vous devriez bien m'entendre, je vais vérifier, oui, tout va bien. Bonjour à tous, merci d'être là ce soir, bienvenue à cette visioconférence au cours de laquelle vous allez étudier, on va voir pas mal de choses, pas mal de choses ensemble. Alors, tout d'abord, bienvenue à tous à cette première visioconférence, car il s'agit de votre toute première visioconférence. Il y en aura beaucoup, beaucoup, beaucoup d'autres, croyez-moi."
34.160000000000004,69.5,"Avant de démarrer, cette visioconférence est interactive. Qu'est-ce que ça veut dire ? Ça veut dire que vous avez la possibilité, et puis même je vous y encourage beaucoup, vous avez la possibilité de participer à cette visioconférence. Participez à cette visioconférence grâce à un module de chat, de questions-réponses que vous trouvez. Regardez, je vais vous montrer où ça se trouve. J'enlève ce qui se trouve ici. Un module de visioconférence que vous trouverez ici, en fait, dans votre logiciel de visioconférence,"
69.5,100.42,"en appuyant sur le bouton avec le petit point d'interrogation. Regardez, si je mets ici ma fenêtre de visioconférence, c'est-à-dire votre navigateur, vous avez un bouton ici avec questions-réponses Q et R. Regardez, je le montre avec ma souris. Vous cliquez ici et vous pouvez poser des questions. Vous pouvez vous cliquer là et vous poser une question."
100.5,134.92,"Par exemple, bonjour, voici ma question. Et vous pouvez écrire tout ce que vous voulez, tout ce qui vous passe par la tête, des remarques, des questions, tout ce que vous souhaitez indiquer au cours de cette visioconférence. Je récupérerai les questions et nous y répondrons ensemble. Donc vraiment, je vous encourage à participer activement à ces visios en les enrichissant de vos questions, de vos remarques, de tout ce qui vous passe potentiellement par la tête."
135.26,165.78,"Alors, on va voir pas mal de choses aujourd'hui. Déjà, la première chose que nous allons faire, c'est que je vais vous montrer Eglantine. Eglantine qui est ici et dont vous avez reçu des codes de connexion ce week-end. Alors, bien sûr, ce que je vous recommande tout de suite, c'est mettez-moi un petit message sur questions-réponses pour me montrer que vous l'avez bien identifié. Mettez-moi n'importe quoi. Bonjour, coucou, salut. Mettez n'importe quoi dans les questions-réponses pour me montrer que vous êtes bien là."
166.72,198.02,"Et que, voilà, Marie nous dit bonjour. Bonjour Marie. les uns et les autres, Marie a été la première les uns et les autres, mettez moi un petit message pour me montrer que vous êtes bien là et que vous êtes bien attentif, alors cette visioconférence, comme je vous le disais tout à l'heure vous verrez, vous en ferez beaucoup il y en a à peu près tout le temps des visioconférences il y en a des très importantes, il y en a des moins importantes, il y en a des facultatives, en fait vous venez à Eric aussi, vous venez lorsque vous le souhaitez, le"
198.02,231.06,"pouvez, celle que nous allons faire aujourd'hui, elle est quand même très importante parce que nous allons y étudier beaucoup de choses indispensables à votre démarrage. Alors, Eglantine, c'est le logiciel que vous avez sous les yeux, ici. C'est le logiciel qui vous sert à gérer l'intégralité de votre travail. On y reviendra très souvent parce qu'il y a beaucoup d'outils que vous allez apprendre à utiliser dans Eglantine. Aujourd'hui, c'est vraiment une visio d'introduction, mais c'est dans cet outil que tout se passe. Vous le verrez, tout, à peu près tout, se passe ici."
231.22,262.14,"Alors, ça, ce n'est pas exactement la même églantine que vous. Pourquoi ? Parce que ça, c'est mon églantine à moi qui me sert à gérer tout le réseau. Votre églantine à vous, elle ressemble plutôt à ceci. Voici une églantine absolument identique, similaire à la vôtre. Une églantine de conseiller. Vous avez effectivement moins d'outils ici sur la gauche que dans mon églantine à moi parce que la mienne me sert à gérer tout, la compta, les ventes, les candidats, tout se gère ici."
262.47999999999996,294.08,"Vous, vous avez un petit peu moins d'outils, mais vous avez les outils essentiels. Ce que nous allons étudier à la surface aujourd'hui, on rentrera dans le détail des différents outils par la suite. Aujourd'hui, on va déjà vous souhaiter à tous la bienvenue dans le réseau. C'est la première chose, c'est la chose la plus importante. Bienvenue à tous et on va voir les premières règles de fonctionnement. Alors, premières règles de fonctionnement, on va vous donner toutes les bases."
294.68,324.94,"Avant tout, comment communiquer avec nous ? C'est très important parce que dès maintenant, vous pouvez avoir des questions à nous poser. Des remarques, des interrogations, des choses que vous cherchez, que vous ne trouvez pas. Il faut que vous sachiez qu'il y a un canal central de communication auquel vous pouvez poser toutes vos questions. Alors, bien entendu, si vous avez un coach, par exemple, vous pouvez avoir Julien ou Dominique ou Mickaël. Enfin, vous pouvez avoir un coach qui est là pour répondre à vos questions et pour vous aider."
