start,end,text
0.0,30.0,"Bonjour à tous ! Bienvenue à cette vidéoconférence. Je vous propose de démarrer maintenant. Les derniers retardataires nous rejoindront en route. On a trois petites minutes de retard. Je pense qu'on va commencer maintenant. Alors, normalement, vous devriez tous bien m'entendre. Vous allez pouvoir me le confirmer. Je vais vous montrer comment. Je vais vous expliquer comment fonctionne une vidéoconférence."
30.0,81.92,"Je vais vous montrer comment on peut voir ça. Alors, vous avez, je vais vous montrer l'écran de visioconférence, là. Vous avez ici, dans votre fenêtre, un onglet Q et R. Cet onglet Q et R, il vous permet d'interagir, de poser des questions. Il vous permet de faire des remarques, poser des questions, dire tout ce que vous avez à dire pendant la visioconférence, sachant que toutes les questions que vous poserez ici, j'y répondrai."
81.92,112.7,"J'y répondrai au cours de la visioconférence. Alors, excusez-moi. Je vais vous demander à tous de bien vouloir me mettre un petit message à cet endroit pour me montrer que vous avez bien trouvé le module de questions-réponses et que vous êtes donc en mesure d'interagir. Allez-y, mettez-moi un petit message, un message tout simple, tout bête. Écrivez bonjour, par exemple. écrivez n'importe quoi"
112.7,144.7,"voilà, Alexandre, vous le voyez a écrit bonjour à tous ça veut dire que Alexandre, on est sûr qu'il a trouvé le module bienvenue à vous Alexandre, j'attends la même chose de la part de tous les autres participants, alors vous n'êtes pas très très nombreux aujourd'hui vous allez voir, vous êtes exactement 1, 2, 3, 4, 5 alors je vais demander aux autres de bien vouloir, il en manque bien sûr qui vont nous rejoindre. L'une d'entre elles a dit qu'elle serait un petit peu en retard. Donc, je vais vous demander, s'il vous"
144.7,175.48,"plaît, de bien vouloir me mettre un petit message dans ce module Q&R afin de me montrer que vous y avez bien accès, tous. Donc, Claudie, Jocelyn, Mathieu, Swazik, tout le monde, merci de me mettre un petit message. Sinon, je vais me demander si vous m'entendez bien et si vous êtes bien connectés à la visio. si vous n'êtes pas en train de regarder des vidéos de petits chats sur YouTube. Ce que je n'espère pas, bien entendu. Alors."
180.84,215.02,"Merci de me mettre un petit message. C'est le seul moyen par lequel je peux vous... Je peux communiquer... Enfin, vous pouvez communiquer avec moi. Alors, on va commencer la visio. Si vous le voulez bien. Déjà, permettez-moi de tous vous souhaiter la bienvenue dans le réseau. parce que vous êtes tous relativement récemment intégrés dans le réseau. Alors, on se connaît tous, bien sûr, puisqu'on s'est vus la semaine dernière, que ce soit Claudie, avec qui j'ai eu l'occasion de déjeuner,"
215.58,248.6,"mais également Alexandre, Jocelyn et... Alors, Soisic, non, on ne se connaît pas encore, Soisic. On va se connaître bientôt, lorsque je viendrai vous voir dans le Pas-de-Calais, mais on ne se connaît pas encore. Par contre, Alexandre et Jocelyn, nous nous sommes rencontrés à Marconnel, c'était mardi dernier ? Non, je ne sais plus quel jour c'était. N'hésitez pas à me le dire dans le chat d'ailleurs, quel jour on s'est vu à Marconnel. Bonjour Soazic, est-ce que c'était mardi que nous nous sommes vus à Marconnel ? Je crois que c'était mardi, il me semble. Et puis après, j'ai déjeuné avec Claudie et avec le reste de l'équipe."
249.88,285.06,"Donc, permettez-moi de vous souhaiter à tous la bienvenue dans le réseau. Aujourd'hui, c'est votre première visioconférence. On va voir vraiment les bases, bases, bases de notre activité, de notre métier, que vous connaissiez très bien l'immobilier ou que vous ne le connaissiez pas du tout. Aujourd'hui, on repart sur les bases les plus fondamentales de notre métier. Alors, vous avez le module de chat, il est très utile de questions réponses, il est très utile pour poser des questions, il est très utile pour interagir, pour faire des remarques."
285.56,317.6,"N'hésitez pas à l'utiliser, vraiment, il est à votre disposition, utilisez-le autant que possible. Alors, aujourd'hui, les bases, les plus fondamentales de notre métier, on commence par quoi ? Eh bien, l'immobilier, en quoi ça consiste ? L'immobilier tel que nous, on le pratique parce que l'immobilier, c'est un métier qui est extrêmement large, divers. On peut faire plein de choses dans l'immobilier. Quand on dit à quelqu'un « je travaille dans l'immobilier », il nous dit « tu vends des maisons »."
317.6,350.67999999999995,"C'est vrai, oui, c'est la première chose qui vient à l'esprit. Mais en fait, l'immobilier, c'est infiniment plus large. Il y a beaucoup, beaucoup, beaucoup plus de choses à faire que de simplement vendre des maisons. Mais nous, c'est ce que nous faisons. C'est ce que nous faisons. Nous vendons des maisons, des appartements, des terrains. Alors, je vais vous mettre ici des maisons, des appartements et des terrains. Ce n'est pas pour rien parce que c'est 99% de notre activité."
351.7,382.96,"Dans l'immobilier, on pourrait vendre plein de choses. On peut vendre des entrepôts, on peut vendre des bureaux, on peut vendre des surfaces commerciales. on peut vendre des surfaces industrielles, ce n'est pas la même chose commerciale et industrielle, on peut vendre beaucoup de choses, on peut vendre des commerces, on peut vendre des fonds de commerce, on peut vendre des immeubles entiers, on peut vendre plein de choses. Tout ça, c'est vrai et ça a lieu tous les jours, mais dans la réalité de notre activité quotidienne, nos conseillers partout en France, qu'ils soient à Marseille, à Bordeaux ou à Béthune,"
383.84,415.72,"vendent à 80, peut-être pas 99%, 99%, mais on va dire 97% des maisons, des appartements et des terrains. C'est vraiment notre cœur de métier. Ça ne veut pas dire qu'on ne peut pas vendre d'autres choses, mais ça veut dire que c'est ce que nous vendons en immense majorité. Maisons, appartements, terrains. Et là encore, c'est d'abord les maisons. Ensuite, les appartements sont un peu moins nombreux, mais on en vend beaucoup aussi."
416.32000000000005,449.32000000000005,"Et ensuite, les terrains sont un peu moins nombreux, mais on en vend beaucoup aussi. Donc vraiment, vous le verrez, sauf si vous êtes, et je crois que ce n'est le cas de personne parmi vous aujourd'hui, sauf si vous êtes vraiment en centre-ville d'une grande ville, vous vendrez surtout des maisons. Et selon que vous êtes plus ou moins à la campagne, dans une zone très rurale, vous vendrez des terrains ou des appartements. Je vais vous montrer pourquoi très simplement, vous allez voir."
449.88000000000005,480.36,"Je vais aller sur Google Maps et je vais aller à Saint-Paul-sur-Terre-Noise. Parce que Saint-Paul-sur-Terre-Noise, c'est le cœur de votre équipe. Nous voici à Saint-Paul. alors Saint-Paul c'est un bourg une ville pas très très très grand autour de Saint-Paul il y a beaucoup de petits villages"
480.36,511.14,"Croix-en-Terre-Noix, Syracourt Croisette et ainsi de suite, Flairs, Bunville etc, Erlin vous le voyez si je zoome sur tous ces petits villages là on est à Pronet il n'y a que des maisons Il n'y a pas d'appartement. Ils sont les appartements à Pronet. Il n'y en a pas. Pareil, si je vais me promener à Syracourt, il n'y a que des maisons. Il y a peut-être un ou deux appartements qui se battent en duel cachés quelque part."
511.3,541.7399999999999,"Mais en vrai, c'est très anecdotique. Ensuite, si je vais ici à... C'est Fruges, apparemment. C'est pareil à Fruges. C'est un tout petit peu plus grand, Fruges, mais ce sont des maisons, on est d'accord. Il n'y a pas d'appartement à Fruges. Alors que si j'étais dans une plus grande ville, comme par exemple Roubaix,"
543.5,576.38,"à Roubaix, il y a des maisons, mais également énormément d'immeubles d'appartements. Énormément d'immeubles d'appartements à Roubaix. Beaucoup, beaucoup, beaucoup. Donc, si vous étiez à Roubaix, vous vendriez potentiellement plus d'appartements que de maisons. Mais dans les deux cas, on n'a pas encore parlé des terrains. Eh bien, si je retourne à Saint-Paul, vous voyez qu'il y a surtout des maisons, mais dès que je sors, il y a beaucoup de terrains. Alors, il y a des terrains agricoles, tout ça sont des surfaces agricoles,"
576.62,609.48,"ce sont des cultures, ce sont des pâtures pour les vaches, pour les bêtes, etc. Mais on a également des terrains. Regardez, imaginons là, on a un terrain, il pourrait être constructible. Ici également, peut-être que ça pourrait devenir une zone constructible. On peut avoir également beaucoup de terrains. C'est la raison pour laquelle lorsque vous êtes à la campagne, en fait, vous vendez des maisons et vous vendez des terrains. Lorsque vous êtes en ville, vous vendez surtout des appartements et de temps en temps des maisons."
610.4,645.1800000000001,"Ça se produit généralement comme ça. Maintenant que vous vendiez les uns ou les autres, ce qui est important, c'est que vous n'alliez pas perdre de temps sur des produits qui ne sont pas du tout votre cible. Quels produits ne sont pas votre cible ? Les commerces, les boutiques, les entrepôts, les surfaces commerciales. Tout ça, en fait, ce sont des produits qui sont vendus par des agents immobiliers qui sont spécialistes de ces produits. L'immobilier, c'est un métier dans lequel on se spécialise."
645.52,680.72,"On se spécialise de deux manières dans l'immobilier. On se spécialise, premièrement, alors je vais mettre spécialisation. Premièrement, on se spécialise dans une zone géographique. C'est-à-dire que, si je reviens sur ma carte, Je travaille soit à Saint-Paul, soit à Roubaix."
682.1800000000001,713.8199999999999,"Mais je ne travaille pas et à Saint-Paul et à Roubaix. Je ne travaille pas et à Lille et à... Je cherche... Bruxelles, là, on est un petit peu trop loin. je cherchais Lille et après je cherchais Arras mais comme je ne connais pas très bien le secteur je ne le vois pas, mais par contre imaginons, je suis à Lille, je ne travaille pas et Lille et Valenciennes non, je travaille Valenciennes, mais pas Valenciennes"
713.8199999999999,752.8199999999999,"et Douai absolument pas, dans l'immobilier ah bah c'est là Arras, je le cherchais tout à l'heure mais je ne le voyais pas, il est là dans l'immobilier, la première spécialisation c'est une spécialisation géographique parce que, premièrement, on ne peut pas passer notre vie en voiture à faire des dizaines et des centaines de kilomètres par jour pour aller de Lille à Valenciennes, de Valenciennes à Arras. Ce n'est pas possible. Déjà, il y a une question de temps et de faisabilité. donc"
752.8199999999999,784.46,"il y a une question de temps et de faisabilité mais également dans l'immobilier on doit se spécialiser dans un secteur parce qu'on doit en être l'expert. C'est un métier d'expert, l'immobilier. C'est un métier d'expert, l'immobilier, parce que si"
784.46,815.3000000000001,"je travaille à Arras, je suis incollable sur Arras. Je connais toutes les écoles, je connais les pharmacies, je sais où se trouve le centre des impôts, je sais tout ça. je ne peux pas être à la fois un expert d'Arras et un expert de Lens. Ce n'est pas possible."
