start,end,text
0.0,30.0,Bonjour à tous alors si tout le monde est là et bien écoutez je vous souhaite la bienvenue je vous souhaite la bienvenue à cette visioconférence au cours de laquelle nous allons étudier la prospection j'en parlais avec Thierry la semaine dernière quand nous faisions la visio sur la suite du fichier excel d'ailleurs Thierry votre grille a été ouverte normalement je sais pas si ça vous a été dit votre grille de
30.0,63.84,"comment ça s'appelle de tarifs a été ouverte ce matin comme vous l'avez demandé et donc normalement vous avez 48 heures pour la paramétrer alors n'oubliez pas comme je vous l'ai expliqué la semaine dernière vous avez deux boutons enregistrer et valider enregistrer c'est pour enregistrer vos modifications au fur et à mesure et valider avant 48 heures c'est pour entièrement n'ont pas enregistré simplement les informations, parce que là, elles sont encore modifiables,"
64.32000000000001,95.48,"mais les verrouiller, les valider une bonne fois pour toutes, et là, elles ne seront plus modifiables. Les autres, bien entendu, vous dites, qu'est-ce que c'est que ça ? C'est du charabia, je ne sais pas de quoi on parle. C'est normal, c'est parce que vous n'avez pas fait la visio, comme Thierry l'a faite, la partie numéro 2 de la grille d'honoraires. Mais ça viendra, ne vous en faites pas. Alors aujourd'hui on va parler de la prospection Je me mets sur le chat ici là-haut pour être sûr Elle n'est pas ouverte Alors déconnectez-vous, reconnectez-vous d'Aiglantine Thierry Normalement elle est ouverte"
95.48,128.38,"Peut-être que si ça a été fait au moment où vous étiez déjà connecté sur Aiglantine Vous ne le voyez pas, c'est normal Il y a un certain nombre de modifications Qui imposent une déconnexion-reconnexion Je vous invite à vérifier Là vous vous déconnectez d'Aiglantine Et vous vous reconnectez derrière Normalement elle est ouverte N'hésitez pas à le vérifier dès maintenant Comme ça, je peux intervenir si jamais ça n'est pas le cas. Alors, aujourd'hui, nous allons parler de prospection. La prospection, c'est une des choses les plus importantes que vous pouvez étudier avec moi. Pourquoi ? Parce que la prospection..."
128.38,159.42,"Alors, peut-être que certains d'entre vous connaissent bien, savent de quoi il s'agit. D'autres, non. La prospection, en fait, ce sont toutes les actions commerciales que nous mettons en œuvre dans le but... De premièrement, trouver des futurs clients vendeurs. Deuxièmement, les contacter, aller les voir et leur proposer nos services. C'est ça la prospection. C'est toute cette partie qui vient avant la signature du mandat."
159.76,192.66,"C'est d'ailleurs une partie qui, bien souvent, est quasiment inconnue des gens qui ne travaillent pas dans l'immobilier ou dans certaines professions commerciales. Parce que quand on demande aux gens en quoi consiste le travail d'un négociateur immobilier, on va nous dire faire des visites, on va nous dire négocier des offres, faire des compromis, des choses comme ça. Ah, c'est bien ouvert, parfait, super Thierry. S'il y a le moindre souci, vous n'hésitez pas à demander à l'annulation, de toute manière, elle est à votre disposition. Donc, je vous disais, les gens ne parleraient pas spontanément de prospection."
192.66,229.62,"Et pourtant, c'est une tâche absolument indispensable, tout au moins au début de votre activité. Pourquoi dis-je au début de votre activité ? Parce que plus vous allez avancer, plus vous allez vous créer une clientèle, vous allez faire des ventes, vous allez rencontrer des clients et vous allez les séduire par votre professionnalisme. Et avec le temps, au bout de quelques années, qui se prépare ? C'est le plus important de ce métier, nous dit Bessira et elle a bien raison. Et vous allez voir, au bout de quelques années, quand vous aurez lancé la machine, fait des ventes, rencontré beaucoup de clients, démontré votre professionnalisme,"
230.52,261.8,"vous en ferez de moins en moins de la prospection, puisque vous rentrerez de plus en plus de mandats grâce aux bouches à oreilles, grâce à ce qu'on appelle des recommandations d'anciens clients. D'anciens clients vendeurs et ou acquéreurs, je dis et ou parce que parfois on peut être vendeur et acquéreur successivement, voire même en même temps. Ça, on en reparlera plus tard. Donc, d'anciens clients vendeurs et ou acquéreurs qui vous enverront des amis, de la famille, en disant, ben voilà, c'est vers cette personne"
261.8,292.12,"qu'il faut aller pour vendre ta maison. Tu verras, il est super, elle s'est super bien occupée de nous, ils nous ont tout expliqué. Alors, ça, ce sont des recommandations d'anciens clients. On va voir que les recommandations, même de personnes qui ne sont pas d'anciens clients, c'est extrêmement utile. extrêmement utile, c'est même aujourd'hui la base de la prospection. Alors auparavant, il y a quelques années, imaginons que vous nous ayez rejoint il y a dix ans, par exemple,"
292.91999999999996,324.48,"nous vous aurions dit que dans l'immobilier existaient deux types de prospection. Parce que c'était le cas à l'époque. Le premier type de prospection, c'était la prospection téléphonique. Et le deuxième type de prospection, c'était la prospection physique. Prospection téléphonique, prospection physique, c'était les deux modes de prospection qui existaient auparavant dans l'immobilier."
