start,end,text
0.0,38.06,"Bonjour à tous, y compris aux nouveaux arrivants. Je vous disais aujourd'hui une visioconférence très importante au cours de laquelle on va étudier votre grille tarifaire. Alors votre grille tarifaire, ça veut dire plein de choses. Ça veut dire comment ça fonctionne du point de vue de la loi et comment ça fonctionne à la lucarne de l'immobilier, comment on fait cette grille ici, comment on met les valeurs qui sont ici que vous avez sous les yeux et qu'est-ce qu'on met comme valeur. Et il est possible d'ailleurs que cette visioconférence se passe en deux parties si on s'éternise un petit peu trop parce qu'on a vraiment beaucoup de choses à voir aujourd'hui."
38.16,70.12,"Vous allez voir, c'est très dense, c'est très, très, très dense. Donc, accrochez-vous. Alors, bien entendu, cette visioconférence, elle est enregistrée, comme toujours. Toutes les visioconférences sont toujours enregistrées, donc vous pourrez récupérer l'enregistrement par la suite si c'est allé trop vite, si vous avez raté quelque chose, si tout n'a pas été parfaitement clair. ça ne pose aucun problème on pourra vous la donner après alors, première chose que vous constatez, alors là je suis dans une églantine, comme vous avez"
70.12,101.5,"tous, alors c'est une églantine de test bien sûr, mais c'est la même églantine que vous avez tous, que nous avons sous les yeux dans cette églantine comme vous pouvez le constater, il y a en bas à gauche du menu, quand vous vous connectez un lien qui s'appelle grille de tarifs, qui est là grilles de tarifs. Quand vous cliquez dessus, vous voyez une double grille, une grille qu'on appelle essentielle et une grille qu'on appelle premium. Une double grille avec des valeurs dedans. Les valeurs qui sont dedans,"
102.16,134.24,"vous allez pouvoir les personnaliser. Vous allez pouvoir... Alors, je vais zoomer un petit peu pour que vous y voyez plus clair, peut-être, parce que là, c'est un petit peu plus gros. Les valeurs que vous avez sous les yeux, ce sont des valeurs par défaut non personnalisées. Quand vous arrivez à la lucarne, que vous n'avez pas personnalisé vos grilles, parce qu'en fait vous en avez deux, je vais vous expliquer dans un instant pourquoi, dans quel but. Lorsque vous n'avez pas personnalisé vos grilles, vous êtes sur la grille par défaut que vous avez sous les yeux. Cette grille"
134.24,167.78,"par défaut, elle pourrait très bien vous convenir et vous pourriez dire, très bien, moi je vais appliquer cette grille, elle me convient parfaitement. Mais elle est considérée comme relativement généreuse. Elle est relativement généreuse, elle est relativement élevée, vous voyez, 9,5%, ça va jusqu'à 6% au-delà de 1,5 million et jusqu'à 7% dans la grille premium jusqu'à, là encore, enfin, à partir, pardon, d'un million 500 000, non pas jusqu'à, mais à partir d'un million 500 000. C'est particulièrement généreux. Vous pourriez dire, moi, dans mon secteur, ce n'est peut-être pas pertinent d'être aussi gourmand."
168.28,201.44,"Et c'est ce que nous allons voir aujourd'hui en partie. Donc, vous avez ces valeurs qui sont inscrites par défaut. Et vous allez avoir la possibilité de les modifier, ces valeurs. De les modifier pour mettre des valeurs, des pourcentages ou des sommes d'argent, on va le voir, qui correspondent plus à votre secteur. Pourquoi ? Parce que l'immobilier français est extrêmement homogène. C'est-à-dire que quel que soit l'endroit où vous vous rendez en France, l'immobilier fonctionne de la même manière un petit peu partout."
201.44,234.98,"Ce n'est pas le cas dans tous les pays du monde, en particulier les très grands pays comme les Etats-Unis. Les Etats-Unis qui sont même composés de différents états qui sont un petit peu comme différents pays à l'intérieur. Et là, vous allez de la Californie au Colorado, ça n'a rien à voir. L'immobilier fonctionne radicalement différemment, le marché est absolument différent. En France, non. Le marché est le même partout, sauf qu'il y a une exception, c'est Paris intra-muros. Paris intra-muros, c'est un fonctionnement un petit peu différent du reste de la France."
234.98,266.7,"Mais à partir du moment où vous sortez de Paris, vous êtes absolument partout dans la même situation. Qu'est-ce que j'appelle la même situation ? C'est que les produits se vendent de la même manière et se vendent avec les mêmes actions. Qu'on soit à Saint-Raphaël sur la côte d'Azur, là où il fait très très beau et où les prix sont très très chers. ou qu'on soit en Creuse, je ne sais pas si vous connaissez la Creuse, Allison connaît très probablement la Creuse puisqu'elle est à côté,"
266.7,301.26,"mais la Creuse qui est un département très rural et relativement pauvre où là les prix ne sont pas du tout les mêmes, en dehors des prix, le marché fonctionne de la même manière. Le marché fonctionne selon les mêmes ressorts, selon les mêmes leviers à actionner. Le marché est exactement le même en Creuse, à Aubusson, qu'il ne se trouve à Saint-Raphaël, sur la côte d'Azur, où tout est très cher. Le fonctionnement du marché est exactement le même. Par contre, là où les choses ne sont pas homogènes, en France, c'est sur les prix."
302.2,332.86,"Bien entendu, une très belle et très grande maison dans la Creuse, elle ne vaut pas cher du tout, comparée à la même grande et belle maison à Saint-Raphaël, où elle vaudra plusieurs millions d'euros. Il est normal en France, selon la région, d'avoir un produit exactement identique, exactement similaire, mais en superficie, en prestation, en ensoleillement, mais qui vaut beaucoup plus cher, qui vaut 2, 3, 4 fois le prix selon l'endroit où on se trouve."
