start,end,text
0.0,30.0,"Bonsoir. On va commencer si vous voulez bien. Alors, on va voir différentes petites choses. Déjà, je vais lancer mon églantine sur votre écran pour que vous puissiez la voir. Où est mon églantine ? Je l'ai ici, mon églantine. Voilà. Hop ! Je la connecte. Je partage mon écran. Non, tout l'écran. Voilà, je peux partager cet écran."
30.0,62.34,"Hop là ! Donc là, normalement, vous voyez bien Eglantine d'ici quelques petites secondes. Oui, voilà, ça y est, vous voyez Eglantine. Alors, on a différentes petites choses à voir en introduction. Déjà, avant tout, merci à ceux d'entre vous qui nous ont envoyé leur RCP 2025. Il nous en manque encore beaucoup, beaucoup, beaucoup, beaucoup, beaucoup, beaucoup, beaucoup de RCP 2025. pas mal d'entre vous nous les ont envoyés"
62.34,96.1,"je les remercie mais pas mal d'entre vous ne nous les ont toujours pas envoyés vite vite vite les amis on devait les avoir pour le 10 pour le 10 janvier c'est très très très important donc l'ARCP 2025 envoyez-les à animation.com c'est super important au sujet de l'ARCP 2025 je ne sais pas si Eric est avec nous Là, je parle d'Éric à côté de Lyon, à Dessines. Non, Éric n'est pas là aujourd'hui."
96.48,126.88,"Ah, mais il a dit qu'il ne serait pas là. Il a dit qu'il ne serait pas là. Il a envoyé un email hier, aujourd'hui. Cette année, nous allons probablement pouvoir refaire les cartes professionnelles de tout le monde. Pourquoi ? Parce que je vous en avais parlé au cours de l'année 2024. en juillet 2024 nous avons refait la carte professionnelle de la lucarne de l'immobilier que nous devons refaire tous les 3 ans c'est complètement idiot que ce soit tous les 3 ans à une époque c'était tous les 10 ans"
126.88,157.0,"ça c'était super pratique alors qu'on dit que c'est un peu trop long tous les 10 ans réduire à 5 ça aurait été bien pas tous les 3 ans c'est trop court donc juillet 2024 on a refait la carte de la lucarne certains d'entre vous d'ailleurs nous avez envoyé leur carte périmée, la toute première à l'avoir fait c'était Nathalie qui nous avait envoyé sa carte périmée en tout premier donc Nathalie était la meilleure élève de ce point de vue là Nathalie est toujours une excellente"
157.0,190.85999999999999,"élève pour tout, de toute manière mais là de ce point de vue là elle a coiffé tout le monde au poteau et quand nous on refait notre carte on doit refaire les cartes de tous les collaborateurs de la Lucarne mais nous ne l'avons pas fait l'année dernière parce que la société anonyme à la lucarne de l'immobilier est en cours de transformation en société par action simplifiée pour des raisons comptables tout simplement pour des raisons comptables une sas c'est plus c'est moins contraignant c'est plus facile c'est moins coûteux à gérer qu'une société anonyme quand on"
190.85999999999999,222.12,"a créé la société à la lucarne ya très longtemps une société de ce type là ça se faisait en société anonyme. Aujourd'hui, la SAS a pris son envol, elle apporte un très grand nombre d'avantages, donc on transforme à la lucarne de l'immobilier SA en à la lucarne de l'immobilier SAS. Mais on doit d'abord finaliser cette formalité de transformation de la société en SAS pour pouvoir refaire vos cartes professionnelles. Donc on attend que ce soit publié. D'ailleurs tiens,"
222.12,252.72,si j'ai regardé là aux greffes en direct avec vous est ce que ça a été pris en compte il y a eu point fr voilà d'attaqué point fr est ce que ça a été enregistré aux greffes ou pas encore on va voir ça ensemble à la lucarne baume de l'immobilier est-ce qu'ils ont enregistré ou pas à sas société par action simplifiée voyez ça y est ça a été enregistré il ya quelques jours
252.72,283.94,j'ai regardé ça ne l'était pas encore ça y est la société à la lucarne de l'immobilier s a et désormais la société à la lucarne de l'immobilier s a s et on devrait voir quelque part caché ici la dernière date de modification je ne sais pas où ils l'ont mise mais c'est pas grave documents associés ah procès verbal de transformation ça doit être celui-là
283.94,315.02,"ok, bon, écoutez ça y est, il y a quelques jours ce n'était pas encore le cas maintenant c'est le cas, à la lucarne de l'immobilier est bel et bien une société par action simplifiée une SAS. Donc, ça veut dire que nous allons pouvoir avancer sur les nouvelles cartes professionnelles. Ça va être donc fait cette année de manière certaine, puisque là, je viens de voir que la modification a bien été prise en compte, elle a eu lieu. Donc, cette année, vous allez tous et toutes avoir vos cartes professionnelles. Alors, je ne sais pas si je vous en ai parlé l'année"
