start,end,text
0.0,32.08,"Bonjour à tous et à toutes, bien entendu. Bienvenue à cette visioconférence. J'espère que ça va bien se passer malgré le retour qui me manque. Écoutez, on va faire de notre mieux. Alors, je vais déjà enlever les petits oiseaux. Voilà, on va les mettre ici. Il n'y a plus de petits oiseaux. Normalement, là, vous voyez un écran tout à fait noir. Là, c'est normal. Si vous voyez un écran noir, c'est tout à fait logique. C'est parce que j'ai enlevé la page YouTube avec les petits oiseaux."
33.34,64.16,"Et on va pouvoir commencer tout de suite si vous le voulez bien. Alors, on a pas mal de choses à voir aujourd'hui. On a pas mal de choses à voir. Est-ce que Véronique est avec nous ? Normalement, Véronique doit être avec nous. Oui, Véronique est avec nous. Parfait. Parce que c'est Véronique qui avait demandé la dernière fois, alors je ne sais pas si vous vous souvenez, ou alors pour ceux d'entre vous qui n'étaient pas présents, la dernière visio du jeudi, nous avions fait un petit point sur l'audit énergétique parce qu'une question avait été posée je crois d'ailleurs par Véronique à l'animation à propos de l'audit énergétique et on avait fait"
64.16,95.38,"un petit point un petit rappel sur l'audit énergétique et au cours de ce petit rappel nous nous sommes aperçus tous ensemble que un grand nombre de questions continuent à être soulevées notamment à propos des copropriétés vous allez comprendre pourquoi à propos des copropriétés. Il y a encore un petit bazar législatif là-dessus. Donc Véronique continue à poser des questions, ce qui me montrait que ce petit point n'était pas suffisant."
95.58,131.14,"Et on s'est dit tous ensemble, la prochaine fois, on fait un point complet sur l'audit énergétique. Alors, pourquoi on avait fait un simple petit point la dernière fois ? Parce qu'on a déjà fait des visios complètes sur l'audit énergétique. Mais comme on le sait, la formation, c'est de la répétition, bien sûr, il faut revenir sur les notions, premièrement. Deuxièmement, toutes ces notions évoluent parce que la loi change, les usages changent. Troisièmement, parce que lorsque je fais une visio sur un thème, vous n'êtes pas forcément tous là. Il y en a qui ne sont pas là, qui seront là la fois d'après, la fois d'avant, etc."
131.14,162.22,"Donc, le point complet qu'on avait fait sur l'audit énergétique, on s'est aperçu qu'il fallait qu'on le refasse là encore complètement. Donc, c'est ce qu'on va faire aujourd'hui. Mais ce n'est pas la seule chose qu'on va faire. On a d'autres questions également. On va en faire une première d'ailleurs, une question qui nous a été posée par Michel en Bourgogne, qui nous a posé une question sur les mandats. Et ensuite, on a également une question de Camille. On a également une question de Camille."
162.35999999999999,195.72,"Alors, on a pas mal de choses à voir, vous voyez. Également, un petit rappel sur le Matterport. Tiens, d'ailleurs, le Matterport, on va aller voir ça ensemble, les amis, parce qu'hier, je suis allé faire un Matterport à Rueil. On va voir ensemble s'il est prêt. Ça va nous permettre de parler rapidement du Matterport. Vous allez comprendre pourquoi. Alors, est-ce que celui que j'ai fait hier à Rueil est terminé ? Est-ce qu'il est prêt ? Normalement, il devrait l'être. Sandrine est avec nous aujourd'hui ? Non, Sandrine n'est pas là."
197.46,228.78,"Oui, la maison de Rueil est faite avec Isabelle, vous voyez, hop là. La voici. Une chouette maison, à Rueil-Malmaison. Alors Isabelle n'était pas là parce qu'elle est très malade en ce moment, Elle a une espèce de grippe qui ne part pas doublée d'un blocage du dos. Donc, vous comprenez pourquoi elle n'était pas là hier, mais ça ne m'a pas empêché de faire le Matterport. Donc, voici la maison que nous sommes allés faire hier,"
229.48000000000002,260.54,"enfin que je suis allé faire hier. Une chouette maison à Rueil. Alors, Rueil, pour ceux qui ne connaissent pas la région parisienne, c'est juste à côté du bureau à Nanterre. Vous voyez, ma petite valise Matterport. c'est une maison qui a une très très alors là vous ne le voyez pas mais elle a une très très très belle vue sur une vallée ici, c'est très chouette alors elle n'est pas encore prête à diffuser pourquoi ? parce qu'il y a encore pas mal de choses à caler, vous savez quand on fait un Matterport, il y a la prise de vue, c'est le plus long la prise de vue, c'est très très très très long"
260.54,292.02000000000004,"la prise de vue, ensuite il y a la réalisation de la maquette par les serveurs de Matterport, avant ça prenait quelques jours, maintenant ça prend environ moins de 24 heures parce que vous voyez moi je l'ai envoyée à ma terre-porte hier en fin d'après-midi elle est déjà disponible donc ça c'est pas mal mais ensuite moi j'ai un petit peu de boulot là vous voyez on va à l'étage je vais vous montrer pourquoi j'ai un petit peu de boulot parce que il faut retourner voir toutes les choses qu'on aurait éventuellement oubliées"
292.02000000000004,325.44,"et qu'il faut flouter parce qu'à chaque ma terre-porte en fait il faut enlever un certain nombre de choses qui ne doivent pas être vues des photos de famille, des meubles anciens éventuellement. Et là, vous voyez, typiquement, ici, on a là des photos de famille qu'il faut enlever, qu'il faut flouter, parce que soit on arrive à les enlever avant de faire la prise de vue, c'est l'idéal, parfois on ne peut pas, parce que vous voyez, ce panneau rouge, il est accroché au mur, les petites photos, elles sont collées au panneau rouge,"
