start,end,text
0.0,30.0,"Bonsoir à tous, donc. Bonsoir à tous, bonsoir à toutes. On va commencer maintenant, si vous le voulez bien. Rebonjour à tous ceux que j'ai eu au téléphone aujourd'hui. Celles et ceux, parce qu'il y a Jolene, Julien, Isabelle, j'ai eu pas mal de monde. J'ai pas eu la moitié des gens que je devais avoir au téléphone aujourd'hui. En tout cas, bienvenue à tous à cette visio. On va discuter de pas mal de choses aujourd'hui. Pas mal, pas mal, pas mal."
30.0,60.160000000000004,"de choses le bon visite électronique on a déjà vu alors on a des cas particuliers on a des questions un petit peu général on a beaucoup beaucoup beaucoup beaucoup de choses à aborder la première chose qu'on va voir ce des questions qui ont été posées par pierre ça va ça va se faire assez vite ce sont des questions pour lesquelles on n'a pas beaucoup trop s'étendre en tout cas On va aller voir. Déjà, la première chose"
60.160000000000004,92.47999999999999,"dont on va parler, c'est la déconnexion automatique d'Aiglantine. Vous le savez, Aiglantine comporte un système de déconnexion automatique au bout d'un certain temps. Je ne sais pas combien de temps c'est. Avant, c'était 27 minutes, mais ça a été changé par Cloudflare. Cloudflare, qu'est-ce que c'est ? Je vais vous le montrer. On va simuler ça. Je fais ça. Je fais ça. C'est ça Cloudflare, c'est ce machin de vérification."
93.22,132.26,"Vérifiez que vous êtes humain. Moi sur mon ordinateur, j'en ai beaucoup, beaucoup, beaucoup de ça. Vous, vous en avez moins parce que vous n'avez pas plusieurs églantines connectées en même temps, ce qui est mon cas, pour faire des tests, pour faire des machins, etc. Moi j'ai une utilisation d'églantines un peu particulière, c'est la raison pour laquelle dès que je clique quelque part, il y a Cloudflare qui se met en route. Qu'est-ce que c'est Cloudflare ? C'est un système, c'est le leader mondial d'ailleurs, c'est un système de protection des sites internet contre les piratages, contre les utilisations abusives."
133.26,165.06,"Ça sert à protéger les sites internet contre les méchants qui veulent soit les bloquer, les neutraliser, les utiliser pour faire du spamming, pour faire des escroqueries, pour faire des machins, pour faire des trucs très vilains parce que ce sont des gens très vilains. Cloudflare s'est imposé au fil des années comme le leader mondial de la protection des sites internet, c'est la raison pour laquelle ce truc de vérifier que vous êtes humain Cloudflare etc, vous le voyez chez Alalucarn, vous le voyez sur Eglantine, vous le voyez absolument partout"
165.06,196.45999999999998,"partout sur internet puisque c'est non seulement le leader mais c'est, je ne vais pas dire qu'il est en position de monopole mais il est dans une position de domination du marché absolument indiscutable. Cloudflare, qui protège donc Eglantine depuis le Covid. Depuis le Covid. Souvenez-vous, ceux d'entre vous qui étaient là à l'époque, pendant le Covid, il y a eu une espèce de flambée, d'explosion"
196.45999999999998,226.79999999999998,"des piratages informatiques dans le monde entier. Bien entendu, nous n'y avons pas échappé. on a fait partie de toutes ces vagues de pirates il y en a eu partout, partout, partout ça a été véritablement une explosion ceux d'entre vous qui étaient là à l'époque se souviennent que notre système de mail avait été piraté Eglantine a été piraté 50 fois Alalucarn.com a été piraté 50 fois ça n'arrêtait pas on avait dû mettre en place des mesures"
226.79999999999998,257.96,"de renforcement de la sécurité quasiment toutes les semaines et on avait changé les mots pas, c'est changer le bidule, changer de serveur, de truc, ça n'a plus à finir. Et on a mis en place beaucoup de mesures de sécurité que nous n'utilisions pas avant, notamment une restriction géographique. Typiquement, si vous voulez vous connecter à Eglantine depuis un pays étranger, vous ne le pouvez pas. Vous ne le pouvez pas, c'est bloqué. Ça fait partie, c'est une des mesures de sécurité que nous avions mises en place"
257.96,291.52000000000004,"à l'époque, et que nous utilisons toujours d'ailleurs. Une autre mesure de sécurité parmi les principales, ça a été de faire protéger tous nos sites et tous nos serveurs par Cloudflare, entre autres. Pas seulement, mais entre autres, on a mis ça en place. Et toutes les mesures qu'on a mises en place l'ont été à bon escient, puisque depuis, nous n'avons plus d'attaques. Nous avons des tentatives, un petit peu par-ci, par-là, mais il n'y a plus d'attaques qui réussissent. on est aujourd'hui"
291.52000000000004,322.21999999999997,"plutôt bien protégé on est plutôt bien protégé en grande partie grâce à Cloudflare alors Cloudflare ça impose plein de choses beaucoup de contraintes techniques de contraintes de sécurité notamment on a mis en place vous vous souvenez en lien avec ça des mots de passe beaucoup plus sécurisés vous avez des grands mots de passe très longs très compliqués qui font minimum 24 caractères, etc. Et une des contraintes"
322.21999999999997,354.38,"imposées par Cloudflare, c'est d'avoir un temps de déconnexion automatique d'Eglantine plus court que ce que nous avions avant. Alors, je vous explique comment ça fonctionne. Tous les sites Internet sécurisés, un site Internet sécurisé, c'est deux choses. C'est premièrement un site Internet qui est connecté selon un certificat correspondant à la norme HTTP S. Eglantine étant HTTPS sinon vous verriez ici un truc qui vous dirait"
354.38,385.11999999999995,"attention c'est pas HTTPS c'est très dangereux, c'est très grave n'y allez pas, n'y allez pas, n'y allez pas Eglantine étant HTTPS ça c'est un pré-requis alors de toute manière c'est un pré-requis partout sur internet mais entre autres pour Cloudflare et ça c'est le premier critère d'un site qui est sécurisé il est à la norme HTTPS et un autre critère d'un site sécurisé c'est un site qui est verrouillé par un mot de passe d'accès, votre boîte mail votre interface bancaire"
385.11999999999995,415.28,"plein de choses, ce sont des sites qui sont à la fois HTTPS et à la fois protégés par un mot de passe d'accès c'est ce qu'on appelle un site sécurisé si vous allez sur alalucard.com vous n'avez pas de mot de passe à mettre pour accéder Alors, il est sécurisé aussi, il est à la norme HTTPS, il est protégé par Cloudflare, etc. Mais, il n'y a pas de mot de passe pour rentrer sur alalucarn.com. Vous voyez, on peut y aller et hop,"
415.61999999999995,447.09999999999997,"on clique directement sur les différentes rubriques. On va se balader, on va se promener, on regarde tout ça. Il n'y a pas de mot de passe. Par contre, sur Eglantine, pour rentrer dans Eglantine, je dois mettre mon nom d'utilisateur et mon mot de passe sécurisé. Pouf, je vais sur Eglantine. Les sites sécurisés, lorsqu'ils sont protégés par Cloudflare doivent avoir une déconnexion plus rapide que la déconnexion de base"
447.09999999999997,478.16,"Auparavant, sur Eglantine comme sur tous les sites sécurisés au bout d'un certain délai d'inactivité il y a une déconnexion automatique ça veut dire qu'ici, si je ne fais rien si je clique sur des liens, là je clique là-dessus je clique sur une autre page je clique là, je clique n'importe où je suis actif si par contre je ne fais plus rien alors bouger la souris ça ne compte pas là vous voyez je bouge la souris ça ne compte pas"
478.16,510.0,"si je ne fais plus rien, c'est à dire si je ne clique plus sur aucun lien comme je viens de faire là si je reste comme ça par exemple je pars me faire un café je vais promener mon chien, ou que sais-je encore. Au bout de 27 minutes, c'était le délai auparavant, Eglantine se déconnecte. Plouc ! Elle se déconnecte toute seule. Ça veut dire que quand je reviens après 27 minutes, si je clique sur n'importe quel lien,"
