start,end,text
0.0,34.46,"Bonsoir à tous, donc disais-je, bonsoir, merci d'être là aujourd'hui. Alors avant tout, permettez-moi de vous présenter toutes nos excuses pour le ratage de ce matin, mais on a eu un problème, enfin j'ai eu un problème d'Internet parce que je n'étais pas devant mon installation normale, j'étais en déplacement dans ce qu'on appelle une zone blanche, je comptais sur la fibre et là il y a eu une panne de fibre, donc forcément ça n'a pas pu marcher, je ne pouvais plus communiquer du tout, pas même avec mon GSM, qui lui-même passait par le Wi-Fi, la voie sur le Wi-Fi."
35.32,66.03999999999999,"Donc ce matin, ratage complet, on a été obligé de rerouter à ce soir. Donc premièrement, je vous présente absolument toutes mes excuses. Et puis deuxièmement, je vous remercie d'être là ce soir pour cette visio de rattrapage. Bien entendu, elle est enregistrée, ce qui permettra à tous ceux qui l'ont ratée d'y accéder. Comme on vous l'a montré la semaine dernière, non seulement les visios sont enregistrées, mais ça, vous le saviez déjà. On les met sur la chaîne YouTube de la Lucarne, mais ça, vous le saviez déjà. Mais en plus, elles viennent alimenter la base de données des questions que vous pourriez vous poser,"
66.16,97.78,"telles que Michel vous l'a montré. Donc, merci à tous. Toutes mes excuses. J'espère que vous saurez me pardonner. Alors, aujourd'hui, on va commencer. On a pas mal de petites et des moins petites choses à voir. Alors, bien entendu, questions, interrogations, remarques, interjections. le chat est là pour ça, vous le savez donc vous n'hésitez pas, je réponds à toutes les questions qui sont posées sur le chat et là je suis en train de reprendre mes petites notes donc je réponds à toutes les questions qui sont posées sur le chat et également"
97.78,129.07999999999998,"aux remarques alors on va commencer avant tout par cette chose, je suis pardonné merci beaucoup Corinne c'est gentil, c'est indulgent de votre part déjà petit déprime de la semaine dernière alors j'espère que ça vous a plu j'espère que vous avez passé un bon moment au Puy du Fou avec nous, nous en tout cas on a passé un excellent moment malgré cette pluie battante qui ne nous a pas lâché du début à la fin"
129.07999999999998,159.82,"bon ça n'a pas eu l'air d'entamer la bonne humeur de chacun donc on a passé un bon moment alors rétrospectivement j'ai l'impression que beaucoup d'entre vous ont raté la soirée du jeudi le jeudi soir après le spectacle lumineux le magnifique, merveilleux, sublime incroyable dirait certains spectacles lumineux nous avions la soirée"
159.82,189.98,"la soirée magie et et jeu il y avait du blackjack, il y avait la roulette et puis il y avait un troisième jeu que je ne connaissais pas qui apparemment ressemble au blackjack et rétrospectivement quand j'y songe j'ai l'impression que beaucoup d'entre vous n'étaient pas présents beaucoup d'entre vous ont raté cette soirée j'ai l'impression je ne sais pas si c'est juste une impression dites moi si vous étiez bien au courant si vous étiez bien là, si vous n'y étiez pas mais effectivement oui"
189.98,225.5,c'était super dit Jackie c'était un super séjour j'espère que ça vous a plu alors maintenant il faut qu'on se pose la question pour savoir où on fera le prochain là c'était à peu près évident puisque vous étiez très nombreux à nous avoir demandé le puits du fou le prochain je sais pas où ce sera alors c'est vrai que ce serait bien de le faire dans la zone sud pourquoi dans la zone sud parce que les deux derniers ont été faits dans la zone nord c'est à dire center parks c'est la moitié non quand je dis la zone nord c'est là on va dire la moitié nord de la france
225.5,256.21999999999997,"c'est ça que je veux dire par la zone nord alors je vous l'ai déjà dit où est-ce que je mets la limite entre le nord et le sud de la France je vais vous montrer tout de suite bon c'est pas compliqué, je pars de La Rochelle qui est ici et je vais à peu près jusqu'à Genève La Rochelle, Genève d'ailleurs si je fais un petit est-ce que je peux non je ne peux pas tirer une ligne comme ça mais bon, là vous voyez ma souris La Rochelle, on va à peu près ici jusqu'à la Suisse jusqu'à Lausanne, Genève"
256.21999999999997,286.7,"tout ce qu'il y a en dessous c'est la moitié sud, tout ce qu'il y a au-dessus c'est la moitié nord donc là ça fait deux fois qu'on est dans le nord puisque cette fois-ci on était en Vendée du côté de Chaland, la Roche-sur-Yon dans ces eaux-là, Niort on était à peu près ici donc on est au-dessus de la Rochelle pas très très loin au-dessus de la Rochelle mais on était quand même dans la zone nord, dans la moitié nord et puis la fois précédente c'était aux alentours de Poitiers, c'est ça ? Pas loin"
286.7,320.64,"d'ailleurs, pas très loin, c'était je crois au-dessus de Poitiers entre Poitiers et Châtellerault donc c'était également dans la moitié nord, donc ça veut dire que la prochaine fois il faudrait, là si je fais une limite vous voyez vraiment, j'ai la Rochelle ici j'ai Genève là, il faudrait que ce soit dans cette moitié sud de la France ou je ne sais pas on trouvera, alors bien entendu faites-nous part de vos bonnes idées parce que vous pouvez très bien ma fille voudrait euro disney a alors euro disney il ya deux"
320.64,352.3,problèmes le premier c'est que c'est hors de prix oh c'est absolument hors de prix euro disney c'est inouï le prix d'un séminaire d'entreprise à euro disney c'est c'est fou c'est fou c'est délirant c'est le premier problème le deuxième problème c'est que c'est la moitié Nord ah c'est à nouveau la moitié Nord donc c'est difficile
352.3,383.16,"de faire ça la prochaine fois à Eurodisney mais je comprends que effectivement alors c'est la fille de Pierre qui demande ça mais je pense que nombreuses autres personnes seraient très contentes de faire ça aussi à Eurodisney, à chez Mickey alors nous ça nous arrangerait parce que pour le coup c'est pas loin du bureau c'est juste de l'autre côté de Paris maintenant peut-être qu'on peut trouver il y a certainement quelque chose de sympa dans la moitié sud où on pourrait aller alors je sais que ça fait des années que Isabelle Chassani nous dit faisons ça en Espagne ici"
383.16,413.76,alors au début elle nous disait l'Espagne donc ça c'est ici et puis même à un moment elle nous a dit allons faire ça à Ibiza à Ibiza carrément alors je lui ai expliqué plusieurs fois elle ne veut pas trop trop trop trop trop l'entendre que faire passer une formation aux AGFIS à Ibiza à mon avis déjà que les AGFIS quand on fait les formations en France ça marche pas très bien alors pour faire passer une formation
413.76,445.36,à Ibiza ça va un peu moins bien marcher encore donc ouais alors j'ai vu que propriété privée a invité les 100 meilleurs vendeurs de leur réseau en Espagne pour un week-end tout ferait payer je crois que c'était en Espagne si je ne me trompe pas alors je ne sais pas eux ils les ont certainement invités mais quand je vois que Julien m'avait montré l'autre fois que certains agents d'IAD
445.36,477.6,"avaient été invités je crois que c'était en Tunisie là par contre je sais qu'ils l'ont payé cher les agents en question de leur poche et cher et je peux même vous dire que l'IAD a sans aucun doute fait un bénéfice dessus parce qu'ils sont très forts pour ça. Maintenant, effectivement, Ibiza, d'un autre côté, est-ce que c'est encore de notre âge d'aller faire les crétins à Ibiza ? Ibiza, moi, j'avais envie d'y aller quand j'avais 18-20 ans. Et puis, je ne suis pas allé d'ailleurs. Mais à notre âge, est-ce que c'est vraiment pour nous, Ibiza ?"
477.6,509.58,"Est-ce qu'on ne va pas se retrouver face à une horde de gamins de 20 ans qui vont nous prendre pour des boomers, même s'ils ne savent pas du tout ce que c'est que des boomers ? Mais bon, ils risquent de nous prendre pour des boomers. Je ne sais pas. Bon, en tout cas, on va y réfléchir. Faites-nous part de vos bonnes idées, bien entendu. Il y a Julien qui me rappelle ici, il y a des en Tunisie. Oui, c'est ça, c'était bien en Tunisie, je ne me trompe pas. C'était en Tunisie. Il n'y a pas que le côté festif à Ibiza, c'est une superbe île. Oui, j'en suis sûr. Ça, j'en suis certain. J'en suis certain, certain, certain. Ça doit être absolument sublime, Ibiza."
509.58,539.9,"Ça doit être très, très, très, très beau. Bon, en tout cas, on va réfléchir à tout ça. et puis on va voir en tout cas merci à tous d'avoir été là la semaine dernière et d'avoir participé, c'était vraiment chouette. Alors Maryse j'ai essayé de vous appeler parce que je vois que vous êtes avec nous Maryse et je vous souhaite le bonsoir j'ai essayé de vous appeler tout à l'heure Maryse pour discuter du de l'hypnose parce que vous avez dit"
539.9,570.36,"vous seriez, vous sachiez tous les uns et les autres qu'on a dîné ensemble le vendredi soir Maryse, Véronique, Isabelle et Sandrine et moi bien sûr, on a dîné ensemble et on a commencé à discuter avec Maryse de ce qu'elle avait ressenti, de ce qu'elle avait pensé pendant le spectacle le diplôme, si vous l'avez tous vu, Maryse était particulièrement dedans et puis on a été coupé, on est passé à autre chose on n'a pas eu le temps de vraiment développer, développer et puis Maryse dit que maintenant qu'elle a vu les vidéos elle serait prête à ce qu'on en discute"
570.36,600.86,"et à ce qu'on comprenne mieux d'ailleurs à ce sujet est-ce que vous êtes d'accord, ça il faut me le dire mais éventuellement on en discutera avec désolé j'étais occupé, c'est pas grave c'est pas grave du tout on en discutera Maryse, mais est-ce que vous nous autorisez à mettre la vidéo du spectacle d'hypnose sur la chaîne Youtube de la Lucarne alors ça veut dire quoi la mettre sur la chaîne Youtube de la Lucarne ça veut dire que seuls les agents de la Lucarne y auraient accès"
600.86,633.52,"les vidéos de YouTube de la lucarne ne sont pas diffusées au grand public elles ne sont accessibles qu'aux membres de la lucarne puisqu'elles ne sont pas sur le site YouTube il faut avoir l'adresse et avoir le lien pour pouvoir y accéder donc est-ce que les uns et les autres y compris Marie, est-ce que vous nous autorisez à mettre ça sur la chaîne YouTube de la lucarne et également le magicien l'hypnotiseur qui était là demande si lui-même peut utiliser"
633.52,666.02,"tout ou partie des petits morceaux, des petits clips peut-être de cette vidéo peut les utiliser lui pour faire un petit peu sa pub, pour montrer un petit peu son savoir-faire donc est-ce que vous êtes d'accord les uns et les autres pour cela, faites-le moi savoir vous pouvez déjà me le dire ici Jackie dit je donne mon autorisation super est-ce que vous êtes ok, est-ce que vous donnez l'autorisation vous pouvez me le dire dès maintenant Et puis après, on peut en rediscuter à d'autres moments. Donc, premièrement, ça se négocie, dit Hugues."
