start,end,text
0.0,40.1,"Bonjour à tous, puisque vous êtes désormais tous là, je vous souhaite une excellente année 2026, comme je vous le disais, les meilleurs voeux pour vous ainsi que pour vos proches. Alors, je vous le disais il y a un instant, j'étais un petit peu inquiet de voir que Marc était le seul connecté jusqu'à quasiment 9h05, personne d'autre n'était là, et puis finalement les uns et les autres sont arrivés, hop, petit à petit se sont égrénés. J'ai constaté, non, j'ai l'impression, je vais être plus prudent que ça, j'ai l'impression que vous êtes moins nombreux le jeudi matin que vous ne l'étiez le jeudi soir auparavant."
40.1,80.64,"Donc je suis en train de récupérer les chiffres des visios du jeudi soir auparavant, les visios du jeudi matin, parce que maintenant c'est depuis la rentrée scolaire qu'on fait ça, donc ça fait 3-4 mois, pour faire des moyennes et regarder si effectivement vous êtes plus nombreux le matin ou le soir. Et si je m'aperçois que vous êtes effectivement moins nombreux le matin que le soir, je demanderai à Marjorie d'avoir la gentillesse, si elle le veut bien, de remettre un vote sur le groupe Facebook de la lucarne pour sonder les gens à nouveau et pour voir si finalement, en fait, ils ne préféraient pas le soir au matin."
80.64,112.46000000000001,"Je suis en train de collecter les chiffres, de regarder si c'est juste une impression de ma part ou si c'est une réalité. C'est long de collecter les chiffres, c'est compliqué parce qu'il faut récupérer pour chaque session de visioconférence le fichier Excel des connexions, prendre les chiffres du fichier Excel, les reporter dans un autre fichier Excel dans lequel je mettrai toutes les données de toutes les visios. et ensuite, alors après ça se fait en trois clics de souris, on fait des moyennes. Mais récupérer les infos et les mettre dans un fichier Excel centralisé,"
112.82000000000001,143.29999999999998,"ça c'est très long, c'est un travail de fourmi. Et l'intelligence artificielle n'est pas en mesure de nous aider pour ça. Donc c'est un travail qu'on est en train de faire, et puis quand ce sera terminé, on verra s'il y a lieu de vous interroger à nouveau sur le groupe Facebook et si Marjorie veut bien s'en occuper. Parce que Marjorie peut très bien me dire qu'elle a autre chose à faire, c'est également possible. Donc, on verra ça. Alors, aujourd'hui, on a pas mal de choses à voir en cette rentrée, non pas scolaire, mais en cette rentrée civile."
143.7,176.38,"Alors, comme je vous le disais, cette année, on a énormément, énormément de projets. Beaucoup de choses sont en cours de développement, des choses assez sexy, assez intéressantes. Je ne vous dis pas de quoi il s'agit, mais on a clairement les mains dans le cambouis, jusqu'au coude. On est en train de vous préparer plein de choses assez chouettes, assez super pour toute l'année 2026. Alors, avant de démarrer vraiment la visio et les thèmes de formation qu'on va voir aujourd'hui, des petits rappels."
177.14000000000001,207.24,"Vous le savez, nous sommes le 8 janvier. Les grilles tarifaires, c'est maintenant qu'il faut demander à les modifier, pas après. Pourquoi ? Comme je vous l'ai mis dans Eglantine il y a quelques semaines, juste avant la fin de l'année, cette année nous avons volontairement modifié Eglantine pour empêcher d'ouvrir les grilles tarifaires en dehors de la période du 1er au 10 janvier."
207.24,242.82000000000002,"Ça veut dire que désormais, quand on va dans Eglantine pour ouvrir une grille, Eglantine ne le permet que si on est entre le 1er et le 10 janvier, ou lorsqu'il s'agit d'un agent dont le compte Eglantine a été créé depuis moins d'un mois. Donc lorsqu'on recrute un nouvel agent, il a un mois, lui, c'est une deuxième vérification opérée par Eglantine, pour créer sa grille tarifaire. Alors, pourquoi on a mis en place cette restriction dans Eglantine ?"
242.82000000000002,278.84000000000003,"C'est pour empêcher, comme ça arrive chaque année, d'avoir des agents qui nous demandent gentiment « S'il vous plaît, soyez gentil, j'en ai vraiment besoin, laissez-moi modifier ma grille tarifaire en dehors de la période prévue. » Parce que ça, ça pose un vrai problème. Déjà, c'est un problème organisationnel, tout simplement. Ça met un petit peu le bazar dans les grilles tarifaires, mais au-delà du problème organisationnel, il y a un problème juridique important, qui est un problème de conformité avec le droit de la concurrence. Parce que si nous définissons un mécanisme dans lequel les grilles tarifaires sont modifiables à une certaine date dans l'année,"
280.6,312.68,"pas ailleurs, en gros, pour empêcher les agents de modifier leurs grilles tarifaires au fil de leur rentrée de mandat et donc de faire des tarifications à la tête du client. parce qu'on a des demandes d'agents qui nous disent voilà, je n'ai pas optimisé ma grille, il faudrait que je puisse l'améliorer qui sont des demandes de toute bonne foi mais on a également des demandes d'agents régulièrement et ils nous le disent d'ailleurs assez clairement là je vais avoir une rentrée de mandat un peu compliquée je veux adapter ma grille juste pour ce mandat-là là vous comprenez bien qu'on est en train là typiquement"
312.68,346.88000000000005,"de commettre une infraction au droit de la concurrence donc pour empêcher ça pour empêcher de nous mettre dans une situation de risque juridique vis-à-vis de la DGCCRF et vis-à-vis d'un litige avec un client, tout simplement, nous avons bloqué la possibilité d'ouvrir les grilles en dehors de cette période du 1er au 10 janvier chaque année, 2026, 2027, 2028, 2029, et ainsi de suite. Sauf, il y a une exception qui a été prévue techniquement dans l'Ulantine, lorsqu'il s'agit d'un nouvel agent dont on vient de créer"
