start,end,text
0.0,30.42,"Bonjour à tous et bienvenue à cette visioconférence, un beau démarrage bien propre, vous saurez à l'avenir pourquoi je fais ça d'ailleurs maintenant, je le fais toujours. Donc on va parler de pas mal de choses aujourd'hui, des choses très importantes qui sont toutes liées à nos nouvelles obligations documentaires, track fin principalement alors bien entendu j'ai les yeux sur le chat je le surveille donc vous n'hésitez pas d'intervenir donner des"
30.42,61.92,"faire des remarques, poser des questions tout ça c'est important c'est la deuxième visio track fin de l'année il y en aura d'autres, on va y aller par étape on va y aller par étape et celle-là a été un petit peu précipitée grâce ou à cause de Pierre Pierre est avec nous aujourd'hui ? Pierre est pas là ? Si Pierre n'est pas là non plus, alors là, c'est la fin des haricots, les amis. Je parle de Pierre de Valenciennes. Bon, parce qu'on a un peu précipité le thème de la vision de ce soir. Je ne vais pas dire à cause, mais grâce à Pierre."
62.16,93.54,"Grâce à Pierre, vous allez comprendre pourquoi. Alors, je reprends mon petit fichier de notes pour ne pas oublier les choses dont on doit parler ce soir. Alison n'est pas là non plus. Mathieu, est-ce que vous pourriez voir pourquoi Alison n'est pas là et si elle peut se connecter ? C'est important. C'est dingue tous ces gens qui ne viennent pas en visio quand c'est aussi important. Vraiment, il faut venir au visio. Véro, vous êtes connecté trois fois. Je ne sais pas, ça ne va pas faire du..."
93.54,124.46000000000001,"Comment dire ? L'arsène chez vous. Mais vous êtes connecté trois fois, Véronique. Alors, on va parler de pas mal de choses ce soir. On va parler avant tout on va revenir sur les documents que nous vous demandons les documents que nous vous demandons parce que excusez-moi je bois un petit peu il fait très très chaud dans mon bureau j'ai pas de sonde de température"
124.46000000000001,156.8,de thermomètre mais sous les toits à Paris vous savez combien il peut faire chaud enfin vous l'imaginez si vous ne savez pas mais il fait chaud nous allons d'abord parler des documents parce que nos nouvelles obligations traque fin nous impose entre autres choses mais pas seulement une collecte de documents plus fourni plus importante que d'habitude on a avec le temps demandé de plus en plus
156.8,187.66,"de documents à à la prise du mandat au tout début ceux d'entre vous qui ont rejoint la à Lucarne, il y a 15 ans, il y a 20 ans. À l'époque, on ne demandait aucun document justificatif à la prise du mandat. Aucun. Et puis, petit à petit, on a commencé à vous en demander. On a toujours fait très attention à ne vous demander ces documents que lorsque c'était absolument impératif."
188.76000000000002,219.62,"Imposé par les autorités. Et ça, vous m'avez mille fois entendu vous l'expliquer. En matière de contraintes, documentaires ou autres en fait, nous essayons toujours de vous alléger au maximum et de ne vous imposer que ce que nous n'avons pas le choix de vous imposer ou non. Concrètement, et je prends toujours cet exemple parce qu'il est très révélateur,"
220.64000000000001,252.16000000000003,"c'est une très bonne illustration, le DPE, le Diagnostic de Performance Énergétique. le DPE il a été mis en oeuvre, je ne sais plus, je crois que c'était en 2009 un truc comme ça, il y a très longtemps le DPE il a été mis en oeuvre, vérifiez sur internet c'est peut-être pas 2009 mais il me semble que c'était 2009 bon en tout cas, le DPE a été mis en oeuvre il y a très longtemps mais nous ne vous avons jamais imposé, enfin pas jamais ça finit par arriver donc c'est idiot ce que je dis, nous ne vous avons pas imposé de fournir le DPE tant que la DGCCRF l'organisme chargé de nous contrôler"
252.16000000000003,282.98,"ne nous l'a pas elles-mêmes imposées. De nombreuses agences immobilières, de nombreux réseaux d'agents mandataires en immobilier, imposaient la collecte du DPE et la conservation du DPE à chaque mandat, bien avant nous. Ce sont les professionnels qui, eux-mêmes, se l'étaient fait imposer par la DGCCRF. Ils avaient eu un contrôle au cours duquel la DGCCRF a dit, à partir de maintenant,"
284.1,314.88,"vous devez collecter le DPE pour chaque mandat, sans exception. Et quand un contrôle se déroule, de la DGCCRF par exemple, toutes les recommandations qu'il vous donne, ensuite il vous les envoie par courrier recommandé. Toujours. C'est ce qu'on appelle des injonctions. Le contrôle de telle date s'est déroulé de telle manière, telle manière. On vous a interrogé sur telle chose, telle chose. Vous nous avez donné telle réponse, telle réponse. nous avons constaté qu'il vous manquait tel document, tel document."
315.02000000000004,346.70000000000005,"À partir de maintenant, vous avez intérêt à les avoir parce que si vous ne les avez pas la prochaine fois, ça va franchement chauffer pour vous. Un jour, on a eu un contrôle de la DGCCRF au cours duquel la DGCCRF nous a dit sur les DPE, maintenant, maintenant, on vous le dit clairement, par écrit, par recommandé, c'est ce qu'on appelle une injonction. Maintenant, les DPE, c'est 100% des mandats et c'est tout. D'accord. Là, vous avez intérêt à obéir. Là vous vous dites j'ai plus le choix Je peux plus jouer au malin Je peux plus tirer sur la corde"
346.70000000000005,379.88,"Et ce jour là je sais plus quand c'était Est-ce que c'était en 2016, 2017, 2018 Je sais pas mais c'était il y a plusieurs années Ce jour là on a dit à tout le monde A tous les agents maintenant DPE c'est pour tout le monde Il y a eu ça après pour la Taxe foncière Un jour on vous a dit maintenant la taxe foncière C'est pour tout le monde Pas le choix Et ainsi de suite et ainsi de suite bien aujourd'hui les obligations traque fin traque fin"
379.88,411.91999999999996,c'est la législation contre enfin qui tend à lutter contre le financement du terrorisme le blanchiment de l'argent sale le financement des activités criminelles etc etc c'est ce qu'on appelle le dispositif LCBFT qu'on appelle tous communément traque fin lcb ça veut dire lutte contre le blanchiment et ft ça veut dire je sais plus bon c'est pas très très grave ça me reviendra on appelle ça traque fin c'est une cellule de bercy
411.91999999999996,443.86,merci c'est le ministère des finances chargé de traquer lutter contre l'argent sale l'argent caché l'argent illégal l'argent clandestin qui servira à financer des choses des choses vilaines toutes les professions financières l'immobilier c'est une profession financière toutes les professions financières l'on dirait pas l'autre jour mais c'est une profession juridique oui c'est une profession juridique et c'est une profession financière toutes les professions financières sont soumises à des obligations de
443.86,482.21999999999997,"traçabilité de recherche de documentation etc pour traque fin c'est le cas des agents immobiliers depuis 2016 mais comme pour Pour le reste, tant qu'il y avait ces obligations, mais qu'on ne nous avait pas formellement dit « maintenant, c'est comme ça », on vous a laissé tranquille. Alors, on a fait plein de visio sur TRACFIN, on a fait plein de formations sur TRACFIN, vous êtes formés à TRACFIN tous les ans. On a fait plein de visio, on a fait plein de formations, plein d'explications, des formations lors des séminaires où on était les uns en face des autres, des formations en visio, on en a reparlé un million de fois."
482.76,513.0,"Donc, on n'est pas resté les mains dans les poches, mais sur l'obligation documentaire, sur un certain nombre d'obligations que nous allons voir aujourd'hui, on vous a laissé tranquille tant que nous, on nous laissait tranquille. En 2026, on ne nous laisse plus tranquille. On a été contacté par Bercy en mars-avril Suite au nouveau décret paru en février, fin février 2026 Et on nous a dit, Bercy, c'est pas la DGCRF, c'est directement Bercy Qui nous a dit, bon maintenant, il faut vous adapter, il faut vous mettre au carré"
513.0,545.4799999999999,"Et c'est la raison pour laquelle j'ai fait une visio Au cours de laquelle, je vous ai dit, vous avez l'enregistrement de cette visio d'ailleurs dans la base documentaire Base documentaire que je vais vous remontrer une fois de plus parce qu'il est très important que vous puissiez la connaître, notamment les plus récents, les plus récemment arrivés parmi vous. Je pense à Soazic, je pense à Claire, je pense à Jocelyn, je pense à tous ces gens qui nous ont rejoints plus récemment."
546.16,580.14,"Tiens, d'ailleurs, en parlant de ça, Alison vient d'arriver à la visio et je vous souhaite la bienvenue, ma chère Alison. C'est important que vous soyez là parce qu'il y a une question à laquelle je vais répondre qui est une de vos questions. spécifiquement à Alison dans quelques instants. C'est pour ça que j'attendais que vous soyez là, c'était important. Il manque Jean-Marc également, je voudrais répondre à une de ses questions à lui. Mais Jean-Marc n'est toujours pas là et c'est casse-pieds. Donc la base documentaire, vous la trouvez ici dans votre réglantine. Vous cliquez sur « Base de connaissances » qui se trouve ici à gauche."
581.0799999999999,613.02,"« Base de connaissances », ça vous permet de poser des questions directement. quel document avec un s pour traque fin et la base de connaissances va directement chercher dans les différentes bases documentaires aujourd'hui principalement vidéo mais pas seulement et voyez ici hop on parle de traque fin et ça vous mène directement à l'endroit précis tous ceux qui me parlent de ça et j'en ai 33 sinon vous cliquez ici dans toutes les"
613.02,647.2199999999999,vidéos et ça va vous chercher toutes les vidéos de la base documentaire ça va vous les afficher là dans un instant et voici toutes les vidéos sont là et vous avez traque fin 2026 les documents obligatoires cette vision est à votre disposition aujourd'hui donc on a une collecte de documents qui est obligatoire pour traque fin on vous a fichu la paix tant que on nous a fichu la paix et aujourd'hui pas le choix c'est la loi on doit se mettre en conformité sur ce point là donc vous
647.2199999999999,682.3199999999999,savez qu'aujourd'hui on a un certain nombre de documents à collecter ces documents à collecter vous en trouvez la liste ici dans documents et vous avez ici documents à collecter lors d'une prise de mandat alors vous allez me dire mais nicolas vous nous l'avez déjà montré 5000 fois tout ça oui je voulais déjà montré 5000 fois mais nous avons tous les jours à l'animation des gens qui disent on me l'a pas dit je suis pas au courant c'est pas clair le message pas bien vous savez pas communiquer vous êtes des minables tous les jours aujourd'hui encore donc je vous le
682.3199999999999,713.04,"redis vous avez la liste ici des documents qui sont obligatoires cette liste évoluera avec le temps là encore je voulais dit donc voilà ici c'est pas une personne morale donc je peux déplier en cliquant ici je suis pas intéressé c'est pas une copropriété je suis pas intéressé à attention j'ai une tutelle, mais pas de curatel, je peux déployer la tutelle. On a essayé de faire quelque chose d'aussi clair, didactique que possible. C'est une personne morale. Ah, attention, clic, je vais regarder ce dont j'ai besoin pour une personne morale. D'accord ?"
713.7,743.8599999999999,"On va rajouter une chose ici parce que Maryse, je crois que c'est Maryse, l'a suggéré il y a deux semaines à la dernière visio, de rajouter ici, à côté, par exemple, titre ou attestation de propriété, avis de taxe foncière, quels sont les documents qui sont impératifs pour la prise du mandat et quels sont les documents qui sont impératifs pour la commercialisation. Parce que, comme je vous l'ai expliqué à ce moment-là, quand Maryse a dit « rajoutez-le ici, ce serait bien, ce serait plus clair pour nous », excellente idée Maryse,"
747.1999999999999,781.6999999999999,"tous ces documents n'ont pas le même caractère vital. Je vais tout replier pour que vous puissiez voir plus clair. Tous ces documents n'ont pas le même caractère vital. Le cas général qui est ici, qui correspond à 100% des mandats. Je zoome un petit peu et vous voyez mieux. Concrètement, je vais être simple avec vous, le justificatif de domicile n'a pas le même degré d'urgence"
781.6999999999999,811.94,que le titre ou l'attestation de propriété. complet par ça il ya toujours écrit ici complet pourquoi parce que le titre ou l'attestation de propriété en fait pour traque fin il implique l'enchaînement de tout le reste du dossier parce que c'est dans le titre et l'attestation de propriété que nous avons la preuve et je vais vous sortir tout de suite une attestation propriété pour que
811.94,845.12,vous puissiez le voir hop là hop hop je vais vous sortir tout de suite un titre ou une attestation de propriété l'attestation vous le savez est généralement beaucoup plus facile à obtenir que le titre généralement alors ça c'est le titre me tromper je vous ai pris un titre toutes mes
845.12,875.16,"excuses je vais vous chercher une attestation ça c'est un titre d'alison justement qui dont je parlais il ya un instant voilà ça c'est une attestation de propriété je prends l'attestation parce qu'elle est généralement plus facile à obtenir pour vous mais bon sinon le titre comme comme nous l'a envoyé ici à l'ISON, c'est parfait. C'est mieux même. Mais bon, à défaut du titre, l'attestation, on s'en contente parfaitement. À condition qu'elle soit, un, complète, vous le voyez, deux, signée du notaire."
875.76,909.84,"Aujourd'hui, il y a de moins en moins le tampon du notaire du fait de la signature électronique. Trois, parfaitement scannée au format PDF, on y revient dans un instant. cette attestation de propriété nous permet de faire le lien entre des propriétaires alors ici ce sont les acquéreurs puisque cette attestation de propriété elle correspond au moment où monsieur stanislas cybrile a acheté ce bien auprès de monsieur william qui rouille donc ce monsieur william qui rouille lui on le connaît pas nous on connaît celui qui a acheté à l'époque et qui revend aujourd'hui monsieur stanislas cybrile donc c'est ce qui"
909.84,941.0400000000001,"qui nous permet de faire le lien entre M. Stanislas Sibryl et l'appartement du 14 rue Bial de Belrade à Libourne, avec les références cadastrales suivantes. C'est là que nous pouvons voir s'il y a bien un lien entre M. Stanislas Sibryl et ce bien-là, et c'est là que nous pouvons voir si c'est bien M. Stanislas Sibril et uniquement"
941.0400000000001,973.0,"M. Stanislas Sibril que nous devons avoir en face de nous et à qui nous devons faire signer le mandat. Parce que là, si dans cette attestation de propriété je n'ai que M. Stanislas Sibril, je ne dois avoir en face de moi que M. Stanislas Sibril. Sauf si cette attestation de propriété est un faux qui a été produit par je ne sais qui et qui nous a été fabriqué parce que juridiquement produit ça veut dire justement qui nous a été donné, qui a été fabriqué par quelqu'un et qui nous a été produit, qui nous a été donné, auquel cas, bon, là, quelqu'un est en train de nous mentir, on n'est pas Superman, ni l'inspecteur Gadget,"
973.36,1003.52,"mais si je prends une attestation de propriété différente, voici une attestation de Laurent, et moi, je vois ici que j'ai deux acquéreurs potentiels, Nathalie Berkaloff et Stéphane Cromary. Mais non, Nathalie Berkaloff n'est que l'épouse de M. Cromary. ça n'est pas un deuxième vendeur par contre je me pose la question est-ce que ce monsieur ne doit pas signer le mandat en tant que résident voyez pourquoi cette attestation de propriété"
1003.52,1033.56,"elle est absolument vitale dès la signature du mandat voici une autre attestation de Véro là par contre j'ai plusieurs vendeurs parce que j'ai monsieur Dimitri Renaud et madame Margot Gibert je dois bien avoir deux vendeurs reliés à ce bien qui se trouve à Bonne-Encontre, en Côte d'Or, deux chemins de Molant, je fais le lien entre eux, tous les deux, et ce bien."
1035.16,1067.72,"Raison pourquoi l'attestation de propriété c'est impératif pour l'envoi du mandat. On ne peut plus aujourd'hui envoyer un mandat si on ne l'a pas. Certains d'entre vous nous disent Est-ce que je ne peux pas vous l'envoyer dans 2-3 jours ? Pas l'attestation de propriété Ça, ce n'est pas possible La taxe foncière, normalement, non plus Parce que la taxe foncière, elle apparaît aussi sur le mandat"
1067.72,1106.7,"Si on n'a pas la taxe foncière Je vais vous en donner un autre exemple ici Voici Géraldine, une taxe foncière Si je n'ai pas l'avis Excusez-moi, je fais n'importe quoi De taxe foncière 1130 je ne peux pas vérifier cette information qui apparaît dans le mandat donc la taxe foncière c'est aussi pour l'envoi du mandat par contre le justificatif de domicile de chaque vendeur en voici un exemple veolia monsieur le rouge de rue junan jean paul et bien ce justificatif"
1106.7,1137.74,de domicile si je ne l'est pas à la prise du mandat c'est moins grave pourquoi parce que le titre ou l'attestation propriété m'a permis de vérifier que je devais avoir par exemple trois vendeurs que c'était une société ou un particulier ou les deux ou trois sociétés où je sais pas qui le justificatif de chaque vendeur je n'en ai pas besoin impérativement pour la prise du mandat j'en ai besoin pour la commercialisation c'est la raison pour
1137.74,1174.44,laquelle on a mis en place une nouvelle procédure dont je vous ai parlé il ya deux semaines en vidéo au cours de laquelle je vous ai expliqué sa nouvelle procédure qui vous permet de demander d'envoyer un mandat même s'il manque par exemple un justificatif de domicile on n'a pas justificatif de domicile c'est pas grave qu'est ce qu'on fait et bien votre mandat je vais vous montrer alors là je vais en nicolas pas en pierre péliard ce mandat par exemple patrick en bretagne
1174.44,1207.88,alors d'après ce que j'ai compris même les bretons ils crèvent de chaud aujourd'hui normalement il fait toujours bon en or sur les côtes en normandie en bretagne on peut se réfugier là bas mais apparemment même en bretagne aujourd'hui c'est une c'est une fournaise est ce que vous me confirmez ça patrick donc patrick ici hop il a un mandat temporaire voici j'ai le vendeur si je vérifie sur l'attestation de propriété qu'on l'a pas encore patrick n'a pas encore demandé de l'envoi
1207.88,1242.42,j'ai mon attestation de propriété je peux vérifier qui a pierre alexandre coic par contre on n'a pas encore sa facture edf ou je ne sais quoi pour le justificatif de propriété bah c'est pas grave nous ce mandat on empêche toute commercialisation le plaçant en perdu hop enregistré je vais le remettre après rassurez vous je le mets en perdu ça veut dire que on peut faire le mandat quand patrick aura récupéré les attestations de propriété de domicile excusez moi les justificatifs de
1242.42,1275.54,"domicile il nous les enverra on vérifiera j'en ai bien une pour pierre-alexandre coilly qu'est ce que j'ai la deuxième la troisième s'il ya d'autres vendeurs et à ce moment là on remettra le bien en attente ça veut dire que le justificatif genre je leur mets bien pouf c'est bon pour vous patrick ce justificatif de domicile si je ne l'est pas à la prise du mandat c'est pas grave par contre je bloque toute commercialisation possible. Tant que Patrick ne nous envoie pas les documents manquants,"
1275.92,1306.76,"par exemple la pièce d'identité éventuellement d'un vendeur qui manquerait, on n'envoie pas. Le DPE, il nous le faut pour l'envoi. Donc vous le comprenez, ces différents documents, on peut les avoir un petit peu plus tard ou surtout pas. Par exemple, taxe foncière, DPE, attestation de propriété, c'est tout de suite. On n'envoie pas le mandat si on ne l'a pas."
1308.02,1338.48,"Et ça, c'est pareil pour tout le monde. Parce qu'aujourd'hui, un agent nous dit, ah non, c'est pas cool. Pour les copains, vous acceptez d'envoyer s'il n'y a pas l'attestation de propriété. Juste pour moi, vous ne voulez pas. La preuve, mon copain X, lui, j'en ai discuté avec lui. vous avez accepté, non pas si le titre ou l'attestation manque absolument pas, il n'y a aucun copain à qui on a accepté ça, c'est pas vrai il y a des copains à qui on a accepté"
1338.48,1374.28,"un autre document moins important ça c'est oui un justificatif de domicile, un diagnostic je ne sais pas quoi, regardez imaginons pour la SCI, la SAS le CABIS il nous le faut tout de suite Par contre, la pièce d'identité des représentants C'est pas très grave si on l'a pas tout de suite Les statuts à jour, c'est pas très grave si on les a pas tout de suite L'Assemblée Générale par contre, c'est tout de suite si tout le monde ne signe pas C'est maintenant et c'est pas demain Donc non, je ne veux pas que certains d'entre vous se disent"
1374.28,1407.48,"C'est juste moi qu'on vient emmerder On est gentil avec les copains, avec moi on est méchant Non, on est aussi méchant et aussi gentil avec tout le monde. Je n'ai pas une seconde de mon temps à perdre à aller embêter un agent spécifiquement. Là, je suis en train un peu de m'énerver. Pourquoi ? Parce que j'ai dû m'énerver là-dessus aujourd'hui sur ce dossier. Donc, je le redis, vous êtes tous et toutes,"
1407.48,1465.6599999999999,"mais même une petite pointe de wokisme pour assouplir loger à la même enseigne toutes les règles dont je vais vous parler ce soir parce qu'on va continuer là, ce sont des règles qui sont imposées à chacun d'entre vous il n'y en a pas un à qui on dit oh toi t'es bon copain ça va être d'accord un autre à qui on dit ah non toi t'as pas une bonne tête on te l'acceptera pas on exige l'attestation de propriété dès le mandat Non, on ne fait pas ça, je ne fais pas ça, et j'imagine bien que vous avez main et main grief à mon encontre, mais allez-vous imaginer que je sois suffisamment stupide pour perdre du temps à dire, tiens, lui, on va l'embêter, parce qu'on trouve ça drôle, on va l'empêcher de rentrer des mandats, on va l'empêcher de faire des ventes, parce que nous, en fait, on n'a pas besoin de mandat, on n'a pas besoin de vente."
1465.66,1502.8400000000001,"J'ai fait toute une réunion hier dans le Nord, dans le Pas-de-Calais, au cours de laquelle j'ai passé plusieurs heures dans une chaleur écrasante à expliquer aux agents « Il faut plus de mandats, on n'a pas assez de mandats, plus de mandats les amis, c'est vital d'avoir des mandats, vite vite vite s'il vous plaît des mandats ! » Demandez aux amis du Pas-de-Calais si c'est bien ce que je leur ai dit hier, ou si je suis un vilain menteur. Donc c'est pas pour dire à un autre agent « Ah non, toi on va t'empêcher de rentrer des mandats parce qu'en fait les mandats on n'en a pas besoin. » de même que pour faire avancer une voiture vous avez absolument besoin d'essence sinon"
1502.8400000000001,1542.62,elle avance pas la lucarne si elle n'a pas de mandat pas de vente elle meurt donc s'il vous plaît enlevez vous de la tête l'idée selon laquelle certains d'entre vous se verrait exiger des documents qui ne seraient pas exigés des autres c'est une erreur je suis un peu vive sur ce point 1 bien sûr mais ça fait 24 heures que là dessus on a des échanges et des bagarres sur ce point là ensuite quand on passe à l'envoi du
1542.62,1575.78,mandat que le mandat redevient signé et je vais vous montrer l'exemple là encore pour ceux d'entre vous qui débute voici un mandat signé à lisson une fois que ce mandat est signé nous pouvons l'archivé et vous laisser continuer le travail de fabrication de la maquette mettre les photos tout faire on le numéro tout est prêt il ne nous restera plus qu'une chose à faire quand on
1575.78,1607.4199999999998,"recevra le justificatif de domicile passer le mandat en cours et c'est tout et ça c'est la même chose pour chacun d'entre vous sans la moindre exception et chacun d'entre vous s'il vous manque un justificatif de domicile on vous dira ok on préférerait la voir tout de suite ce Ce serait mieux d'avoir un dossier complet dès maintenant. Mais si vous avez une difficulté pour obtenir ça, OK, on vous l'accorde. Il n'y en a pas un à qui on dira « Non, ça, on ne vous l'accorde pas, c'est pour les autres. »"
1607.4199999999998,1640.8,"Ce n'est pas pour vous. Vraiment, c'est important, ça. C'est super important. Ensuite, ces documents que nous vous demandons. Et là encore, vous allez dire « Mais Nicolas, vous nous avez montré ça mille fois. » 1000 fois, vous nous avez montré ça, ça suffit ! Vous radotez ! Il faut que ça rentre, il faut que ça passe. Quel est le type de document que nous vous demandons ? Comment ces documents doivent-ils être présentés, formatés, produits ?"
