fichier,start,end,text,url
Avenant Modificatif de Prix Electronique,0.0,34.54,"Comment établir et envoyer un avenant modificatif de prix par voie électronique ? C'est extrêmement simple. Vous allez voir que la procédure est incroyablement simplifiée par rapport aux avenants que nous effectuons aujourd'hui manuellement. Alors, cet avenant électronique, il va vous apporter énormément de bénéfices. trois principaux. Premièrement, la simplicité. Deuxièmement, la rapidité. Troisièmement, la fiabilité. Premièrement, la simplicité. Comme vous allez voir, en quelques clics de",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,34.54,68.08,"souris, votre avenant sera généré, envoyé, signé, validé. Très grande simplicité. Deuxièmement, rapidité. Cela vous permettra d'effectuer une baisse de prix en quelques minutes. Troisièmement, fiabilité, cela vous permettra de faire vos avenants sans aucune erreur invalidante. Fini les ratures, fini les avenants qui n'arrivent jamais sous leur forme originale, le client ne vous le renvoie pas, il vous envoie un scan, il",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,68.08,98.62,"vous envoie un autre document que vous devez ensuite nous transférer par la poste sous sa forme originale, tout ça c'est fini. Vous allez voir qu'en quelques minutes, vous pouvez valider votre baisse de prix, soit en étant chez le client face à lui, soit en étant chez vous avec un client qui se trouve distant, de loin, même à des milliers de kilomètres, et qui pourra valider votre baisse de prix en quelques minutes. C'est vraiment que les avantages, et surtout c'est très très très facile. Comment je fais ? C'est très simple.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,99.38,132.48,"Je vais en page 2, clique, et je clique sur « Modif de prix ». Ça, vous connaissez, c'est comme ça que ça se passe aujourd'hui. Ça ne change pas. Ce qui va changer par contre, c'est que quand j'aurai validé ma modification de prix, ce que nous allons faire tout seul, tout sera quasiment terminé. Regardez, je baisse mon prix par exemple de 350 000 net vendeurs, imaginons que je baisse à 330 000 net vendeurs. Comme d'habitude, Eglantine va chercher ma tarification personnelle dans ma grille personnelle et ensuite calcule le FAI.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,132.48,167.36,"Donc, vous voyez, mes 330 000 euros net vendeur plus les 8 000 euros de ma grille personnelle donnent 338 000 euros FAI. Ça, c'est très simple. Ce n'est pas compliqué. Je valide. Jusqu'à présent, tout s'est passé de la même manière. C'est maintenant que ça change. Alors, quand je dis maintenant, c'est à partir du 1er novembre 2025. 1er novembre 2025, ce système sera mis en place chez tous les conseillers dans toutes les églantines. La raison pour laquelle nous vous mettons cette petite vidéo maintenant, c'est pour que vous puissiez regarder comment ça fonctionne et vous y habituer et surtout ne pas être surpris au 1er novembre 2025.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,167.62,205.02,"Mais vous y aurez tous droit, jusqu'à présent c'est un système qui n'était utilisé que par les agents testeurs, vous y aurez tous droit à partir du 1er novembre 2025 sans exception. Alors, qu'est-ce qui change à partir de maintenant ? Vous avez un petit message de confirmation ici que je vais vous montrer en plus gros, là je zoome, qui vous dit trois choses. Premièrement, l'avenant a bien été fabriqué, généré et envoyé pour signature électronique au client et à vous-même. Deuxièmement, une fois que tout le monde l'aura signé, y compris vous, tout sera validé tout seul, tout sera mis dans Eglantine, vous n'aurez rien à faire.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,205.58,240.64,"Troisièmement, vous pouvez suivre la progression de tout ce processus de signature directement depuis votre Eglantine sans avoir besoin de demander à l'animation Est-ce que quelqu'un a signé ? Est-ce que personne n'a signé ? Surtout lorsque vous avez plusieurs signataires. Alors, comment cela fonctionne-t-il ? C'est extrêmement simple. Maintenant que mon envoi a été fait, parce que là, j'ai cliqué, ça y est, c'est fait, c'est envoyé. Pas besoin d'imprimer, pas besoin d'aller chez le client lui faire signer. Non, ça lui a directement été envoyé. Alors, je peux faire ça de chez moi, je peux faire ça de chez le client sur mon téléphone, sur ma tablette.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,240.64,274.7,"Bien entendu, et là, le client va le faire sous mes yeux. Ensuite, une fois que j'ai fait ça, imaginons que je sois le client. Je suis M. Philippe Dumas. Là, on n'a mis qu'un seul client pour plus de commodité, mais on peut faire ça jusqu'à 8 clients. Je vais vous montrer ça dans un instant. Je suis le client, donc je vais sur ma boîte mail, ma boîte mail philippe.dumas. La voici, cette boîte mail, puisqu'il s'agit bien entendu d'un mandat et d'un client de test, c'est évident. Donc, voici la boîte mail et voyez que ce monsieur a reçu automatiquement un petit message.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,274.82,304.96000000000004,"Merci de signer ce document. Ce petit message, soit il le reçoit directement dans sa boîte de réception, comme ici, soit, et ça arrive également souvent, il arrive dans les spams. Donc, dites bien à votre client d'aller vérifier dans les spams. Alors, ça s'appelle soit spam, soit courrier indésirable. Donc, qu'il aille regarder dans les spams, soit, et ça c'est très courant, en particulier chez Gmail, et on a beaucoup de clients qui utilisent Gmail, c'est un des prestataires d'emails les plus répandus, les plus connus dans le monde,",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,305.54,336.42,"ça peut se trouver dans le dossier qui est ici, qui s'appelle « Tous les messages ». Et les emails de signature électronique arrivent très souvent dans « Tous les messages ». Alors si le client ne le trouve pas, pas du tout, il ne sait pas où il est, il cherche, et bien ce n'est pas compliqué, il suffit de cliquer dans « Tous les messages » ou dans « Spam » et le client le trouvera immédiatement. Alors moi, je l'ai ici dans ma boîte de réception. Je suis le client, je clique dessus. J'agrandis un petit peu ici, vous allez voir.",https://www.youtube.com/watch?v=yx8IPqHpPGI
