index,start,end,text,speaker
1,4614.6,4623.16,"on n'a pas reçu l'argent du notaire ici, là Julien la vente 81 846 on n'a pas reçu",Inconnu
2,4623.16,4626.56,l'argent du notaire donc vous voyez déjà là il y a cette vente qui est pour vous normalement,Inconnu
3,4626.56,4633.44,"Julien et il n'y en a pas d'autre à vous, entre-temps je vous fais tellement de virements toute la",Inconnu
4,4633.44,4641.84,"journée, je vous en ai fait combien la nuit dernière Julien, oui je vous ai fait 3 ou 4 virements",Inconnu
5,4641.84,4648.12,"Julien la nuit dernière, regardez si je fais Bayeul, Julien il est riche à millions c'est lui",Inconnu
6,4648.12,4655.32,"qu'il faut l'épouser, regardez hop là encore, Julien il est partout donc félicitations à",Inconnu
7,4655.32,4661.52,Mickael c'est une très très belle vente bravo à lui c'est quelque chose qu'il faut souligner,Inconnu
8,4661.52,4665.0,parce que quand on se donne du mal et qu'on est performant il faut savoir le reconnaître,Inconnu
9,4665.0,4675.32,"bravo à lui, non il n'y en a qu'un en janvier, Julien il est trop riche on lui donne trop d'argent",Inconnu
10,4675.32,4685.32,"beaucoup trop d'argent, oh hugue aussi regardez ça, il va racheter la lucarne bientôt, ça n'arrête",Inconnu
11,4685.32,4691.32,jamais donc vous voyez tout ce qui est en bleu c'est payé et à chaque fois que c'est en blanc c'est,Inconnu
12,4691.32,4694.08,parce qu'il vous manque un élément là il nous manque l'encaissement c'est à dire qu'on a,Inconnu
13,4694.08,4700.56,pas reçu de l'argent vulnéraire et la facture de margerie ici on a reçu l'argent mais on n'a pas,Inconnu
14,4700.56,4706.04,l'attestation de vente par exemple et on n'a pas la facture de l'argent ici pour Julien on n'a,Inconnu
15,4706.04,4711.64,pas reçu l'argent vulnéraire voyez dès qu'un dossier est complet on le passe sans paiement plus,Inconnu
16,4711.64,4716.0,les droits d'auteur de Zannini pour une je ne vous raconte pas le fric qui là c'est clair c'est,Inconnu
17,4716.0,4725.28,clair ok qu'est ce qu'on a d'autre comme question à voir là on a répondu à pas mal de trucs là,Inconnu
18,4725.28,4736.48,dessus oui rcp aigri on arrive au moment où vous devez nous envoyer vos rcp c'est à dire vos,Inconnu
19,4736.48,4745.0,attestations d'assurance pour l'année 2024 vous savez chaque année assez fait bravo Sandrine vous,Inconnu
20,4745.0,4750.08,devez nous envoyer votre rcp donc on va vous envoyer un email à tous là bientôt pour dire les,Inconnu
21,4750.08,4754.64,rcp 2004 merci les envoyer d'arbres on va vous envoyer deux emails un email en décembre et un,Inconnu
22,4754.64,4760.68,email début janvier comme on fait chaque année et on doit avoir vos rcp pour le 10 janvier comme,Inconnu
23,4760.68,4767.04,tous les ans si c'est pas fait faite le si c'est fait déjà chapeau merci également les grilles,Inconnu
24,4767.04,4772.48,vous savez que vous pouvez modifier vos grilles d'honoraires pour les ans début janvier alors,Inconnu
25,4772.52,4779.64,ceux d'entre vous qui sont dans le programme de monter en gamme vous pourrez modifier vos grilles,Inconnu
26,4779.64,4785.2,même en dehors de ce délai parce qu'on revoit dans le programme de monter en gamme les grilles,Inconnu
27,4785.2,4792.08,dans le détail donc vous pourrez les modifier sans avoir ces contraintes de délai ceux d'entre,Inconnu
28,4792.08,4796.16,vous qui ne sont pas dans le programme de monter en gamme déjà pourquoi vous n'y êtes pas vous,Inconnu
29,4796.16,4800.84,gagnerez plus d'argent si vous faites et vous pourrez vous pouvez pas donc si vous n'êtes pas,Inconnu
30,4800.84,4807.44,dans ce programme à ce sujet très rapidement dans ce programme j'ai mis à jour le fichier des grilles,Inconnu
31,4807.44,4812.48,concurrentes d'ailleurs il s'appelle 13 novembre il faut que je change son nom je vais changer son,Inconnu
32,4812.48,4825.12,nom tout de suite ça doit s'appeler 21 décembre donc attendez faut que je déplace ça hop hop ceux,Inconnu
33,4825.12,4831.2,d'entre vous qui sont intéressés je l'appelle tout de suite 21 décembre,Inconnu
34,4831.2,4841.44,voilà le fichier des grilles concurrentes je vous le renvoie à tous si vous êtes,Inconnu
35,4841.44,4850.28,intéressé par le programme de monter en gamme le lien il est là et copier le lien dropbox je,Inconnu
36,4850.28,4858.8,vous l'envoie à tous envoyer à tous c'est le fichier la première base de travail d'étude,Inconnu
37,4858.8,4868.4,de votre concurrence dans votre secteur avec la liste de vos concurrents avec la moyenne des grilles,Inconnu
38,4868.4,4873.76,concurrentes on fait ça ensemble on fait ça ensemble les services apportés par vos concurrents et la,Inconnu
39,4873.76,4879.64,liste des biens spectaculaires donc gardez tous ce fichier côté si vous voulez adhérer à ce,Inconnu
40,4879.64,4883.48,programme d'ailleurs en parlant de julien il faudrait qu'on prévoit une petite rencontre,Inconnu
41,4883.48,4891.68,supplémentaire là pour pour avancer un petit peu là-dessus sandrine nous dit une question pour la,Inconnu
42,4891.68,4895.24,cotisation annuelle planète force on reçoit un rappel combien de temps avant l'anniversaire,Inconnu
43,4895.24,4900.68,vous n'en recevez pas vous n'en recevez pas c'est à vous de vous manifester parce que les agents,Inconnu
44,4900.68,4905.76,qui payent annuellement sont en minorité et on n'a pas mis en place un système de rappel donc,Inconnu
45,4905.76,4913.64,on n'en a pas on n'en a pas donc on n'en a pas du tout. Dernière chose et après mis à part les,Inconnu
46,4913.64,4919.42,questions je vous ficherai la paix et on va prendre la question de l'adjet juste après les,Inconnu
47,4919.42,4925.04,photopub portraits les photopub portraits on a vu se multiplier là ces derniers jours des,Inconnu
48,4925.04,4931.84,photopub en portrait dans eglantine et donc dans les sites de diffusion il faut pas pourquoi,Inconnu
49,4931.84,4938.8,je vais vous montrer qu'est ce que c'est une photo au format portrait voici un exemple c'est,Inconnu
50,4938.8,4944.48,pas le bon c'est pas le bon numéro Mathieu Ségouret il m'a donné un numéro de dominique,Inconnu
51,4944.48,4948.84,bender alors ça devait être un numéro de dominique cartel c'est pas grave donc ça c'est,Inconnu
52,4948.84,4955.86,une photo au format paysage c'est à dire le bon format format paysage regardez la différence,Inconnu
53,4955.86,4961.16,quand vous prenez une photo c'est est ce que vous mettez votre appareil photo à la verticale ou à,Inconnu
54,4961.16,4973.48,l'horizontale une photo au format portrait elle a cette forme là une photo au format paysage,Inconnu
55,4973.48,4982.0,elle a cette forme là les photos doivent être au format paysage le format portrait c'est bien,Inconnu
56,4982.0,4988.0,pour les réseaux sociaux c'est pas bien pour la diffusion des annonces sur internet donc ici,Inconnu
57,4988.0,4995.56,dominique bender à les bonnes photos au format paysage mais si je prends dominique cartel il,Inconnu
58,4995.56,5002.52,m'a donné un autre document Mathieu on voit que lui il a mis des mailles c'est encore dominique,Inconnu
59,5002.52,5009.04,donc en gros Mathieu m'a envoyé complètement les mauvais numéros Mathieu a envoyé les mauvais,Inconnu
60,5009.04,5017.6,numéros on va regarder Frédéric parce que j'ai un exemple de Frédéric on va voir ça et Frédéric,Inconnu
61,5017.6,5024.04,non c'est format paysage aussi eh ben dis donc Mathieu Mathieu a picolé qu'est ce qu'il me dit,Inconnu
62,5024.04,5033.44,ah ils ont corrigé depuis Mathieu accuse les négociateurs d'avoir corrigé depuis est ce,Inconnu
63,5033.44,5038.32,qu'on n'y croit est ce qu'on n'y croit pas donc en gros est ce que Mathieu nous dit la vérité ou,Inconnu
64,5038.32,5042.04,est ce que tout simplement les agents ont agi rapidement pour modifier dans ce cas là bravo,Inconnu
65,5042.04,5048.28,à eux parce qu'il faut modifier on va aller regarder chez Christian chez Christian bah c'est,Inconnu
66,5048.28,5056.28,corrigé aussi Mathieu ah non ça c'est dégueulasse non ça c'est pas le bon format ça c'est pas le,Inconnu
67,5056.28,5062.32,bon format donc on va aller sur alalucan.com voilà ça c'est pas le bon format donc Mathieu a raison,Inconnu
68,5062.32,5071.6,comme toujours me direz-vous comme toujours me direz-vous acheter et on va chercher la référence,Inconnu
69,5071.6,5081.88,quand vous prenez une photo au mauvais format c'est à dire au format vertical alors là il,Inconnu
70,5081.88,5085.8,y a un deuxième très gros problème et ça on va couper tout de suite ça on va couper tout de,Inconnu
71,5085.8,5090.72,suite tout de suite tout de suite ça on n'avait pas vu ça mais maintenant je viens de le voir j'ai,Inconnu
