start	end	text
0	8560	on n'a pas reçu l'argent du notaire ici, là Julien la vente 81 846 on n'a pas reçu
8560	11960	l'argent du notaire donc vous voyez déjà là il y a cette vente qui est pour vous normalement
11960	18840	Julien et il n'y en a pas d'autre à vous, entre-temps je vous fais tellement de virements toute la
18840	27240	journée, je vous en ai fait combien la nuit dernière Julien, oui je vous ai fait 3 ou 4 virements
27240	33520	Julien la nuit dernière, regardez si je fais Bayeul, Julien il est riche à millions c'est lui
33520	40720	qu'il faut l'épouser, regardez hop là encore, Julien il est partout donc félicitations à
40720	46920	Mickael c'est une très très belle vente bravo à lui c'est quelque chose qu'il faut souligner
46920	50400	parce que quand on se donne du mal et qu'on est performant il faut savoir le reconnaître
50400	60720	bravo à lui, non il n'y en a qu'un en janvier, Julien il est trop riche on lui donne trop d'argent
60720	70720	beaucoup trop d'argent, oh hugue aussi regardez ça, il va racheter la lucarne bientôt, ça n'arrête
70720	76720	jamais donc vous voyez tout ce qui est en bleu c'est payé et à chaque fois que c'est en blanc c'est
76720	79480	parce qu'il vous manque un élément là il nous manque l'encaissement c'est à dire qu'on a
79480	85960	pas reçu de l'argent vulnéraire et la facture de margerie ici on a reçu l'argent mais on n'a pas
85960	91440	l'attestation de vente par exemple et on n'a pas la facture de l'argent ici pour Julien on n'a
91440	97040	pas reçu l'argent vulnéraire voyez dès qu'un dossier est complet on le passe sans paiement plus
97040	101400	les droits d'auteur de Zannini pour une je ne vous raconte pas le fric qui là c'est clair c'est
101400	110680	clair ok qu'est ce qu'on a d'autre comme question à voir là on a répondu à pas mal de trucs là
110680	121880	dessus oui rcp aigri on arrive au moment où vous devez nous envoyer vos rcp c'est à dire vos
121880	130400	attestations d'assurance pour l'année 2024 vous savez chaque année assez fait bravo Sandrine vous
130400	135480	devez nous envoyer votre rcp donc on va vous envoyer un email à tous là bientôt pour dire les
135480	140040	rcp 2004 merci les envoyer d'arbres on va vous envoyer deux emails un email en décembre et un
140040	146080	email début janvier comme on fait chaque année et on doit avoir vos rcp pour le 10 janvier comme
146080	152440	tous les ans si c'est pas fait faite le si c'est fait déjà chapeau merci également les grilles
152440	157880	vous savez que vous pouvez modifier vos grilles d'honoraires pour les ans début janvier alors
157920	165040	ceux d'entre vous qui sont dans le programme de monter en gamme vous pourrez modifier vos grilles
165040	170600	même en dehors de ce délai parce qu'on revoit dans le programme de monter en gamme les grilles
170600	177480	dans le détail donc vous pourrez les modifier sans avoir ces contraintes de délai ceux d'entre
177480	181560	vous qui ne sont pas dans le programme de monter en gamme déjà pourquoi vous n'y êtes pas vous
181560	186240	gagnerez plus d'argent si vous faites et vous pourrez vous pouvez pas donc si vous n'êtes pas
186240	192840	dans ce programme à ce sujet très rapidement dans ce programme j'ai mis à jour le fichier des grilles
192840	197880	concurrentes d'ailleurs il s'appelle 13 novembre il faut que je change son nom je vais changer son
197880	210520	nom tout de suite ça doit s'appeler 21 décembre donc attendez faut que je déplace ça hop hop ceux
210520	216600	d'entre vous qui sont intéressés je l'appelle tout de suite 21 décembre
216600	226840	voilà le fichier des grilles concurrentes je vous le renvoie à tous si vous êtes
226840	235680	intéressé par le programme de monter en gamme le lien il est là et copier le lien dropbox je
235680	244200	vous l'envoie à tous envoyer à tous c'est le fichier la première base de travail d'étude
244200	253800	de votre concurrence dans votre secteur avec la liste de vos concurrents avec la moyenne des grilles
253800	259160	concurrentes on fait ça ensemble on fait ça ensemble les services apportés par vos concurrents et la
259160	265040	liste des biens spectaculaires donc gardez tous ce fichier côté si vous voulez adhérer à ce
265040	268880	programme d'ailleurs en parlant de julien il faudrait qu'on prévoit une petite rencontre
268880	277080	supplémentaire là pour pour avancer un petit peu là-dessus sandrine nous dit une question pour la
277080	280640	cotisation annuelle planète force on reçoit un rappel combien de temps avant l'anniversaire
280640	286080	vous n'en recevez pas vous n'en recevez pas c'est à vous de vous manifester parce que les agents
286080	291160	qui payent annuellement sont en minorité et on n'a pas mis en place un système de rappel donc
291160	299040	on n'en a pas on n'en a pas donc on n'en a pas du tout. Dernière chose et après mis à part les
299040	304820	questions je vous ficherai la paix et on va prendre la question de l'adjet juste après les
304820	310440	photopub portraits les photopub portraits on a vu se multiplier là ces derniers jours des
310440	317240	photopub en portrait dans eglantine et donc dans les sites de diffusion il faut pas pourquoi
317240	324200	je vais vous montrer qu'est ce que c'est une photo au format portrait voici un exemple c'est
324200	329880	pas le bon c'est pas le bon numéro Mathieu Ségouret il m'a donné un numéro de dominique
329880	334240	bender alors ça devait être un numéro de dominique cartel c'est pas grave donc ça c'est
