[00:00.000 --> 00:02.000]  Abonnez-vous !
[00:30.000 --> 00:32.000]  Merci d'avoir regardé cette vidéo !
[00:32.000 --> 00:34.000]  J'espère que vous avez aimé cette vidéo !
[00:34.000 --> 00:36.000]  Si vous avez aimé cette vidéo,
[00:36.000 --> 00:38.000]  n'hésitez pas à vous abonner à la chaîne,
[00:38.000 --> 00:40.000]  et à cliquer sur la cloche en bas !
[00:40.000 --> 00:42.000]  A plus !
[01:00.000 --> 01:02.000]  Merci d'avoir regardé cette vidéo !
[01:02.000 --> 01:04.000]  A plus !
[01:30.000 --> 01:32.000]  Merci d'avoir regardé cette vidéo !
[01:32.000 --> 01:34.000]  A plus !
[02:00.000 --> 02:02.000]  A plus !
[03:00.000 --> 03:02.000]  A plus !
[03:30.000 --> 03:32.000]  A plus !
[03:32.000 --> 03:34.000]  A plus !
[03:34.000 --> 03:36.000]  Ils vous fais venir tous à un endroit pour repartir.
[03:37.000 --> 03:39.000]  Nous aussi c'était à l'allée, nous dit Hugues.
[03:40.000 --> 03:45.000]  Eh ben les amis, dis donc, apparemment c'est pas le Covid qui vous a attrapé au Raffale, c'est les gendarmes.
[03:46.000 --> 03:49.000]  Véronique a déjà pris soin de s'interdire en partant de chez moi, dit Elodie.
[03:50.000 --> 03:52.000]  Et personne positive au test alcoliné ?
[03:53.000 --> 04:02.000]  Non, parce que nous avons été très sages, c'est Julia qui pose cette question, très très très très sages sur les boissons, enfin pas tous.
[04:02.000 --> 04:08.000]  Et oserais-je dire pas toutes, mais là encore moi aussi je clérais les noms, je ne dirais rien.
[04:09.000 --> 04:13.000]  Béatrice est pas fait flasher, apparemment Guillaume non plus.
[04:14.000 --> 04:17.000]  Bon, bah écoutez, Julien dit très bon vin et whisky.
[04:18.000 --> 04:21.000]  Tiens, j'ai pas vu passer le whisky, je sais pas qui avait dit whisky, bon j'en bois pas de première mais...
[04:22.000 --> 04:23.000]  Sauf de mon vélo, ouais.
[04:25.000 --> 04:27.000]  Bon, alors aujourd'hui, de quoi allons-nous parler ?
[04:28.000 --> 04:38.000]  Aujourd'hui il s'agit d'une visioconférence sur les un des trois modules obligatoires, enfin trois quatre parce qu'il y a un module qui se fonde.
[04:39.000 --> 04:47.000]  Vous le savez l'obligation de formation de la loi Allure impose des thèmes obligatoires pour tout le monde.
[04:48.000 --> 04:56.000]  Les thèmes obligatoires sont l'adéontologie que nous allons faire ce soir, la transition énergétique que vous suivrez avec Yves la semaine prochaine, et d'ailleurs on va parler de l'horaire.
[04:57.000 --> 05:01.000]  Et la discrimination au logement et ça va ensemble en fait.
[05:02.000 --> 05:08.000]  On pourrait dire que c'était quatre thèmes mais en fait il y en a qu'on fait en même temps, parce que pour des questions d'heure tout simplement c'est très administratif, vous le savez tout ça.
[05:09.000 --> 05:24.000]  Donc le dernier thème qui se sain dans deux, c'est non discrimination dans l'accès au logement et la lutte contre le blanchiment d'argent et le trafic de drogue et lutte contre le terrorisme.
[05:24.000 --> 05:41.000]  Tout ça ça va ensemble en fait, ce sont toutes les destinations malhonnêtes et illicites de l'argent qui transitent potentiellement par les banques, par les assurances, par toutes les professions financières dont les agences immobilières.
[05:41.000 --> 05:52.000]  Parce qu'on peut, si on est en malfra, utiliser les acquisitions immobilières pour blanchir de l'argent, faire transiter des fonds d'un endroit à un autre sans que les autorités ne s'en aperçoivent.
[05:53.000 --> 05:57.000]  Et c'est ce que nous étudierons également la semaine prochaine.
[05:58.000 --> 06:06.000]  Est-ce que ça compte les fichiers S ? Alors nous on n'a pas à s'occuper des fichiers S parce que vous êtes fichiers S Guillaume peut-être ?
[06:06.000 --> 06:12.000]  Non non on ne s'occupe pas des fichiers S, nous on doit s'occuper par contre de s'assurer.
[06:12.000 --> 06:17.000]  Mais c'est idiot de faire peser ça sur les agences immobilières, ça on en discutera à notre moment.
[06:17.000 --> 06:28.000]  Mais il s'agit de demander aux agences immobilières d'être vigilantes sur les clients éventuellement malhonnêtes et la mauvaise utilisation des fonds avec lesquels ils payent les biens immobiliers.
[06:28.000 --> 06:34.000]  Mais en fait on est très démunis là-dessus parce que ce n'est pas nous qu'il faut demander ça.
[06:34.000 --> 06:40.000]  Le demander aux banques, oui ça c'est normal, elles ont les moyens de détecter des choses louches.
[06:40.000 --> 06:46.000]  Le demander aux notaires, bon ils ont parfois des moyens de détecter certaines choses louches.
[06:46.000 --> 06:50.000]  Le demander aux agences immobilières c'est mon avis.
[06:50.000 --> 06:56.000]  Mais bon en tout cas, Guillaume me confirme qu'il n'est pas fichier S, j'espère bien.
[06:57.000 --> 07:00.000]  Alors ce soir on va voir la déontologie.
[07:00.000 --> 07:07.000]  La déontologie certains d'entre vous l'ont déjà fait précédemment au cours de précédentes formations Allure.
[07:07.000 --> 07:12.000]  Vous allez voir pour ceux d'entre vous qui débutent c'est très rébarbatif.
[07:12.000 --> 07:16.000]  Ce qu'on va voir ce soir c'est pas intéressant du tout du tout du tout.
[07:16.000 --> 07:18.000]  C'est le code de déontologie des agents immobiliers.
[07:18.000 --> 07:21.000]  Tout ça ça fait partie du programme de la loi Allure.
[07:21.000 --> 07:35.000]  La loi Allure c'était en 2014 et elle a instauré une obligation de formation des agents immobiliers et de leur personnel, de leur négociateur que nous suivons bien entendu strupuleusement.
[07:35.000 --> 07:43.000]  Parmi cette obligation de formation, la loi Allure a défini en 2015 et 2016 des modules spécifiques et en 2015 la déontologie qu'on va voir ce soir.
[07:44.000 --> 07:54.000]  D'ailleurs je vous disais il y a un instant ceux d'entre vous qui sont moins habitués on va aujourd'hui accueillir Lionel parmi nous qui fait sa toute première visioconférence du jeudi.
[07:54.000 --> 08:01.000]  Bienvenue à Lionel qui vient de rejoindre la LUCAM.
[08:01.000 --> 08:03.000]  Donc bienvenue à lui.
[08:03.000 --> 08:09.000]  Il commence sa première visioconférence du jeudi par une visioconférence obligatoire loi Allure.
[08:09.000 --> 08:11.000]  Il démarre sur les chapeaux de roue.
[08:11.000 --> 08:15.000]  Donc bien entendu Lionel tout le monde vous dit bienvenue, tout le monde vous dit bonjour sur le chat.
[08:15.000 --> 08:23.000]  Vous ne pouvez pas le voir bien sûr le chat de ce logiciel de visioconférence il n'y a que moi qui peut le voir.
[08:23.000 --> 08:25.000]  Mais donc bienvenue à Lionel il n'a pas peur.
[08:25.000 --> 08:35.000]  En effet Lionel qui vient de Louvre dans le 95 c'est la... c'est pas toise, c'est le Val d'Oise.
[08:35.000 --> 08:43.000]  Donc tout le monde vous dit bienvenue Lionel bien entendu Pierre, Catherine, Vironique, Corinne, Marjorie, bienvenue, oui au-dessus les reverniers.
[08:43.000 --> 08:49.000]  Bien entendu on espère tous vous rencontrer lors d'un prochain scéninaire, lors d'une prochaine rencontre.
[08:49.000 --> 08:53.000]  Alors comment va se passer cette formation ?
[08:53.000 --> 08:55.000]  De deux manières.
[08:55.000 --> 09:00.000]  Ah oui Mathieu me rappelle il est à tout à fait raison la visio de Yves est décalée à 17h.
[09:00.000 --> 09:05.000]  Alors c'est quel jour Mathieu si je ne me trompe pas c'est mardi ou c'est mercredi ?
[09:05.000 --> 09:07.000]  Consermez-moi ça s'il vous plait Mathieu.
[09:07.000 --> 09:15.000]  La visio de Yves qui devait avoir lieu mardi à 18h pour des questions tout simplement d'organisation des uns et des autres aura lieu mardi toujours.
[09:15.000 --> 09:18.000]  Mais mardi à 17h et pas 18h.
[09:18.000 --> 09:24.000]  Elle était prévue à 18h, finalement elle aura lieu à 17h, de 17h à 19h.
[09:25.000 --> 09:30.000]  Et c'est mardi 12 décembre de 17h.
[09:30.000 --> 09:36.000]  D'ailleurs je vais vous l'écrire sur un petit fichier Word pour que tout le monde le voie bien.
[09:36.000 --> 09:44.000]  La visio de Yves dont vous savez normalement qu'elle sera dédiée à la transition énergétique.
[09:44.000 --> 09:51.000]  Donc visioconférence, là aussi loyallure d'Yves.
[09:52.000 --> 09:58.000]  Ce sera épicerie n'importe quoi mais vous me direz qui en sera surpris.
[09:58.000 --> 10:05.000]  Mardi 12 décembre à 17h.
[10:05.000 --> 10:10.000]  Transition énergétique.
[10:10.000 --> 10:17.000]  Donc elle n'aura pas lieu à 18h, elle aura bien lieu à 17h.
[10:17.000 --> 10:20.000]  Je serai donc en retard le 12 car je finis plus tard en principe.
[10:20.000 --> 10:23.000]  C'est pas grave Sandrine, ça n'est absolument pas grave.
[10:23.000 --> 10:25.000]  Que se passe-t-il si on ne peut pas y participer ?
[10:25.000 --> 10:28.000]  Eh bien signaler-le à l'animation, c'est Sybil qui nous pose cette question.
[10:28.000 --> 10:34.000]  Que se passe-t-il si on ne peut y participer ?
[10:34.000 --> 10:40.000]  Je sais que vous n'êtes pas la seule d'ailleurs Sybil, Julia également nous dit qu'elle sera en TGV.
[10:40.000 --> 10:48.000]  C'est une question qui est importante, je vais y répondre avant de passer à la suite.
[10:48.000 --> 10:56.000]  Parce que c'est une visioconférence que vous devez faire en direct.
[10:56.000 --> 11:01.000]  Vous ne pouvez pas suivre cette visioconférence en vidéo.
[11:01.000 --> 11:04.000]  Là pour des questions de validation de la loyallure.
[11:04.000 --> 11:08.000]  Alors je sais que Julia avait posé la question à l'animation.
[11:08.000 --> 11:11.000]  Que se passe-t-il si on ne peut pas y participer ?
[11:11.000 --> 11:18.000]  Manifestez-vous auprès d'animation parce que lorsque vous ne pouvez pas participer à une visioconférence,
[11:18.000 --> 11:21.000]  généralement on vous fait un enregistrement et on vous le donne.
[11:21.000 --> 11:24.000]  Comme ça vous pouvez suivre ce qui s'est dit à la visioconférence.
[11:24.000 --> 11:27.000]  Mais les visioconférences loyallures ce n'est pas possible.
[11:27.000 --> 11:40.000]  Parce qu'elles doivent avoir lieu en ce qu'on appelle en visioconférence face à face synchrone.
[11:40.000 --> 11:42.000]  C'est ça ? Je ne sais plus.
[11:42.000 --> 11:49.000]  Elles doivent avoir lieu en direct avec le formateur qui vous parle directement.
[11:49.000 --> 11:53.000]  Et vous qui écoutez le formateur et non pas en asynchrone.
[11:54.000 --> 12:02.000]  Ça veut dire que vous n'êtes pas au même moment devant la visioconférence que le formateur.
[12:02.000 --> 12:05.000]  Nous ce sont des visioconférence synchrone.
[12:05.000 --> 12:13.000]  Ça veut dire que vous êtes en même temps derrière votre ordinateur que le formateur, c'est-à-dire moi ou Yves.
[12:13.000 --> 12:21.000]  Voilà pourquoi vous ne pouvez pas valider vos deux heures loyallure sur tel ou tel thème.
[12:21.000 --> 12:23.000]  Si vous avez la vidéo vous devez être présents.
[12:23.000 --> 12:26.000]  Donc manifestez-vous auprès de l'animation.
[12:26.000 --> 12:29.000]  On va voir comment s'y prendre.
[12:29.000 --> 12:32.000]  Mais je ne vous cache pas que ça complique les choses.
[12:32.000 --> 12:34.000]  Ça complique sérieusement les choses.
[12:34.000 --> 12:37.000]  Il faut vraiment essayer d'y participer si vous le pouvez.
[12:39.000 --> 12:42.000]  Avant de démarrer, Véronique nous dit qu'on a oublié ma petite fille.
[12:42.000 --> 12:44.000]  Non, c'est normal. Véronique on ne l'a pas oublié.
[12:44.000 --> 12:48.000]  Mais votre petite fille n'est pas encore dans Eglantine.
[12:48.000 --> 12:49.000]  Elle n'est pas encore recrutée.
