[00:00.000 --> 00:03.000]  Réseau d’agent Mandat
[01:00.000 --> 01:02.000]  Réseau d’agent Mandat
[01:30.000 --> 01:32.000]  Réseau d’agent Mandat
[02:00.000 --> 02:09.000]  Frédéric, très très très très expert, très bien enseigné, très compétent, sur Capita, Boursorama, etc.
[02:09.000 --> 02:18.000]  Prévisant une baisse des points d'intérêt en 2024 et même dès le premier trimestre 2024.
[02:18.000 --> 02:23.000]  Alors je ne suis pas en train de dire que ça ne va pas avoir lieu que ces gens racontent des bêtises, pas du tout, je ne le sais pas moi.
[02:23.000 --> 02:36.000]  Oui, Frédéric a bien raison quand il nous dit que compétent, dans compétent il y a plusieurs mots, il y a beaucoup de mots comme ça dans la langue française qui eux-mêmes en comportent plusieurs.
[02:36.000 --> 02:41.000]  Il y a compétent, il y a de Gaulle, concupissant, il y en a plein comme ça.
[02:41.000 --> 02:45.000]  C'est très rigolo, c'est un peu comme les contrepêtrés, il faut être amateur.
[02:46.000 --> 02:58.000]  Donc je vous disais, je ne dis pas que ces gens racontent des bêtises, tu ne l'y m'en parles, mais on sait que tous les experts qui se succèdent sur Internet et dans les médias viennent toujours raconter parfois un peu tout et son contraire.
[02:58.000 --> 03:05.000]  Chacun vient avec son opinion et nous la balance comme si s'agissait d'un fait scientifiquement vérifié.
[03:05.000 --> 03:17.000]  Et on en a vu bien des exemples pendant la crise de Covid, il y a été un festival du n'importe quoi venant de tout et de absolument partout.
[03:17.000 --> 03:22.000]  Il se base principalement sur le ralentissement de l'inflation.
[03:23.000 --> 03:42.000]  Le ralentissement de l'inflation, si vous voulez, on peut aller, est-ce qu'on peut avoir un graphique de l'inflation en temps réel, c'est-à-dire, on ne va pas avoir en temps réel, ce n'est pas quelque chose qui bouge au cours de la journée, mais l'inflation 2023 réactualisée, tout inflation actuelle 2023 on va voir.
[03:42.000 --> 03:45.000]  Non, ça c'est avril 2023, on s'en fume un peu.
[03:45.000 --> 03:58.000]  2 avril, c'est pour ça qu'il nous faut, mars, inflation novembre 2023, inflation au rythme annuel 2023.
[03:58.000 --> 04:06.000]  Donc, vous, alors attendez, je ne partage pas, vous voyez toujours le petit chat.
[04:06.000 --> 04:12.000]  Excusez-moi, voilà, là vous voyez franceinflation.com.
